,Carter Number,Name
spearod01,5,Odie Spears
spectar01,7,Art Spector
stanced01,6,Ed Stanczak
stumpge01,6,Gene Stump
todormi01,6,Mike Todorovich
toomaja01,7,Jack Toomay
toughbo01,6,Bob Tough
towerbl01,6,Blackie Towery
triptdi01,6,Dick Triptow
vanbrbu01,6,Butch van Breda Kolff
vancege01,6,Gene Vance
vandeer01,6,Ernie Vandeweghe
volkefl01,7,Floyd Volker
vonniwh01,6,Whitey Von Nieda
wagercl01,7,Clint Wager
wagneda01,6,Danny Wagner
walkebr01,6,Brady Walker
walthpa01,6,Paul Walther
wanzebo01,5,Bobby Wanzer
wiermu01,6,Murray Wier
wilcudc01,6,D.C. Wilcutt
woodbo01,6,Bob Wood
zasloma01,6,Max Zaslofsky
arizipa01,5,Paul Arizin
beached01,6,Ed Beach
blevile01,7,Leon Blevins
borsaik01,6,Ike Borsavage
burriar01,6,Art Burris
calabge01,6,Gerry Calabrese
chrisca01,6,Cal Christensen
cliftna01,5,Nat Clifton
coopech01,5,Chuck Cooper
cousybo01,4,Bob Cousy
dezonha01,6,Hank DeZonie
donhabo01,6,Bob Donham
ellefra01,6,Ray Ellefson
foustla01,5,Larry Foust
gaydaed01,6,Ed Gayda
huttojo01,6,Joe Hutton
lavoybo01,6,Bob Lavoy
lloydea01,5,Earl Lloyd
lofgrdo01,6,Don Lofgran
magerno01,6,Norm Mager
mcnamjo01,6,Joe McNamee
mrazoch01,7,Chuck Mrazovich
murrake01,5,Ken Murray
okeefto01,6,Tommy O'Keefe
osheake01,6,Kevin O'Shea
rehfedo01,6,Don Rehfeldt
riffeji01,6,Jim Riffey
sawyeal01,6,Alan Sawyer
scherhe01,6,Herb Scherer
schnidi01,5,Dick Schnittker
sharmbi01,5,Bill Sharman
barksdo01,5,Don Barksdale
behnkel01,6,Elmer Behnke
brownst01,6,Stan Brown
dahleed01,6,Ed Dahler
delonna01,6,Nate DeLong
dickedi01,6,Dick Dickey
fendlja01,6,Jake Fendley
fowleje01,6,Jerry Fowler
hitchle01,5,Lew Hitch
hutchme01,5,Mel Hutchins
johnsne01,5,Neil Johnston
kileyja01,6,Jack Kiley
kingge01,5,George King
mcconjo01,6,John McConathy
mcguial01,5,Alfred McGuire
minorda01,6,Dave Minor
obriera01,6,Ralph O'Brien
osterwa01,6,Wally Osterkorn
paytome01,6,Mel Payton
pilchjo01,6,John Pilch
ragelra01,6,Ray Ragelis
ranzisa01,6,Sam Ranzino
rennijo01,6,John Rennicke
savagdo01,5,Don Savage
sharech01,5,Chuck Share
sinicze01,6,Zeke Sinicola
skoogwh01,5,Whitey Skoog
slaugji01,6,Jim Slaughter
toshebi01,6,Bill Tosheff
wilsobo01,6,Bob Wilson
baechji01,5,Jim Baechtold
brascji01,6,Jim Brasco
buntdi01,6,Dick Bunt
conlege01,5,Gene Conley
darcepe01,6,Pete Darcey
dennibl01,6,Blaine Denning
finnda01,5,Danny Finn
groatdi01,6,Dick Groat
hanrado01,6,Don Hanrahan
henrido01,5,Don Henriksen
holstji01,5,Jim Holstein
lochmbo01,6,Bob Lochmueller
mahonmo01,6,Mo Mahoney
masinal01,6,Al Masino
mccloja01,6,Jack McCloskey
mcconbu01,6,Bucky McConnell
mcleoge01,6,George McLeod
mcmahja01,5,Jack McMahon
meinemo01,5,Monk Meineke
milleed01,6,Eddie Miller
mlkvybi01,6,Bill Mlkvy
mooneji01,6,Jim Mooney
naberbo01,6,Bob Naber
oboyljo01,6,John O'Boyle
oneilmi01,6,Mike O'Neill
overtcl01,6,Claude Overton
polsora01,6,Ralph Polson
priddbo01,6,Bob Priddy
radovmo01,6,Moe Radovich
raikesh01,6,Sherwin Raiken
rhodege01,6,Gene Rhodes
surhodi01,6,Dick Surhoff
workmma01,6,Mark Workman
zawolze01,5,Zeke Zawoluk
ackerdo01,6,Don Ackerman
asmondo01,6,Don Asmonga
barreer01,6,Ernie Barrett
becker01,5,Ernie Beck
bemorir01,5,Irv Bemoras
bolgebi01,6,Bill Bolger
daviswa01,5,Walt Davis
dykerge01,6,Gene Dyker
earleed01,6,Ed Earle
felixra01,5,Ray Felix
fritsji01,5,Jim Fritsche
georgja01,5,Jack George
govedba01,6,Bato Govedarica
grekino01,6,Norm Grekin
hansro01,5,Rollen Hans
houbrbo01,5,Bob Houbregs
kenvibi01,5,Billy Kenville
knostdi01,6,Dick Knostman
lovelcl01,4,Clyde Lovellette
luisiji01,6,Jim Luisi
molinja01,6,Jack Molinas
nealji01,5,Jim Neal
nolenpa01,6,Paul Nolen
peterbo01,6,Bob Peterson
phelaja02,6,James Phelan
reaco01,6,Connie Rea
reddofr01,6,Frank Reddout
rogesal01,5,Al Roges
smithed01,6,Ed Smith
smythjo01,6,Joe Smyth
sundedo01,5,Don Sunderlage
swansno01,6,Norm Swanson
uplinha01,6,Hal Uplinger
walthis01,6,Isaac Walthour
yardlge01,5,George Yardley
anieldo01,6,Don Anielak
brennto01,5,Tom Brennan
carnebo01,5,Bob Carney
chrisfr01,6,Fred Christ
cookbe01,6,Bert Cook
costela01,4,Larry Costello
dempsge01,5,George Dempsey
diutefr01,5,Fred Diute
farledi01,6,Dick Farley
grigsch01,6,Chuck Grigsby
heddehe01,6,Herm Hedderick
kalafed01,5,Ed Kalafat
kearnmi01,5,Mike Kearns
kerrre01,5,Red Kerr
kingda01,5,Dan King
knighbo01,6,Bob Knight
macgiro01,5,Ronnie MacGilvray
marshto01,5,Tom Marshall
martiph01,5,Phil Martin
mcbrike01,5,Ken McBride
mcnulca01,5,Carl McNulty
mooreja01,5,Jackie Moore
morrire01,5,Red Morrison
nachabo01,6,Boris Nachamkin
palazto01,5,Togo Palazzi
pettibo01,4,Bob Pettit
ramsefr01,4,Frank Ramsey
rosendi01,6,Dick Rosenthal
selvyfr01,4,Frank Selvy
shuege01,5,Gene Shue
spoelar01,5,Art Spoelstra
tuckeji01,5,Jim Tucker
turneja01,6,Jack Turner
watsobo01,5,Bobby Watson
whitask01,5,Skippy Whitaker
arnelje01,6,Jesse Arnelle
athadi01,6,Dick Atha
bielkdo01,6,Don Bielke
conlied01,5,Ed Conlin
davisre01,6,Red Davis
devlico01,5,Corky Devlin
dukeswa01,5,Walter Dukes
feierro01,5,Ron Feiereisel
ferraal01,5,Al Ferrari
flemied01,5,Ed Fleming
garmadi01,5,Dick Garmaker
golato01,4,Tom Gola
harrich01,5,Chris Harris
hemridi01,5,Dick Hemric
hennela01,5,Larry Hennessy
horanjo01,5,Johnny Horan
loscuji01,4,Jim Loscutoff
mencech01,5,Chuck Mencel
noblech01,5,Chuck Noble
parkme01,5,Med Park
reganri01,5,Richie Regan
rickedi01,5,Dick Ricketts
santibo01,6,Bob Santini
schafbo01,5,Bob Schafer
searske01,5,Kenny Sears
stephja01,5,Jack Stephens
stokema01,5,Maurice Stokes
twymaja01,5,Jack Twyman
willibo01,5,Bob Williams
ablefo01,5,Forest Able
armstbo01,5,Bob Armstrong
barbejo01,5,John Barber
bergega01,5,Gary Bergen
biancal01,4,Al Bianchi
burrobo01,5,Bob Burrow
greensi01,4,Si Green
gueriri01,4,Richie Guerin
