,Player,Tm,Year
0,Shareef Abdur-Rahim,POR,2005
1,Cory Alexander,CHA,2005
3,Malik Allen,MIA,2005
4,Malik Allen,CHA,2005
5,Ray Allen*,SEA,2005
6,Tony Allen,BOS,2005
7,Rafer Alston,TOR,2005
8,Chris Andersen,NOH,2005
9,Derek Anderson,POR,2005
11,Kenny Anderson,ATL,2005
12,Kenny Anderson,LAC,2005
14,Shandon Anderson,NYK,2005
15,Shandon Anderson,MIA,2005
16,Carmelo Anthony,DEN,2005
17,Rafael Araujo,TOR,2005
18,Gilbert Arenas,WAS,2005
19,Trevor Ariza,NYK,2005
21,Darrell Armstrong,NOH,2005
22,Darrell Armstrong,DAL,2005
24,Carlos Arroyo,UTA,2005
25,Carlos Arroyo,DET,2005
26,Chucky Atkins,LAL,2005
27,Stacey Augmon,ORL,2005
29,Maurice Baker,LAC,2005
30,Maurice Baker,POR,2005
32,Vin Baker,NYK,2005
33,Vin Baker,HOU,2005
34,Marcus Banks,BOS,2005
35,Leandro Barbosa,PHO,2005
36,Matt Barnes,SAC,2005
38,Andre Barrett,HOU,2005
39,Andre Barrett,ORL,2005
40,Brent Barry,SAS,2005
42,Jon Barry,ATL,2005
43,Jon Barry,HOU,2005
44,Tony Battie,ORL,2005
45,Shane Battier,MEM,2005
46,Lonny Baxter,NOH,2005
47,Raja Bell,UTA,2005
48,Jonathan Bender,IND,2005
49,Travis Best,NJN,2005
50,Mike Bibby,SAC,2005
51,Andris Biedrins,GSW,2005
52,Chauncey Billups,DET,2005
53,Steve Blake,WAS,2005
54,Mark Blount,BOS,2005
55,Tony Bobbitt,LAL,2005
56,Keith Bogans,CHA,2005
57,Matt Bonner,TOR,2005
59,Calvin Booth,DAL,2005
60,Calvin Booth,MIL,2005
61,Carlos Boozer,UTA,2005
62,Curtis Borchardt,UTA,2005
63,Chris Bosh,TOR,2005
64,Bruce Bowen,SAS,2005
65,Ryan Bowen,HOU,2005
66,Earl Boykins,DEN,2005
68,Michael Bradley,ORL,2005
69,Michael Bradley,SAC,2005
70,Michael Bradley,PHI,2005
71,Shawn Bradley,DAL,2005
72,Torraye Braggs,HOU,2005
73,Elton Brand,LAC,2005
74,Jamison Brewer,NYK,2005
75,Primoz Brezec,CHA,2005
76,Damone Brown,WAS,2005
77,Devin Brown,SAS,2005
78,Kedrick Brown,PHI,2005
79,Kwame Brown,WAS,2005
80,P.J. Brown,NOH,2005
81,Tierre Brown,LAL,2005
82,Rick Brunson,LAC,2005
83,Kobe Bryant,LAL,2005
84,Greg Buckner,DEN,2005
85,Rodney Buford,NJN,2005
86,Antonio Burks,MEM,2005
87,Caron Butler,LAL,2005
88,Jackie Butler,NYK,2005
89,Rasual Butler,MIA,2005
91,Zarko Cabarkapa,PHO,2005
92,Zarko Cabarkapa,GSW,2005
93,Marcus Camby,DEN,2005
95,Elden Campbell,NJN,2005
96,Elden Campbell,DET,2005
97,Brian Cardinal,MEM,2005
98,Geno Carlisle,POR,2005
99,Matt Carroll,CHA,2005
100,Anthony Carter,MIN,2005
102,Vince Carter,TOR,2005
103,Vince Carter,NJN,2005
104,Sam Cassell,MIN,2005
105,Kelvin Cato,ORL,2005
106,Lionel Chalmers,LAC,2005
107,Tyson Chandler,CHI,2005
108,Calbert Cheaney,GSW,2005
109,Josh Childress,ATL,2005
111,Doug Christie,SAC,2005
112,Doug Christie,ORL,2005
114,Speedy Claxton,GSW,2005
115,Speedy Claxton,NOH,2005
116,Mateen Cleaves,SEA,2005
117,Derrick Coleman,DET,2005
118,Jason Collier,ATL,2005
119,Jarron Collins,UTA,2005
120,Jason Collins,NJN,2005
121,Nick Collison,SEA,2005
122,Brian Cook,LAL,2005
123,Omar Cook,TOR,2005
124,Jamal Crawford,NYK,2005
125,Austin Croshere,IND,2005
126,Eddy Curry,CHI,2005
127,Michael Curry,IND,2005
128,Samuel Dalembert,PHI,2005
129,Erick Dampier,DAL,2005
130,Antonio Daniels,SEA,2005
131,Erik Daniels,SAC,2005
132,Marquis Daniels,DAL,2005
133,Antonio Davis,CHI,2005
135,Baron Davis,NOH,2005
136,Baron Davis,GSW,2005
138,Dale Davis,GSW,2005
139,Dale Davis,IND,2005
140,Josh Davis,PHI,2005
141,Ricky Davis,BOS,2005
142,Andrew DeClercq,ORL,2005
143,Carlos Delfino,DET,2005
144,Tony Delk,ATL,2005
145,Luol Deng,CHI,2005
146,Boris Diaw,ATL,2005
148,Dan Dickau,DAL,2005
149,Dan Dickau,NOH,2005
150,Kaniel Dickens,NJN,2005
151,DeSagana Diop,CLE,2005
152,Vlade Divac*,LAL,2005
153,Juan Dixon,WAS,2005
154,Michael Doleac,MIA,2005
155,Keyon Dooling,MIA,2005
156,Predrag Drobnjak,ATL,2005
157,Chris Duhon,CHI,2005
158,Tim Duncan,SAS,2005
159,Mike Dunleavy,GSW,2005
160,Ronald Dupree,DET,2005
161,Ndudi Ebi,MIN,2005
162,Corsley Edwards,NOH,2005
163,John Edwards,IND,2005
164,Howard Eisley,UTA,2005
165,Obinna Ekezie,ATL,2005
166,Francisco Elson,DEN,2005
167,Melvin Ely,CHA,2005
168,Andre Emmett,MEM,2005
169,Maurice Evans,SAC,2005
170,Reggie Evans,SEA,2005
171,Michael Finley,DAL,2005
172,Derek Fisher,GSW,2005
173,Marcus Fizer,MIL,2005
175,Luis Flores,GSW,2005
176,Luis Flores,DEN,2005
177,Danny Fortson,SEA,2005
178,Jeff Foster,IND,2005
179,Tremaine Fowlkes,IND,2005
180,Adonal Foyle,GSW,2005
181,Richie Frahm,POR,2005
182,Steve Francis,ORL,2005
183,Matt Freije,NOH,2005
184,Lawrence Funderburke,CHI,2005
185,Dan Gadzuric,MIL,2005
187,Reece Gaines,HOU,2005
188,Reece Gaines,MIL,2005
189,Alex Garcia,NOH,2005
190,Kevin Garnett,MIN,2005
191,Pat Garrity,ORL,2005
192,Pau Gasol,MEM,2005
193,Devean George,LAL,2005
194,Eddie Gill,IND,2005
195,Kendall Gill,MIL,2005
196,Manu Ginobili,SAS,2005
197,Gordan Giricek,UTA,2005
198,Dion Glover,SAS,2005
200,Anthony Goldwire,DET,2005
201,Anthony Goldwire,MIL,2005
202,Drew Gooden,CLE,2005
203,Ben Gordon,CHI,2005
204,Brian Grant,LAL,2005
205,Willie Green,PHI,2005
206,Adrian Griffin,CHI,2005
207,Eddie Griffin,MIN,2005
209,Tom Gugliotta,BOS,2005
210,Tom Gugliotta,ATL,2005
211,Marcus Haislip,IND,2005
212,Darvin Ham,DET,2005
213,Richard Hamilton,DET,2005
214,Zendon Hamilton,MIL,2005
215,Ben Handlogten,UTA,2005
216,Anfernee Hardaway,NYK,2005
217,Matt Harpring,UTA,2005
218,Al Harrington,ATL,2005
219,Junior Harrington,NOH,2005
220,Othella Harrington,CHI,2005
221,Devin Harris,DAL,2005
222,Lucious Harris,CLE,2005
223,David Harrison,IND,2005
224,Jason Hart,CHA,2005
225,Donnell Harvey,NJN,2005
226,Udonis Haslem,MIA,2005
227,Trenton Hassell,MIN,2005
228,Jarvis Hayes,WAS,2005
229,Brendan Haywood,WAS,2005
230,Alan Henderson,DAL,2005
231,Nene Hilario,DEN,2005
232,Grant Hill*,ORL,2005
233,Kirk Hinrich,CHI,2005
234,Fred Hoiberg,MIN,2005
235,Robert Horry,SAS,2005
237,Eddie House,CHA,2005
238,Eddie House,MIL,2005
239,Eddie House,SAC,2005
240,Allan Houston,NYK,2005
241,Dwight Howard,ORL,2005
242,Josh Howard,DAL,2005
243,Juwan Howard,HOU,2005
244,Troy Hudson,MIN,2005
245,Larry Hughes,WAS,2005
246,Ryan Humphrey,MEM,2005
247,Kris Humphries,UTA,2005
248,Brandon Hunter,ORL,2005
249,Lindsey Hunter,DET,2005
250,Steven Hunter,PHO,2005
251,Andre Iguodala,PHI,2005
252,Zydrunas Ilgauskas,CLE,2005
253,Didier Ilunga-Mbenga,DAL,2005
