,Player,Tm,Year
0,Shareef Abdur-Rahim,SAC,2007
1,Hassan Adams,NJN,2007
2,Maurice Ager,DAL,2007
3,LaMarcus Aldridge,POR,2007
4,Malik Allen,CHI,2007
5,Ray Allen*,SEA,2007
6,Tony Allen,BOS,2007
7,Rafer Alston,HOU,2007
9,Lou Amundson,UTA,2007
10,Lou Amundson,PHI,2007
11,Alan Anderson,CHA,2007
12,Derek Anderson,CHA,2007
13,Carmelo Anthony,DEN,2007
14,Rafael Araujo,UTA,2007
15,Gilbert Arenas,WAS,2007
16,Trevor Ariza,ORL,2007
17,Darrell Armstrong,IND,2007
18,Hilton Armstrong,NOK,2007
19,Carlos Arroyo,ORL,2007
20,Chucky Atkins,MEM,2007
21,James Augustine,ORL,2007
22,Kelenna Azubuike,GSW,2007
23,Renaldo Balkman,NYK,2007
24,Marcus Banks,PHO,2007
25,Leandro Barbosa,PHO,2007
26,J.J. Barea,DAL,2007
27,Andrea Bargnani,TOR,2007
28,Matt Barnes,GSW,2007
29,Andre Barrett,CHI,2007
30,Earl Barron,MIA,2007
31,Brent Barry,SAS,2007
32,Brandon Bass,NOK,2007
33,Maceo Baston,IND,2007
34,Esteban Batista,ATL,2007
35,Tony Battie,ORL,2007
36,Shane Battier,HOU,2007
37,Charlie Bell,MIL,2007
38,Raja Bell,PHO,2007
39,Mike Bibby,SAC,2007
40,Andris Biedrins,GSW,2007
41,Chauncey Billups,DET,2007
43,Steve Blake,MIL,2007
44,Steve Blake,DEN,2007
45,Will Blalock,DET,2007
46,Andray Blatche,WAS,2007
47,Mark Blount,MIN,2007
48,Keith Bogans,ORL,2007
49,Andrew Bogut,MIL,2007
50,Matt Bonner,SAS,2007
51,Josh Boone,NJN,2007
52,Calvin Booth,WAS,2007
53,Carlos Boozer,UTA,2007
54,Chris Bosh,TOR,2007
55,Bruce Bowen,SAS,2007
57,Earl Boykins,DEN,2007
58,Earl Boykins,MIL,2007
59,Cedric Bozeman,ATL,2007
60,Elton Brand,LAC,2007
61,Ronnie Brewer,UTA,2007
62,Primoz Brezec,CHA,2007
63,Andre Brown,SEA,2007
64,Dee Brown,UTA,2007
65,Devin Brown,NOK,2007
66,Kwame Brown,LAL,2007
67,P.J. Brown,CHI,2007
68,Shannon Brown,CLE,2007
69,Kobe Bryant,LAL,2007
70,Greg Buckner,DAL,2007
71,Pat Burke,PHO,2007
72,Caron Butler,WAS,2007
73,Jackie Butler,SAS,2007
74,Rasual Butler,NOK,2007
75,Andrew Bynum,LAL,2007
76,Jose Calderon,TOR,2007
77,Marcus Camby,DEN,2007
78,Brian Cardinal,MEM,2007
79,Rodney Carney,PHI,2007
80,Matt Carroll,CHA,2007
81,Anthony Carter,DEN,2007
82,Vince Carter,NJN,2007
83,Sam Cassell,LAC,2007
84,Kelvin Cato,NYK,2007
85,Tyson Chandler,NOK,2007
86,Josh Childress,ATL,2007
87,Doug Christie,LAC,2007
88,Speedy Claxton,ATL,2007
89,Jarron Collins,UTA,2007
90,Jason Collins,NJN,2007
91,Mardy Collins,NYK,2007
92,Nick Collison,SEA,2007
94,Will Conroy,MEM,2007
95,Will Conroy,LAC,2007
96,Brian Cook,LAL,2007
97,Jamal Crawford,NYK,2007
98,Austin Croshere,DAL,2007
99,Eddy Curry,NYK,2007
100,Samuel Dalembert,PHI,2007
101,Erick Dampier,DAL,2007
102,Antonio Daniels,WAS,2007
103,Marquis Daniels,IND,2007
104,Baron Davis,GSW,2007
105,Dale Davis,DET,2007
106,Paul Davis,LAC,2007
107,Ricky Davis,MIN,2007
108,Carlos Delfino,DET,2007
109,Luol Deng,CHI,2007
110,Boris Diaw,PHO,2007
111,Yakhouba Diawara,DEN,2007
112,Dan Dickau,POR,2007
113,Travis Diener,ORL,2007
115,Ike Diogu,GSW,2007
116,Ike Diogu,IND,2007
117,DeSagana Diop,DAL,2007
119,Juan Dixon,POR,2007
120,Juan Dixon,TOR,2007
121,Michael Doleac,MIA,2007
122,Keyon Dooling,ORL,2007
123,Quincy Douby,SAC,2007
124,Chris Duhon,CHI,2007
125,Tim Duncan,SAS,2007
127,Mike Dunleavy,GSW,2007
128,Mike Dunleavy,IND,2007
129,Ronald Dupree,DET,2007
130,Monta Ellis,GSW,2007
131,Francisco Elson,SAS,2007
133,Melvin Ely,CHA,2007
134,Melvin Ely,SAS,2007
135,Maurice Evans,LAL,2007
136,Reggie Evans,DEN,2007
137,Daniel Ewing,LAC,2007
138,Jordan Farmar,LAL,2007
139,Desmon Farmer,SEA,2007
140,Raymond Felton,CHA,2007
141,Michael Finley,SAS,2007
