,Player,Tm,Year
1,Shareef Abdur-Rahim,ATL,2004
2,Shareef Abdur-Rahim,POR,2004
3,Malik Allen,MIA,2004
4,Ray Allen*,SEA,2004
5,Rafer Alston,MIA,2004
6,Chris Andersen,DEN,2004
7,Derek Anderson,POR,2004
8,Kenny Anderson,IND,2004
9,Shandon Anderson,NYK,2004
10,Carmelo Anthony,DEN,2004
12,Robert Archibald,PHO,2004
13,Robert Archibald,ORL,2004
14,Robert Archibald,TOR,2004
15,Gilbert Arenas,WAS,2004
16,Brandon Armstrong,NJN,2004
17,Darrell Armstrong,NOH,2004
18,Carlos Arroyo,UTA,2004
20,Chucky Atkins,DET,2004
21,Chucky Atkins,BOS,2004
22,Stacey Augmon,NOH,2004
24,Vin Baker,BOS,2004
25,Vin Baker,NYK,2004
26,Marcus Banks,BOS,2004
27,Leandro Barbosa,PHO,2004
28,Matt Barnes,LAC,2004
29,Dana Barros,BOS,2004
30,Brent Barry,SEA,2004
31,Jon Barry,DEN,2004
32,Mengke Bateer,TOR,2004
34,Tony Battie,BOS,2004
35,Tony Battie,CLE,2004
36,Shane Battier,MEM,2004
38,Lonny Baxter,CHI,2004
39,Lonny Baxter,TOR,2004
40,Lonny Baxter,WAS,2004
41,Jerome Beasley,MIA,2004
42,Raja Bell,UTA,2004
43,Troy Bell,MEM,2004
44,Jonathan Bender,IND,2004
45,Travis Best,DAL,2004
46,Mike Bibby,SAC,2004
47,Chauncey Billups,DET,2004
48,Steve Blake,WAS,2004
50,Corie Blount,CHI,2004
51,Corie Blount,TOR,2004
52,Mark Blount,BOS,2004
53,Keith Bogans,ORL,2004
54,Calvin Booth,SEA,2004
55,Carlos Boozer,CLE,2004
56,Curtis Borchardt,UTA,2004
57,Chris Bosh,TOR,2004
58,Ruben Boumtje-Boumtje,POR,2004
59,Bruce Bowen,SAS,2004
60,Ryan Bowen,DEN,2004
61,Earl Boykins,DEN,2004
63,Michael Bradley,TOR,2004
64,Michael Bradley,ATL,2004
65,Shawn Bradley,DAL,2004
67,Torraye Braggs,HOU,2004
68,Torraye Braggs,WAS,2004
69,Elton Brand,LAC,2004
71,J.R. Bremer,CLE,2004
72,J.R. Bremer,GSW,2004
73,Jamison Brewer,IND,2004
74,Primoz Brezec,IND,2004
75,Damone Brown,NJN,2004
76,Devin Brown,SAS,2004
78,Kedrick Brown,BOS,2004
79,Kedrick Brown,CLE,2004
80,Kwame Brown,WAS,2004
81,P.J. Brown,NOH,2004
82,Tierre Brown,NOH,2004
84,Rick Brunson,TOR,2004
85,Rick Brunson,CHI,2004
86,Kobe Bryant,LAL,2004
87,Greg Buckner,PHI,2004
88,Rodney Buford,SAC,2004
89,Caron Butler,MIA,2004
90,Mitchell Butler,WAS,2004
91,Rasual Butler,MIA,2004
92,Zarko Cabarkapa,PHO,2004
93,Marcus Camby,DEN,2004
94,Elden Campbell,DET,2004
95,Brian Cardinal,GSW,2004
97,Matt Carroll,POR,2004
98,Matt Carroll,SAS,2004
99,Anthony Carter,SAS,2004
101,Maurice Carter,LAL,2004
102,Maurice Carter,NOH,2004
103,Vince Carter,TOR,2004
104,Sam Cassell,MIN,2004
105,Kelvin Cato,HOU,2004
106,Tyson Chandler,CHI,2004
107,Calbert Cheaney,GSW,2004
108,Doug Christie,SAC,2004
109,Keon Clark,UTA,2004
110,Speedy Claxton,GSW,2004
111,Mateen Cleaves,CLE,2004
112,Derrick Coleman,PHI,2004
113,Bimbo Coles,MIA,2004
114,Jason Collier,ATL,2004
115,Jarron Collins,UTA,2004
116,Jason Collins,NJN,2004
117,Brian Cook,LAL,2004
118,Omar Cook,POR,2004
119,Chris Crawford,ATL,2004
120,Jamal Crawford,CHI,2004
121,Austin Croshere,IND,2004
122,Eddy Curry,CHI,2004
123,Michael Curry,TOR,2004
124,Samuel Dalembert,PHI,2004
125,Erick Dampier,GSW,2004
126,Antonio Daniels,SEA,2004
127,Marquis Daniels,DAL,2004
129,Antonio Davis,TOR,2004
130,Antonio Davis,CHI,2004
131,Baron Davis,NOH,2004
132,Dale Davis,POR,2004
134,Hubert Davis,DET,2004
135,Hubert Davis,NJN,2004
136,Josh Davis,ATL,2004
138,Ricky Davis,CLE,2004
139,Ricky Davis,BOS,2004
140,Andrew DeClercq,ORL,2004
141,Tony Delk,DAL,2004
142,Derrick Dial,ORL,2004
143,Boris Diaw,ATL,2004
145,Dan Dickau,ATL,2004
146,Dan Dickau,POR,2004
147,Kaniel Dickens,POR,2004
148,DeSagana Diop,CLE,2004
149,Vlade Divac*,SAC,2004
150,Juan Dixon,WAS,2004
152,Michael Doleac,NYK,2004
153,Michael Doleac,DEN,2004
154,Keyon Dooling,LAC,2004
155,Bryce Drew,NOH,2004
156,Predrag Drobnjak,LAC,2004
157,Tim Duncan,SAS,2004
158,Mike Dunleavy,GSW,2004
159,Ronald Dupree,CHI,2004
160,Ndudi Ebi,MIN,2004
162,Howard Eisley,NYK,2004
163,Howard Eisley,PHO,2004
164,Francisco Elson,DEN,2004
165,Melvin Ely,LAC,2004
166,Reggie Evans,SEA,2004
167,Desmond Ferguson,POR,2004
168,Michael Finley,DAL,2004
169,Derek Fisher,LAL,2004
170,Marcus Fizer,CHI,2004
171,Alton Ford,HOU,2004
172,T.J. Ford,MIL,2004
173,Danny Fortson,DAL,2004
174,Jeff Foster,IND,2004
175,Tremaine Fowlkes,DET,2004
176,Rick Fox,LAL,2004
177,Adonal Foyle,GSW,2004
178,Richie Frahm,SEA,2004
179,Steve Francis,HOU,2004
180,Hiram Fuller,ATL,2004
181,Dan Gadzuric,MIL,2004
182,Reece Gaines,ORL,2004
183,Alex Garcia,SAS,2004
184,Kevin Garnett,MIN,2004
185,Pat Garrity,ORL,2004
186,Pau Gasol,MEM,2004
187,Devean George,LAL,2004
188,Eddie Gill,POR,2004
189,Kendall Gill,CHI,2004
190,Manu Ginobili,SAS,2004
192,Gordan Giricek,ORL,2004
193,Gordan Giricek,UTA,2004
195,Dion Glover,ATL,2004
196,Dion Glover,TOR,2004
198,Anthony Goldwire,MIN,2004
199,Anthony Goldwire,NJN,2004
200,Drew Gooden,ORL,2004
201,Brian Grant,MIA,2004
202,Horace Grant,LAL,2004
203,Paul Grant,UTA,2004
204,Willie Green,PHI,2004
205,Adrian Griffin,HOU,2004
207,Tom Gugliotta,PHO,2004
208,Tom Gugliotta,UTA,2004
209,Marcus Haislip,MIL,2004
210,Darvin Ham,DET,2004
211,Richard Hamilton,DET,2004
212,Zendon Hamilton,PHI,2004
213,Ben Handlogten,UTA,2004
214,Travis Hansen,ATL,2004
216,Anfernee Hardaway,PHO,2004
217,Anfernee Hardaway,NYK,2004
218,Matt Harpring,UTA,2004
219,Al Harrington,IND,2004
220,Othella Harrington,NYK,2004
221,Lucious Harris,NJN,2004
222,Jason Hart,SAS,2004
224,Donnell Harvey,ORL,2004
225,Donnell Harvey,PHO,2004
226,Udonis Haslem,MIA,2004
227,Trenton Hassell,MIN,2004
228,Jarvis Hayes,WAS,2004
229,Brendan Haywood,WAS,2004
230,Shane Heal,SAS,2004
231,Alan Henderson,ATL,2004
232,Nene Hilario,DEN,2004
233,Tyrone Hill,MIA,2004
234,Kirk Hinrich,CHI,2004
235,Fred Hoiberg,MIN,2004
236,Robert Horry,SAS,2004
237,Eddie House,LAC,2004
238,Allan Houston,NYK,2004
239,Josh Howard,DAL,2004
240,Juwan Howard,ORL,2004
241,Troy Hudson,MIN,2004
242,Larry Hughes,WAS,2004
243,Ryan Humphrey,MEM,2004
244,Brandon Hunter,BOS,2004
245,Lindsey Hunter,DET,2004
246,Steven Hunter,ORL,2004
247,Zydrunas Ilgauskas,CLE,2004
248,Allen Iverson*,PHI,2004
249,Bobby Jackson,SAC,2004
250,Jim Jackson,HOU,2004
251,Marc Jackson,PHI,2004
252,Mark Jackson,HOU,2004
253,Stephen Jackson,ATL,2004
254,Casey Jacobsen,PHO,2004
255,Jerome James,SEA,2004
256,LeBron James,CLE,2004
258,Mike James,BOS,2004
259,Mike James,DET,2004
260,Antawn Jamison,DAL,2004
261,Marko Jaric,LAC,2004
263,Chris Jefferies,TOR,2004
264,Chris Jefferies,CHI,2004
265,Richard Jefferson,NJN,2004
266,Jared Jeffries,WAS,2004
267,Britton Johnsen,ORL,2004
268,Anthony Johnson,IND,2004
269,Avery Johnson,GSW,2004
270,DerMarr Johnson,NYK,2004
271,Ervin Johnson,MIN,2004
272,Joe Johnson,PHO,2004
273,Linton Johnson,CHI,2004
274,Dahntay Jones,MEM,2004
275,Damon Jones,MIL,2004
276,Eddie Jones,MIA,2004
277,Fred Jones,IND,2004
278,James Jones,IND,2004
279,Jumaine Jones,BOS,2004
280,Popeye Jones,GSW,2004
281,Chris Kaman,LAC,2004
282,Jason Kapono,CLE,2004
283,Jason Kidd*,NJN,2004
284,Andrei Kirilenko,UTA,2004
285,Kerry Kittles,NJN,2004
287,Brevin Knight,PHO,2004
288,Brevin Knight,WAS,2004
289,Brevin Knight,MIL,2004
290,Kyle Korver,PHI,2004
291,Toni Kukoc,MIL,2004
292,Christian Laettner,WAS,2004
293,Raef LaFrentz,BOS,2004
294,Maciej Lampe,PHO,2004
295,Sean Lampley,GSW,2004
297,Dan Langhi,GSW,2004
298,Dan Langhi,MIL,2004
299,Rusty LaRue,GSW,2004
300,Voshon Lenard,DEN,2004
301,Quincy Lewis,MIN,2004
302,Rashard Lewis,SEA,2004
303,Randy Livingston,LAC,2004
304,Raul Lopez,UTA,2004
305,Tyronn Lue,ORL,2004
306,George Lynch,NOH,2004
307,Mark Madsen,MIN,2004
308,Corey Maggette,LAC,2004
309,Jamaal Magloire,NOH,2004
310,Karl Malone*,LAL,2004
312,Stephon Marbury,PHO,2004
313,Stephon Marbury,NYK,2004
314,Shawn Marion,PHO,2004
316,Donyell Marshall,CHI,2004
317,Donyell Marshall,TOR,2004
318,Darrick Martin,MIN,2004
319,Kenyon Martin,NJN,2004
320,Jamal Mashburn,NOH,2004
321,Desmond Mason,MIL,2004
323,Roger Mason,CHI,2004
324,Roger Mason,TOR,2004
325,Tony Massenburg,SAC,2004
326,Walter McCarty,BOS,2004
327,Amal McCaskill,PHI,2004
328,Jelani McCoy,CLE,2004
330,Antonio McDyess,NYK,2004
331,Antonio McDyess,PHO,2004
332,Tracy McGrady*,ORL,2004
334,Jeff McInnis,POR,2004
