,Player,Tm,Year
0,Kareem Abdul-Jabbar*,LAL,1981
2,Tom Abernethy,GSW,1981
3,Tom Abernethy,IND,1981
4,Alvan Adams,PHO,1981
5,Darrell Allums,DAL,1981
6,Tiny Archibald*,BOS,1981
7,Dennis Awtrey,SEA,1981
8,James Bailey,SEA,1981
9,Greg Ballard,WSB,1981
10,Mike Bantom,IND,1981
11,Billy Ray Bates,POR,1981
12,Mel Bennett,UTA,1981
13,Kent Benson,DET,1981
14,Henry Bibby,SDC,1981
15,Larry Bird*,BOS,1981
16,Otis Birdsong,KCK,1981
17,Norman Black,DET,1981
18,Ron Boone,UTA,1981
19,Winford Boynes,DAL,1981
20,Dudley Bradley,IND,1981
21,Mike Bratz,CLE,1981
22,Jim Brewer,LAL,1981
24,Ron Brewer,POR,1981
25,Ron Brewer,SAS,1981
26,Junior Bridgeman,MIL,1981
27,Allan Bristow,UTA,1981
28,Dave Britton,WSB,1981
29,Michael Brooks,SDC,1981
30,Fred Brown,SEA,1981
31,Lewis Brown,WSB,1981
32,Rickey Brown,GSW,1981
33,Joe Bryant,SDC,1981
34,Quinn Buckner,MIL,1981
35,Tom Burleson,ATL,1981
36,Don Buse,IND,1981
37,Marty Byrnes,DAL,1981
38,Mack Calvin,CLE,1981
40,Austin Carr,DAL,1981
41,Austin Carr,WSB,1981
42,Kenny Carr,CLE,1981
43,M.L. Carr,BOS,1981
44,Joe Barry Carroll,GSW,1981
45,Butch Carter,LAL,1981
46,Reggie Carter,NYK,1981
47,Bill Cartwright,NYK,1981
48,Harvey Catchings,MIL,1981
49,Maurice Cheeks*,PHI,1981
50,Phil Chenier,GSW,1981
51,Jim Chones,LAL,1981
52,Art Collins,ATL,1981
54,Don Collins,ATL,1981
55,Don Collins,WSB,1981
56,Doug Collins,PHI,1981
57,Darwin Cook,NJN,1981
58,Jeff Cook,PHO,1981
59,Michael Cooper,LAL,1981
60,Wayne Cooper,UTA,1981
61,Dave Corzine,SAS,1981
62,Charlie Criss,ATL,1981
63,Geoff Crompton,POR,1981
64,Pat Cummings,MIL,1981
65,Earl Cureton,PHI,1981
66,Bob Dandridge,WSB,1981
67,Adrian Dantley*,UTA,1981
68,Brad Davis,DAL,1981
69,Johnny Davis,IND,1981
71,Monti Davis,PHI,1981
72,Monti Davis,DAL,1981
73,Ron Davis,SDC,1981
74,Walter Davis,PHO,1981
75,Darryl Dawkins,PHI,1981
76,Larry Demic,NYK,1981
77,Coby Dietrick,CHI,1981
78,James Donaldson,SEA,1981
79,Jacky Dorsey,SEA,1981
80,Leon Douglas,KCK,1981
81,John Drew,ATL,1981
82,Larry Drew,DET,1981
83,Ralph Drollinger,DAL,1981
85,Terry Duerod,DAL,1981
86,Terry Duerod,BOS,1981
87,Mike Dunleavy,HOU,1981
88,T.R. Dunn,DEN,1981
89,John Duren,UTA,1981
90,James Edwards,IND,1981
91,Bob Elliott,NJN,1981
92,Len Elmore,MIL,1981
93,Alex English*,DEN,1981
94,Julius Erving*,PHI,1981
95,Mike Evans,MIL,1981
96,Eric Fernsten,BOS,1981
97,Chris Ford,BOS,1981
98,Don Ford,CLE,1981
99,Phil Ford,KCK,1981
100,World B. Free,GSW,1981
101,Tony Fuller,DET,1981
103,Mike Gale,SAS,1981
104,Mike Gale,POR,1981
105,Calvin Garrett,HOU,1981
107,Gus Gerard,KCK,1981
108,Gus Gerard,SAS,1981
109,George Gervin*,SAS,1981
110,Artis Gilmore*,CHI,1981
111,Mike Glenn,NYK,1981
112,Mike Gminski,NJN,1981
113,Glen Gondrezick,DEN,1981
114,Rickey Green,UTA,1981
115,Dave Greenwood,CHI,1981
116,Kevin Grevey,WSB,1981
117,Paul Griffin,SAS,1981
118,Darrell Griffith,UTA,1981
119,Bob Gross,POR,1981
120,Ernie Grunfeld,KCK,1981
121,Roy Hamilton,POR,1981
122,Bill Hanzlik,SEA,1981
123,Alan Hardy,LAL,1981
124,James Hardy,UTA,1981
125,Mike Harper,POR,1981
127,Joe Hassett,DAL,1981
128,Joe Hassett,GSW,1981
129,Steve Hawes,ATL,1981
130,Elvin Hayes*,WSB,1981
131,Gar Heard,SDC,1981
132,Gerald Henderson,BOS,1981
133,Tom Henderson,HOU,1981
134,Keith Herron,DET,1981
135,Kenny Higgs,DEN,1981
136,Johnny High,PHO,1981
138,Armond Hill,ATL,1981
139,Armond Hill,SEA,1981
140,Brad Holland,LAL,1981
141,Lionel Hollins,PHI,1981
142,Cedrick Hordges,DEN,1981
143,Phil Hubbard,DET,1981
145,Kim Hughes,DEN,1981
146,Kim Hughes,CLE,1981
148,Geoff Huston,DAL,1981
149,Geoff Huston,CLE,1981
150,Dan Issel*,DEN,1981
151,Tony Jackson,LAL,1981
152,Abdul Jeelani,DAL,1981
153,Clemon Johnson,IND,1981
154,Dennis Johnson*,PHO,1981
155,Eddie Johnson,ATL,1981
156,George Johnson,SAS,1981
157,George Johnson,IND,1981
158,John Johnson,SEA,1981
160,Lee Johnson,HOU,1981
161,Lee Johnson,DET,1981
162,Magic Johnson*,LAL,1981
163,Marques Johnson,MIL,1981
164,Mickey Johnson,MIL,1981
165,Ollie Johnson,PHI,1981
166,Reggie Johnson,SAS,1981
167,Vinnie Johnson,SEA,1981
168,Bobby Jones*,PHI,1981
169,Caldwell Jones,PHI,1981
170,Dwight Jones,CHI,1981
171,Edgar Jones,NJN,1981
172,Major Jones,HOU,1981
174,Eddie Jordan,NJN,1981
175,Eddie Jordan,LAL,1981
176,Walter Jordan,CLE,1981
177,Jeff Judkins,UTA,1981
178,Clarence Kea,DAL,1981
179,Rich Kelley,PHO,1981
180,Greg Kelser,DET,1981
181,Larry Kenon,CHI,1981
183,Chad Kinch,CLE,1981
184,Chad Kinch,DAL,1981
185,Bernard King*,GSW,1981
186,Reggie King,KCK,1981
187,Billy Knight,IND,1981
188,Joel Kramer,PHO,1981
189,Wayne Kreklow,BOS,1981
190,Kevin Kunnert,POR,1981
191,Mitch Kupchak,WSB,1981
192,Sam Lacey,KCK,1981
193,Tom LaGarde,DAL,1981
194,Bill Laimbeer,CLE,1981
196,John Lambert,CLE,1981
197,John Lambert,KCK,1981
198,Mark Landsberger,LAL,1981
199,Bob Lanier*,MIL,1981
200,Edmund Lawrence,DET,1981
201,Allen Leavell,HOU,1981
202,Ron Lee,DET,1981
203,Ronnie Lester,CHI,1981
204,Scott Lloyd,DAL,1981
205,John Long,DET,1981
206,John Lucas,GSW,1981
207,Maurice Lucas,NJN,1981
209,Ollie Mack,CHI,1981
210,Ollie Mack,DAL,1981
211,Kyle Macy,PHO,1981
212,Rick Mahorn,WSB,1981
213,Moses Malone*,HOU,1981
215,Wes Matthews,WSB,1981
216,Wes Matthews,ATL,1981
217,Cedric Maxwell,BOS,1981
218,Scott May,CHI,1981
219,Bill Mayfield,GSW,1981
221,Bob McAdoo*,DET,1981
222,Bob McAdoo*,NJN,1981
223,Andre McCarter,WSB,1981
224,Keith McCord,WSB,1981
225,Jim McElroy,ATL,1981
226,George McGinnis*,IND,1981
227,Kevin McHale*,BOS,1981
229,Billy McKinney,UTA,1981
230,Billy McKinney,DEN,1981
231,Tom McMillen,ATL,1981
232,John Mengelt,GSW,1981
233,Joe Meriweather,KCK,1981
235,Dick Miller,IND,1981
236,Dick Miller,UTA,1981
237,Mike Mitchell,CLE,1981
238,Steve Mix,PHI,1981
239,Paul Mokeski,DET,1981
240,Sidney Moncrief*,MIL,1981
241,Johnny Moore,SAS,1981
242,Lowes Moore,NJN,1981
243,Calvin Murphy*,HOU,1981
244,Swen Nater,SDC,1981
245,Calvin Natt,POR,1981
246,Kenny Natt,IND,1981
247,Mike Newlin,NJN,1981
249,Carl Nicks,DEN,1981
250,Carl Nicks,UTA,1981
251,Mike Niles,PHO,1981
252,Norm Nixon,LAL,1981
253,Mike O'Koren,NJN,1981
254,Mark Olberding,SAS,1981
255,Jawann Oldham,DEN,1981
256,Louis Orr,IND,1981
257,Tom Owens,POR,1981
258,Robert Parish*,BOS,1981
259,Sonny Parker,GSW,1981
260,Myles Patrick,LAL,1981
261,Billy Paultz,HOU,1981
262,Jim Paxson,POR,1981
263,Sam Pellom,ATL,1981
264,Roger Phegley,CLE,1981
266,Stan Pietkiewicz,SDC,1981
267,Stan Pietkiewicz,DAL,1981
268,Ben Poquette,UTA,1981
269,Kevin Porter,WSB,1981
270,Tony Price,SDC,1981
271,Wally Rank,SDC,1981
272,Kelvin Ransey,POR,1981
273,Clifford Ray,GSW,1981
274,James Ray,DEN,1981
275,Billy Reid,GSW,1981
276,Robert Reid,HOU,1981
277,Kevin Restani,SAS,1981
278,Clint Richardson,PHI,1981
279,Micheal Ray Richardson,NYK,1981
280,Anthony Roberts,WSB,1981
281,Rick Robey,BOS,1981
282,Cliff Robinson,NJN,1981
283,Truck Robinson,PHO,1981
284,Wayne Robinson,DET,1981
286,Bill Robinzine,CLE,1981
287,Bill Robinzine,DAL,1981
289,Dave Robisch,CLE,1981
290,Dave Robisch,DEN,1981
291,John Roche,DEN,1981
292,Tree Rollins,ATL,1981
293,Lorenzo Romar,GSW,1981
294,Dan Roundfield,ATL,1981
295,Campy Russell,NYK,1981
296,Frankie Sanders,KCK,1981
297,DeWayne Scales,NYK,1981
298,Alvin Scott,PHO,1981
299,Craig Shelton,ATL,1981
300,Lonnie Shelton,SEA,1981
301,Purvis Short,GSW,1981
303,John Shumate,SAS,1981
304,John Shumate,SEA,1981
305,Jerry Sichting,IND,1981
306,Jack Sikma*,SEA,1981
307,James Silas,SAS,1981
308,Larry Smith,GSW,1981
309,Phil Smith,SDC,1981
310,Randy Smith,CLE,1981
311,Robert Smith,CLE,1981
312,Ricky Sobers,CHI,1981
313,Jim Spanarkel,DAL,1981
314,Rory Sparrow,NJN,1981
315,John Stroud,HOU,1981
316,Brian Taylor,SDC,1981
317,Carlos Terry,WSB,1981
318,Reggie Theus,CHI,1981
319,David Thompson*,DEN,1981
320,Mychal Thompson,POR,1981
321,Rudy Tomjanovich,HOU,1981
322,Andrew Toney,PHI,1981
323,Terry Tyler,DET,1981
324,Wes Unseld*,WSB,1981
325,Ronnie Valentine,DEN,1981
326,Jan van Breda Kolff,NJN,1981
327,Kiki Vandeweghe,DEN,1981
328,Brett Vroman,UTA,1981
329,Foots Walker,NJN,1981
330,Wally Walker,SEA,1981
331,Lloyd Walton,KCK,1981
332,Kermit Washington,POR,1981
334,Richard Washington,DAL,1981
335,Richard Washington,CLE,1981
336,Marvin Webster,NYK,1981
337,Scott Wedman,KCK,1981
338,Paul Westphal*,SEA,1981
339,Jo Jo White*,KCK,1981
341,Rudy White,GSW,1981
342,Rudy White,SEA,1981
344,Jerome Whitehead,DAL,1981
345,Jerome Whitehead,CLE,1981
346,Jerome Whitehead,SDC,1981
347,Hawkeye Whitney,KCK,1981
348,Sidney Wicks,SDC,1981
349,Michael Wiley,SAS,1981
350,Bob Wilkerson,CHI,1981
351,Jamaal Wilkes*,LAL,1981
352,James Wilkes,CHI,1981
353,Jeff Wilkins,UTA,1981
354,Freeman Williams,SDC,1981
355,Ray Williams,NYK,1981
356,Sly Williams,NYK,1981
357,John Williamson,WSB,1981
358,Bill Willoughby,HOU,1981
359,Brian Winters,MIL,1981
360,Mike Woodson,NYK,1981
361,Sam Worthen,CHI,1981
362,Larry Wright,DET,1981
