,Player,Tm,Year
0,Mark Acres,ORL,1990
1,Michael Adams,DEN,1990
2,Mark Aguirre,DET,1990
3,Danny Ainge,SAC,1990
4,Mark Alarie,WSB,1990
5,Steve Alford,DAL,1990
6,Randy Allen,SAC,1990
7,Greg Anderson,MIL,1990
8,Nick Anderson,ORL,1990
9,Richard Anderson,CHH,1990
10,Ron Anderson,PHI,1990
11,Willie Anderson,SAS,1990
12,Michael Ansley,ORL,1990
13,B.J. Armstrong,CHI,1990
14,John Bagley,BOS,1990
15,Thurl Bailey,UTA,1990
16,Ken Bannister,LAC,1990
17,Charles Barkley*,PHI,1990
18,Dana Barros,SEA,1990
19,John Battle,ATL,1990
20,Kenny Battle,PHO,1990
21,William Bedford,DET,1990
22,Benoit Benjamin,LAC,1990
23,Winston Bennett,CLE,1990
24,Larry Bird*,BOS,1990
26,Uwe Blab,GSW,1990
27,Uwe Blab,SAS,1990
28,Rolando Blackman,DAL,1990
29,Mookie Blaylock,NJN,1990
30,Muggsy Bogues,CHH,1990
31,Manute Bol,GSW,1990
32,Anthony Bowie,HOU,1990
33,Sam Bowie,NJN,1990
34,Adrian Branch,MIN,1990
36,Randy Breuer,MIL,1990
37,Randy Breuer,MIN,1990
38,Frank Brickowski,SAS,1990
39,Scott Brooks,PHI,1990
40,Chucky Brown,CLE,1990
41,Mike Brown,UTA,1990
42,Raymond Brown,UTA,1990
43,Tony Brown,MIL,1990
44,Stanley Brundy,NJN,1990
45,Mark Bryant,POR,1990
46,Torgeir Bryn,LAC,1990
47,Steve Bucknall,LAL,1990
48,Greg Butler,NYK,1990
49,Michael Cage,SEA,1990
50,Adrian Caldwell,HOU,1990
51,Tony Campbell,MIN,1990
52,Rick Carlisle,NJN,1990
54,Antoine Carr,ATL,1990
55,Antoine Carr,SAC,1990
57,Joe Barry Carroll,NJN,1990
58,Joe Barry Carroll,DEN,1990
59,Bill Cartwright,CHI,1990
60,Terry Catledge,ORL,1990
61,Tom Chambers,PHO,1990
62,Rex Chapman,CHH,1990
64,Maurice Cheeks*,SAS,1990
65,Maurice Cheeks*,NYK,1990
67,Derrick Chievous,HOU,1990
68,Derrick Chievous,CLE,1990
69,Ben Coleman,MIL,1990
70,Steve Colter,WSB,1990
71,Lester Conner,NJN,1990
72,Michael Cooper,LAL,1990
73,Wayne Cooper,POR,1990
74,Lanard Copeland,PHI,1990
75,Tyrone Corbin,MIN,1990
76,Dave Corzine,ORL,1990
77,Pat Cummings,MIA,1990
78,Terry Cummings,SAS,1990
79,Dell Curry,CHH,1990
80,Quintin Dailey,SEA,1990
81,Adrian Dantley*,DAL,1990
82,Brad Daugherty,CLE,1990
83,Brad Davis,DAL,1990
84,Charles Davis,CHI,1990
85,Terry Davis,MIA,1990
86,Walter Davis,DEN,1990
87,Johnny Dawkins,PHI,1990
88,Vinny Del Negro,SAC,1990
