,Player,Tm,Year
0,Tariq Abdul-Wahad,SAC,1999
1,Shareef Abdur-Rahim,VAN,1999
2,Cory Alexander,DEN,1999
3,Ray Allen*,MIL,1999
4,Peter Aluma,SAC,1999
5,Derek Anderson,CLE,1999
6,Kenny Anderson,BOS,1999
7,Nick Anderson,ORL,1999
8,Shandon Anderson,UTA,1999
9,Chris Anstey,DAL,1999
10,Greg Anthony,POR,1999
12,B.J. Armstrong,CHH,1999
13,B.J. Armstrong,ORL,1999
14,Darrell Armstrong,ORL,1999
15,Keith Askins,MIA,1999
16,Stacey Augmon,POR,1999
17,Isaac Austin,ORL,1999
18,Anthony Avent,UTA,1999
19,Thurl Bailey,UTA,1999
20,Toby Bailey,PHO,1999
21,LaMark Baker,TOR,1999
22,Vin Baker,SEA,1999
23,Charles Barkley*,HOU,1999
24,Dana Barros,BOS,1999
25,Brent Barry,CHI,1999
26,Drew Barry,SEA,1999
27,Jon Barry,SAC,1999
28,Tony Battie,BOS,1999
30,Corey Beck,DET,1999
31,Corey Beck,CHH,1999
32,Benoit Benjamin,PHI,1999
33,Corey Benjamin,CHI,1999
34,Mario Bennett,CHI,1999
35,Travis Best,IND,1999
36,Mike Bibby,VAN,1999
37,Chauncey Billups,DEN,1999
38,Mookie Blaylock,ATL,1999
40,Corie Blount,LAL,1999
41,Corie Blount,CLE,1999
42,Muggsy Bogues,GSW,1999
43,Etdrick Bohannon,WAS,1999
44,Keith Booth,CHI,1999
45,Bruce Bowen,BOS,1999
47,Earl Boykins,NJN,1999
48,Earl Boykins,CLE,1999
49,Shawn Bradley,DAL,1999
51,Terrell Brandon,MIL,1999
52,Terrell Brandon,MIN,1999
53,Chucky Brown,CHH,1999
54,Dee Brown,TOR,1999
55,Gerald Brown,PHO,1999
56,P.J. Brown,MIA,1999
57,Randy Brown,CHI,1999
58,Rick Brunson,NYK,1999
59,Kobe Bryant,LAL,1999
60,Mark Bryant,CHI,1999
61,Jud Buechler,DET,1999
62,Matt Bullard,HOU,1999
63,Scott Burrell,NJN,1999
64,Willie Burton,CHH,1999
65,Mitchell Butler,CLE,1999
66,Jason Caffey,GSW,1999
67,Marcus Camby,NYK,1999
69,Elden Campbell,LAL,1999
70,Elden Campbell,CHH,1999
71,Antoine Carr,HOU,1999
73,Chris Carr,MIN,1999
74,Chris Carr,NJN,1999
75,Cory Carr,CHI,1999
76,Vince Carter,TOR,1999
78,Sam Cassell,NJN,1999
79,Sam Cassell,MIL,1999
80,Kelvin Cato,POR,1999
81,Duane Causwell,MIA,1999
82,Cedric Ceballos,DAL,1999
83,Rex Chapman,PHO,1999
84,Calbert Cheaney,WAS,1999
85,Pete Chilcutt,VAN,1999
86,Chris Childs,NYK,1999
87,Doug Christie,TOR,1999
88,Keon Clark,DEN,1999
89,Keith Closs,LAC,1999
90,John Coker,WAS,1999
91,Derrick Coleman,CHH,1999
92,Bimbo Coles,GSW,1999
93,Marty Conlon,MIA,1999
94,Tyrone Corbin,ATL,1999
95,James Cotton,SEA,1999
96,Chris Crawford,ATL,1999
97,Austin Croshere,IND,1999
99,John Crotty,POR,1999
100,John Crotty,SEA,1999
101,Terry Cummings,GSW,1999
103,William Cunningham,TOR,1999
104,William Cunningham,NJN,1999
105,Bill Curley,MIN,1999
106,Dell Curry,MIL,1999
107,Michael Curry,MIL,1999
108,Erick Dampier,GSW,1999
109,Antonio Daniels,SAS,1999
110,Kornel David,CHI,1999
111,Antonio Davis,IND,1999
112,Ben Davis,NYK,1999
113,Dale Davis,IND,1999
114,Hubert Davis,DAL,1999
115,Mark Davis,MIA,1999
116,Ricky Davis,CHH,1999
117,Terry Davis,WAS,1999
119,Andrew DeClercq,BOS,1999
120,Andrew DeClercq,CLE,1999
122,Terry Dehere,SAC,1999
123,Terry Dehere,VAN,1999
124,Vinny Del Negro,MIL,1999
125,Bison Dele,DET,1999
126,Tony Delk,GSW,1999
127,Michael Dickerson,HOU,1999
128,Vlade Divac*,SAC,1999
129,Michael Doleac,ORL,1999
130,Sherman Douglas,LAC,1999
131,Bryce Drew,HOU,1999
132,Chris Dudley,NYK,1999
133,Joe Dumars*,DET,1999
134,Tim Duncan,SAS,1999
135,Blue Edwards,MIA,1999
136,Howard Eisley,UTA,1999
137,Mario Elie,SAS,1999
138,Sean Elliott,SAS,1999
139,Dale Ellis,SEA,1999
140,LaPhonso Ellis,ATL,1999
142,Brian Evans,NJN,1999
143,Brian Evans,MIN,1999
144,Patrick Ewing*,NYK,1999
146,Jamie Feick,MIL,1999
147,Jamie Feick,NJN,1999
148,Duane Ferrell,GSW,1999
149,Danny Ferry,CLE,1999
150,Michael Finley,DAL,1999
151,Derek Fisher,LAL,1999
152,Danny Fortson,DEN,1999
153,Greg Foster,UTA,1999
154,Rick Fox,LAL,1999
155,Adonal Foyle,GSW,1999
156,Todd Fuller,UTA,1999
157,Lawrence Funderburke,SAC,1999
158,Kevin Garnett,MIN,1999
159,Marlon Garnett,BOS,1999
160,Dean Garrett,MIN,1999
161,Pat Garrity,PHO,1999
163,Chris Gatling,NJN,1999
164,Chris Gatling,MIL,1999
165,Andrew Gaze,SAS,1999
166,Matt Geiger,PHI,1999
167,Kendall Gill,NJN,1999
168,Armen Gilliam,MIL,1999
169,Brian Grant,POR,1999
170,Gary Grant,POR,1999
171,Harvey Grant,PHI,1999
172,Horace Grant,ORL,1999
174,Paul Grant,MIN,1999
175,Paul Grant,MIL,1999
176,Ed Gray,ATL,1999
177,A.C. Green,DAL,1999
178,Litterial Green,CLE,1999
179,Tom Gugliotta,PHO,1999
180,Tom Hammonds,MIN,1999
181,Anfernee Hardaway,ORL,1999
182,Tim Hardaway,MIA,1999
183,Derek Harper,LAL,1999
184,Ron Harper,CHI,1999
185,Matt Harpring,ORL,1999
186,Al Harrington,IND,1999
187,Othella Harrington,HOU,1999
188,Lucious Harris,NJN,1999
189,Hersey Hawkins,SEA,1999
190,Michael Hawkins,SAC,1999
191,Alan Henderson,ATL,1999
192,Cedric Henderson,CLE,1999
193,J.R. Henderson,VAN,1999
194,Mark Hendrickson,NJN,1999
195,Steve Henson,DET,1999
197,Carl Herrera,VAN,1999
198,Carl Herrera,DEN,1999
199,Grant Hill*,DET,1999
201,Tyrone Hill,MIL,1999
202,Tyrone Hill,PHI,1999
203,Fred Hoiberg,IND,1999
205,Jerald Honeycutt,MIL,1999
206,Jerald Honeycutt,PHI,1999
207,Jeff Hornacek,UTA,1999
208,Robert Horry,LAL,1999
209,Allan Houston,NYK,1999
210,Juwan Howard,WAS,1999
211,Troy Hudson,LAC,1999
212,Larry Hughes,PHI,1999
213,Lindsey Hunter,DET,1999
214,Zydrunas Ilgauskas,CLE,1999
215,Allen Iverson*,PHI,1999
216,Bobby Jackson,MIN,1999
217,Jaren Jackson,SAS,1999
218,Jim Jackson,POR,1999
219,Mark Jackson,IND,1999
220,Randell Jackson,WAS,1999
221,Sam Jacobson,LAL,1999
222,Jerome James,SAC,1999
223,Antawn Jamison,GSW,1999
224,Anthony Johnson,ATL,1999
225,Avery Johnson,SAS,1999
226,Eddie Johnson,HOU,1999
227,Ervin Johnson,MIL,1999
228,Larry Johnson,NYK,1999
229,Charles Jones,CHI,1999
231,Damon Jones,NJN,1999
232,Damon Jones,BOS,1999
234,Eddie Jones,LAL,1999
235,Eddie Jones,CHH,1999
236,Popeye Jones,BOS,1999
237,Adonis Jordan,MIL,1999
238,Reggie Jordan,MIN,1999
239,Adam Keefe,UTA,1999
240,Shawn Kemp,CLE,1999
241,Jonathan Kerner,ORL,1999
242,Steve Kerr,SAS,1999
243,Jerome Kersey,SAS,1999
244,Jason Kidd*,PHO,1999
245,Chris King,UTA,1999
246,Gerard King,SAS,1999
247,Kerry Kittles,NJN,1999
248,Joe Kleine,PHO,1999
249,Brevin Knight,CLE,1999
250,Negele Knight,TOR,1999
251,Travis Knight,LAL,1999
252,Toni Kukoc,CHI,1999
253,Christian Laettner,DET,1999
254,Raef LaFrentz,DEN,1999
255,Andrew Lang,CHI,1999
256,Antonio Lang,CLE,1999
257,Rusty LaRue,CHI,1999
258,Tim Legler,WAS,1999
259,Voshon Lenard,MIA,1999
260,Rashard Lewis,SEA,1999
261,Randy Livingston,PHO,1999
262,Grant Long,ATL,1999
263,Luc Longley,PHO,1999
264,Felipe Lopez,VAN,1999
265,Tyronn Lue,LAL,1999
266,George Lynch,PHI,1999
268,Sam Mack,VAN,1999
269,Sam Mack,HOU,1999
270,Don MacLean,SEA,1999
271,Mark Macon,DET,1999
272,Rick Mahorn,PHI,1999
273,Dan Majerle,MIA,1999
274,Karl Malone*,UTA,1999
275,Matt Maloney,HOU,1999
276,Danny Manning,PHO,1999
278,Stephon Marbury,MIN,1999
279,Stephon Marbury,NJN,1999
280,Sean Marks,TOR,1999
281,Donyell Marshall,GSW,1999
282,Darrick Martin,LAC,1999
283,Jamal Mashburn,MIA,1999
284,Tony Massenburg,VAN,1999
