,Player,Tm,Year
0,Kareem Abdul-Jabbar*,LAL,1983
1,Alvan Adams,PHO,1983
2,Mark Aguirre,DAL,1983
3,Danny Ainge,BOS,1983
4,Dwight Anderson,DEN,1983
6,J.J. Anderson,PHI,1983
7,J.J. Anderson,UTA,1983
8,Richard Anderson,SDC,1983
9,Tiny Archibald*,BOS,1983
10,John Bagley,CLE,1983
12,James Bailey,NJN,1983
13,James Bailey,HOU,1983
14,Greg Ballard,WSB,1983
15,Gene Banks,SAS,1983
17,Billy Ray Bates,WSB,1983
18,Billy Ray Bates,LAL,1983
19,Dave Batton,WSB,1983
20,Kent Benson,DET,1983
21,Larry Bird*,BOS,1983
22,Otis Birdsong,NJN,1983
23,Rolando Blackman,DAL,1983
24,Charles Bradley,BOS,1983
25,Dudley Bradley,CHI,1983
26,Brad Branson,IND,1983
27,Mike Bratz,CHI,1983
29,Ron Brewer,CLE,1983
30,Ron Brewer,GSW,1983
31,Junior Bridgeman,MIL,1983
32,Allan Bristow,DAL,1983
33,Jim Brogan,SDC,1983
34,Michael Brooks,SDC,1983
35,Fred Brown,SEA,1983
37,Rickey Brown,GSW,1983
38,Rickey Brown,ATL,1983
39,Joe Bryant,HOU,1983
40,Quinn Buckner,BOS,1983
41,Don Buse,POR,1983
42,Marty Byrnes,IND,1983
43,Kenny Carr,POR,1983
44,M.L. Carr,BOS,1983
45,Joe Barry Carroll,GSW,1983
46,Butch Carter,IND,1983
47,Bill Cartwright,NYK,1983
48,Harvey Catchings,MIL,1983
49,Tom Chambers,SDC,1983
50,Maurice Cheeks*,PHI,1983
51,Don Collins,WSB,1983
52,Lester Conner,GSW,1983
53,Darwin Cook,NJN,1983
55,Jeff Cook,PHO,1983
56,Jeff Cook,CLE,1983
58,Joe Cooper,LAL,1983
59,Joe Cooper,WSB,1983
60,Joe Cooper,SDC,1983
61,Michael Cooper,LAL,1983
62,Wayne Cooper,POR,1983
63,Dave Corzine,CHI,1983
64,Dave Cowens*,MIL,1983
65,Chubby Cox,WSB,1983
66,Charlie Criss,MIL,1983
67,Geoff Crompton,SAS,1983
68,Pat Cummings,DAL,1983
69,Terry Cummings,SDC,1983
70,Earl Cureton,PHI,1983
71,Quintin Dailey,CHI,1983
72,Adrian Dantley*,UTA,1983
73,Brad Davis,DAL,1983
74,Charles Davis,WSB,1983
75,Johnny Davis,ATL,1983
76,Mike Davis,NYK,1983
77,Walter Davis,PHO,1983
78,Darryl Dawkins,NJN,1983
79,Kenny Dennard,KCK,1983
80,Coby Dietrick,SAS,1983
81,James Donaldson,SEA,1983
82,John Douglas,SDC,1983
83,Leon Douglas,KCK,1983
84,John Drew,UTA,1983
85,Larry Drew,KCK,1983
86,Terry Duerod,GSW,1983
87,Mike Dunleavy,SAS,1983
88,T.R. Dunn,DEN,1983
89,John Duren,IND,1983
90,Mark Eaton,UTA,1983
91,Jerry Eaves,UTA,1983
92,Keith Edmonson,ATL,1983
93,Franklin Edwards,PHI,1983
95,James Edwards,CLE,1983
96,James Edwards,PHO,1983
97,Len Elmore,NJN,1983
98,Chris Engler,GSW,1983
99,Alex English*,DEN,1983
100,Julius Erving*,PHI,1983
101,Mike Evans,DEN,1983
102,Bruce Flowers,CLE,1983
104,Sleepy Floyd,NJN,1983
105,Sleepy Floyd,GSW,1983
107,Phil Ford,NJN,1983
108,Phil Ford,MIL,1983
110,World B. Free,GSW,1983
111,World B. Free,CLE,1983
112,Bill Garnett,DAL,1983
113,Calvin Garrett,HOU,1983
114,George Gervin*,SAS,1983
115,Artis Gilmore*,SAS,1983
116,Mike Glenn,ATL,1983
117,Mike Gminski,NJN,1983
118,Glen Gondrezick,DEN,1983
119,Rickey Green,UTA,1983
120,Dave Greenwood,CHI,1983
121,John Greig,SEA,1983
122,Kevin Grevey,WSB,1983
123,Paul Griffin,SAS,1983
124,Darrell Griffith,UTA,1983
125,Bob Gross,SDC,1983
126,Ernie Grunfeld,NYK,1983
127,Bill Hanzlik,DEN,1983
128,Joe Hassett,GSW,1983
130,Scott Hastings,NYK,1983
131,Scott Hastings,ATL,1983
133,Steve Hawes,ATL,1983
134,Steve Hawes,SEA,1983
135,Elvin Hayes*,HOU,1983
136,Steve Hayes,CLE,1983
137,Spencer Haywood*,WSB,1983
138,Gerald Henderson,BOS,1983
139,Tom Henderson,HOU,1983
140,Rod Higgins,CHI,1983
141,Johnny High,PHO,1983
142,Armond Hill,MIL,1983
143,Craig Hodges,SDC,1983
144,Lionel Hollins,SDC,1983
145,Phil Hubbard,CLE,1983
146,Geoff Huston,CLE,1983
147,Marc Iavaroni,PHI,1983
148,Dan Issel*,DEN,1983
149,Tracy Jackson,CHI,1983
150,Clay Johnson,LAL,1983
152,Clemon Johnson,IND,1983
153,Clemon Johnson,PHI,1983
154,Dennis Johnson*,PHO,1983
155,Eddie Johnson,ATL,1983
156,Eddie Johnson,KCK,1983
157,Frank Johnson,WSB,1983
158,George Johnson,ATL,1983
159,George Johnson,IND,1983
160,Magic Johnson*,LAL,1983
161,Marques Johnson,MIL,1983
163,Mickey Johnson,MIL,1983
164,Mickey Johnson,NJN,1983
165,Mickey Johnson,GSW,1983
167,Reggie Johnson,KCK,1983
168,Reggie Johnson,PHI,1983
169,Steve Johnson,KCK,1983
170,Vinnie Johnson,DET,1983
172,Jim Johnstone,SAS,1983
173,Jim Johnstone,DET,1983
174,Bobby Jones*,PHI,1983
175,Caldwell Jones,HOU,1983
177,Dwight Jones,CHI,1983
178,Dwight Jones,LAL,1983
180,Edgar Jones,DET,1983
181,Edgar Jones,SAS,1983
182,Hutch Jones,SDC,1983
183,Major Jones,HOU,1983
184,Eddie Jordan,LAL,1983
185,Jeff Judkins,POR,1983
