,Player,Tm,Year
0,Mahmoud Abdul-Rauf,VAN,2001
1,Tariq Abdul-Wahad,DEN,2001
2,Shareef Abdur-Rahim,VAN,2001
3,Cory Alexander,ORL,2001
5,Courtney Alexander,DAL,2001
6,Courtney Alexander,WAS,2001
7,Ray Allen*,MIL,2001
8,Rafer Alston,MIL,2001
9,John Amaechi,ORL,2001
10,Derek Anderson,SAS,2001
11,Kenny Anderson,BOS,2001
12,Nick Anderson,SAC,2001
13,Shandon Anderson,HOU,2001
14,Greg Anthony,POR,2001
15,Darrell Armstrong,ORL,2001
16,Chucky Atkins,DET,2001
17,Stacey Augmon,POR,2001
18,Isaac Austin,VAN,2001
19,William Avery,MIN,2001
20,Dalibor Bagaric,CHI,2001
21,Vin Baker,SEA,2001
22,Erick Barkley,POR,2001
23,Dana Barros,DET,2001
24,Brent Barry,SEA,2001
25,Jon Barry,SAC,2001
26,Tony Battie,BOS,2001
27,Raja Bell,PHI,2001
28,Jonathan Bender,IND,2001
29,Corey Benjamin,CHI,2001
30,David Benoit,UTA,2001
31,Travis Best,IND,2001
32,Mike Bibby,VAN,2001
33,Chauncey Billups,MIN,2001
34,Mookie Blaylock,GSW,2001
36,Corie Blount,PHO,2001
37,Corie Blount,GSW,2001
38,Mark Blount,BOS,2001
39,Muggsy Bogues,TOR,2001
40,Etdrick Bohannon,CLE,2001
42,Calvin Booth,WAS,2001
43,Calvin Booth,DAL,2001
44,Cal Bowdler,ATL,2001
45,Bruce Bowen,MIA,2001
46,Ryan Bowen,DEN,2001
47,Ira Bowman,ATL,2001
48,Earl Boykins,LAC,2001
49,Shawn Bradley,DAL,2001
50,Elton Brand,CHI,2001
51,Terrell Brandon,MIN,2001
53,Chucky Brown,GSW,2001
54,Chucky Brown,CLE,2001
55,Dee Brown,ORL,2001
56,P.J. Brown,CHH,2001
57,Randy Brown,BOS,2001
59,Rick Brunson,BOS,2001
60,Rick Brunson,NYK,2001
61,Kobe Bryant,LAL,2001
62,Mark Bryant,DAL,2001
63,Greg Buckner,DAL,2001
64,Jud Buechler,DET,2001
65,Rodney Buford,PHI,2001
66,Matt Bullard,HOU,2001
67,Scott Burrell,CHH,2001
68,Jason Caffey,MIL,2001
69,Marcus Camby,NYK,2001
70,Elden Campbell,CHH,2001
71,Brian Cardinal,DET,2001
72,Chris Carr,BOS,2001
73,Anthony Carter,MIA,2001
74,Vince Carter,TOR,2001
75,Sam Cassell,MIL,2001
76,Kelvin Cato,HOU,2001
77,Duane Causwell,MIA,2001
