,Player,Tm,Year
0,Alex Abrines,OKC,2017
2,Quincy Acy,DAL,2017
3,Quincy Acy,BRK,2017
4,Steven Adams,OKC,2017
5,Arron Afflalo,SAC,2017
6,Alexis Ajinca,NOP,2017
7,Cole Aldrich,MIN,2017
8,LaMarcus Aldridge,SAS,2017
9,Lavoy Allen,IND,2017
10,Tony Allen,MEM,2017
11,Al-Farouq Aminu,POR,2017
12,Chris Andersen,CLE,2017
13,Alan Anderson,LAC,2017
15,Justin Anderson,DAL,2017
16,Justin Anderson,PHI,2017
17,Kyle Anderson,SAS,2017
18,Ryan Anderson,HOU,2017
19,Giannis Antetokounmpo,MIL,2017
20,Carmelo Anthony,NYK,2017
21,Joel Anthony,SAS,2017
22,Trevor Ariza,HOU,2017
23,Darrell Arthur,DEN,2017
24,Omer Asik,NOP,2017
25,D.J. Augustin,ORL,2017
26,Luke Babbitt,MIA,2017
27,Ron Baker,NYK,2017
28,Wade Baldwin,MEM,2017
29,Leandro Barbosa,PHO,2017
30,J.J. Barea,DAL,2017
31,Harrison Barnes,DAL,2017
33,Matt Barnes,SAC,2017
34,Matt Barnes,GSW,2017
35,Will Barton,DEN,2017
36,Brandon Bass,LAC,2017
37,Nicolas Batum,CHO,2017
38,Jerryd Bayless,PHI,2017
39,Aron Baynes,DET,2017
40,Kent Bazemore,ATL,2017
41,Bradley Beal,WAS,2017
42,Malik Beasley,DEN,2017
43,Michael Beasley,MIL,2017
44,Marco Belinelli,CHO,2017
45,DeAndre' Bembry,ATL,2017
46,Dragan Bender,PHO,2017
47,Anthony Bennett,BRK,2017
48,Ben Bentil,DAL,2017
49,Davis Bertans,SAS,2017
50,Patrick Beverley,HOU,2017
51,Bismack Biyombo,ORL,2017
52,Nemanja Bjelica,MIN,2017
53,Tarik Black,LAL,2017
54,Eric Bledsoe,PHO,2017
56,Bojan Bogdanovic,BRK,2017
57,Bojan Bogdanovic,WAS,2017
59,Andrew Bogut,DAL,2017
60,Andrew Bogut,CLE,2017
61,Joel Bolomboy,UTA,2017
62,Devin Booker,PHO,2017
63,Trevor Booker,BRK,2017
64,Avery Bradley,BOS,2017
66,Corey Brewer,HOU,2017
67,Corey Brewer,LAL,2017
68,Malcolm Brogdon,MIL,2017
69,Aaron Brooks,IND,2017
71,Anthony Brown,NOP,2017
72,Anthony Brown,ORL,2017
73,Bobby Brown,HOU,2017
74,Jaylen Brown,BOS,2017
75,Nicolas Brussino,DAL,2017
76,Reggie Bullock,DET,2017
77,Trey Burke,WAS,2017
78,Alec Burks,UTA,2017
79,Jimmy Butler,CHI,2017
80,Bruno Caboclo,TOR,2017
82,Jose Calderon,LAL,2017
83,Jose Calderon,ATL,2017
84,Kentavious Caldwell-Pope,DET,2017
85,Isaiah Canaan,CHI,2017
86,Clint Capela,HOU,2017
87,DeMarre Carroll,TOR,2017
88,Vince Carter,MEM,2017
89,Michael Carter-Williams,CHI,2017
91,Omri Casspi,SAC,2017
92,Omri Casspi,NOP,2017
93,Omri Casspi,MIN,2017
94,Willie Cauley-Stein,SAC,2017
95,Tyson Chandler,PHO,2017
96,Wilson Chandler,DEN,2017
97,Marquese Chriss,PHO,2017
98,Rakeem Christmas,IND,2017
99,Semaj Christon,OKC,2017
100,Ian Clark,GSW,2017
101,Jordan Clarkson,LAL,2017
102,Norris Cole,OKC,2017
103,Darren Collison,SAC,2017
104,Nick Collison,OKC,2017
105,Mike Conley,MEM,2017
106,Pat Connaughton,POR,2017
108,Quinn Cook,DAL,2017
109,Quinn Cook,NOP,2017
111,DeMarcus Cousins,SAC,2017
112,DeMarcus Cousins,NOP,2017
113,Robert Covington,PHI,2017
114,Allen Crabbe,POR,2017
115,Jamal Crawford,LAC,2017
116,Jordan Crawford,NOP,2017
117,Jae Crowder,BOS,2017
118,Dante Cunningham,NOP,2017
119,Seth Curry,DAL,2017
120,Stephen Curry,GSW,2017
121,Troy Daniels,MEM,2017
122,Anthony Davis,NOP,2017
123,Deyonta Davis,MEM,2017
124,Ed Davis,POR,2017
125,Dewayne Dedmon,SAS,2017
126,Sam Dekker,HOU,2017
127,Malcolm Delaney,ATL,2017
128,Matthew Dellavedova,MIL,2017
129,Luol Deng,LAL,2017
130,DeMar DeRozan,TOR,2017
131,Cheick Diallo,NOP,2017
132,Boris Diaw,UTA,2017
133,Gorgui Dieng,MIN,2017
134,Spencer Dinwiddie,BRK,2017
135,Toney Douglas,MEM,2017
136,Goran Dragic,MIA,2017
137,Andre Drummond,DET,2017
138,Jared Dudley,PHO,2017
140,Mike Dunleavy,CLE,2017
141,Mike Dunleavy,ATL,2017
142,Kris Dunn,MIN,2017
143,Kevin Durant,GSW,2017
144,Jarell Eddie,PHO,2017
145,Henry Ellenson,DET,2017
146,Wayne Ellington,MIA,2017
147,Monta Ellis,IND,2017
148,Joel Embiid,PHI,2017
149,James Ennis,MEM,2017
151,Tyler Ennis,HOU,2017
152,Tyler Ennis,LAL,2017
154,Tyreke Evans,NOP,2017
155,Tyreke Evans,SAC,2017
156,Dante Exum,UTA,2017
157,Kenneth Faried,DEN,2017
158,Jordan Farmar,SAC,2017
159,Derrick Favors,UTA,2017
160,Kay Felder,CLE,2017
161,Cristiano Felicio,CHI,2017
162,Raymond Felton,LAC,2017
164,Yogi Ferrell,BRK,2017
165,Yogi Ferrell,DAL,2017
166,Dorian Finney-Smith,DAL,2017
167,Bryn Forbes,SAS,2017
168,Evan Fournier,ORL,2017
169,Randy Foye,BRK,2017
170,Tim Frazier,NOP,2017
171,Channing Frye,CLE,2017
172,Danilo Gallinari,DEN,2017
174,Langston Galloway,NOP,2017
175,Langston Galloway,SAC,2017
176,Patricio Garino,ORL,2017
177,Marc Gasol,MEM,2017
178,Pau Gasol,SAS,2017
179,Rudy Gay,SAC,2017
180,Michael Gbinije,DET,2017
181,Alonzo Gee,DEN,2017
182,Paul George,IND,2017
183,Marcus Georges-Hunt,ORL,2017
184,Jonathan Gibson,DAL,2017
186,Taj Gibson,CHI,2017
187,Taj Gibson,OKC,2017
188,Manu Ginobili,SAS,2017
189,Rudy Gobert,UTA,2017
191,Archie Goodwin,NOP,2017
192,Archie Goodwin,BRK,2017
193,Aaron Gordon,ORL,2017
194,Eric Gordon,HOU,2017
195,Marcin Gortat,WAS,2017
196,Treveon Graham,CHO,2017
198,Jerami Grant,PHI,2017
199,Jerami Grant,OKC,2017
200,Jerian Grant,CHI,2017
201,Danny Green,SAS,2017
202,Draymond Green,GSW,2017
203,Gerald Green,BOS,2017
