,Player,Tm,Year
1,Tariq Abdul-Wahad,DEN,2002
2,Tariq Abdul-Wahad,DAL,2002
3,Shareef Abdur-Rahim,ATL,2002
4,Courtney Alexander,WAS,2002
5,Victor Alexander,DET,2002
6,Malik Allen,MIA,2002
7,Ray Allen*,MIL,2002
8,Rafer Alston,MIL,2002
9,John Amaechi,UTA,2002
10,Chris Andersen,DEN,2002
11,Derek Anderson,POR,2002
12,Kenny Anderson,BOS,2002
13,Nick Anderson,MEM,2002
14,Shandon Anderson,NYK,2002
16,Greg Anthony,CHI,2002
17,Greg Anthony,MIL,2002
18,Gilbert Arenas,GSW,2002
19,Brandon Armstrong,NJN,2002
20,Darrell Armstrong,ORL,2002
22,Carlos Arroyo,TOR,2002
23,Carlos Arroyo,DEN,2002
24,Chucky Atkins,DET,2002
25,Stacey Augmon,CHH,2002
26,Isaac Austin,MEM,2002
27,William Avery,MIN,2002
28,Dalibor Bagaric,CHI,2002
29,Vin Baker,SEA,2002
30,Erick Barkley,POR,2002
31,Dana Barros,DET,2002
32,Brent Barry,SEA,2002
33,Jon Barry,DET,2002
34,Mengke Bateer,DEN,2002
35,Tony Battie,BOS,2002
36,Shane Battier,MEM,2002
38,Charlie Bell,PHO,2002
39,Charlie Bell,DAL,2002
40,Raja Bell,PHI,2002
41,Jonathan Bender,IND,2002
43,Travis Best,IND,2002
44,Travis Best,CHI,2002
45,Mike Bibby,SAC,2002
46,Chauncey Billups,MIN,2002
47,Mookie Blaylock,GSW,2002
48,Corie Blount,PHI,2002
49,Mark Blount,BOS,2002
50,Calvin Booth,SEA,2002
51,Ruben Boumtje-Boumtje,POR,2002
52,Cal Bowdler,ATL,2002
53,Bruce Bowen,SAS,2002
54,Ryan Bowen,DEN,2002
55,Ira Bowman,PHI,2002
56,Earl Boykins,LAC,2002
57,Michael Bradley,TOR,2002
58,Shawn Bradley,DAL,2002
59,Elton Brand,LAC,2002
60,Terrell Brandon,MIN,2002
61,Jamison Brewer,IND,2002
62,Primoz Brezec,IND,2002
63,Chucky Brown,SAC,2002
64,Damone Brown,PHI,2002
65,Dee Brown,ORL,2002
66,Ernest Brown,MIA,2002
67,Kedrick Brown,BOS,2002
68,Kwame Brown,WAS,2002
69,P.J. Brown,CHH,2002
70,Randy Brown,BOS,2002
71,Tierre Brown,HOU,2002
72,Rick Brunson,POR,2002
73,Kobe Bryant,LAL,2002
74,Mark Bryant,SAS,2002
75,Greg Buckner,DAL,2002
77,Jud Buechler,PHO,2002
78,Jud Buechler,ORL,2002
79,Rodney Buford,MEM,2002
80,Matt Bullard,CHH,2002
81,Mitchell Butler,POR,2002
82,Jason Caffey,MIL,2002
83,Marcus Camby,NYK,2002
84,Elden Campbell,CHH,2002
85,Brian Cardinal,DET,2002
86,Anthony Carter,MIA,2002
87,Vince Carter,TOR,2002
88,Sam Cassell,MIL,2002
89,Kelvin Cato,HOU,2002
90,Tyson Chandler,CHI,2002
91,Calbert Cheaney,DEN,2002
92,Chris Childs,TOR,2002
93,Doug Christie,SAC,2002
94,Keon Clark,TOR,2002
95,Speedy Claxton,PHI,2002
96,Mateen Cleaves,SAC,2002
97,Derrick Coleman,PHI,2002
98,Bimbo Coles,CLE,2002
99,Jason Collier,HOU,2002
100,Jarron Collins,UTA,2002
101,Jason Collins,NJN,2002
102,Chris Crawford,ATL,2002
103,Jamal Crawford,CHI,2002
105,Joe Crispin,LAL,2002
106,Joe Crispin,PHO,2002
107,Austin Croshere,IND,2002
108,John Crotty,UTA,2002
109,Vonteego Cummings,PHI,2002
110,Dell Curry,TOR,2002
111,Eddy Curry,CHI,2002
112,Michael Curry,DET,2002
113,Samuel Dalembert,PHI,2002
114,Erick Dampier,GSW,2002
115,Antonio Daniels,SAS,2002
116,Antonio Davis,TOR,2002
117,Baron Davis,CHH,2002
