,Player,Tm,G,Year
0,Arron Afflalo,DEN,82,2010
20,Brad Miller,CHI,82,2010
22,Paul Millsap,UTA,82,2010
23,Shannon Brown,LAL,82,2010
25,Rasual Butler,LAC,82,2010
26,Lamar Odom,LAL,82,2010
27,Derek Fisher,LAL,82,2010
28,Jordan Farmar,LAL,82,2010
29,Emeka Okafor,NOH,82,2010
30,Jeff Green,OKC,82,2010
31,Russell Westbrook,OKC,82,2010
32,Dwight Howard,ORL,82,2010
33,Jason Williams,ORL,82,2010
34,Chuck Hayes,HOU,82,2010
35,Taj Gibson,CHI,82,2010
36,Martell Webster,POR,82,2010
37,Andre Iguodala,PHI,82,2010
38,Nene Hilario,DEN,82,2010
1,Jarrett Jack,TOR,82,2010
21,Luke Ridnour,MIL,82,2010
24,J.J. Redick,ORL,82,2010
19,Brandon Rush,IND,82,2010
10,Amar'e Stoudemire,PHO,82,2010
2,Brandon Jennings,MIL,82,2010
3,Amir Johnson,TOR,82,2010
4,Kevin Durant,OKC,82,2010
5,DeJuan Blair,SAS,82,2010
18,Luis Scola,HOU,82,2010
7,Brook Lopez,NJN,82,2010
8,Wesley Matthews,UTA,82,2010
9,Boris Diaw,CHA,82,2010
6,Jared Dudley,PHO,82,2010
11,O.J. Mayo,MEM,82,2010
13,Corey Brewer,MIN,82,2010
14,Samuel Dalembert,PHI,82,2010
15,Ramon Sessions,MIN,82,2010
16,Thabo Sefolosha,OKC,82,2010
17,Aaron Brooks,HOU,82,2010
12,Andre Miller,POR,82,2010
54,Richard Jefferson,SAS,81,2010
51,Danilo Gallinari,NYK,81,2010
52,Ersan Ilyasova,MIL,81,2010
53,Jonny Flynn,MIN,81,2010
59,Channing Frye,PHO,81,2010
56,Matt Barnes,ORL,81,2010
57,Andray Blatche,WAS,81,2010
58,Anthony Parker,CLE,81,2010
49,Zach Randolph,MEM,81,2010
50,Dirk Nowitzki,DAL,81,2010
55,David West,NOH,81,2010
48,Steve Nash,PHO,81,2010
43,Marcin Gortat,ORL,81,2010
47,Roy Hibbert,IND,81,2010
40,Marvin Williams,ATL,81,2010
42,Al Horford,ATL,81,2010
41,Josh Smith,ATL,81,2010
39,Grant Hill,PHO,81,2010
44,David Lee,NYK,81,2010
45,J.J. Hickson,CLE,81,2010
46,Rajon Rondo,BOS,81,2010
67,Joel Anthony,MIA,80,2010
73,Ray Allen,BOS,80,2010
72,Rudy Gay,MEM,80,2010
71,Andrea Bargnani,TOR,80,2010
70,Goran Dragic,PHO,80,2010
69,Jason Kidd,DAL,80,2010
68,Mike Bibby,ATL,80,2010
64,Raymond Felton,CHA,80,2010
66,D.J. Augustin,CHA,80,2010
65,Mike Conley,MEM,80,2010
63,Sam Young,MEM,80,2010
62,Jonas Jerebko,DET,80,2010
61,Stephen Curry,GSW,80,2010
60,Damien Wilkins,MIN,80,2010
78,Earl Watson,IND,79,2010
82,Beno Udrih,SAC,79,2010
81,Roger Mason,SAS,79,2010
79,Lou Amundson,PHO,79,2010
80,Maurice Evans,ATL,79,2010
77,Jamal Crawford,ATL,79,2010
75,Jason Richardson,PHO,79,2010
74,Rasheed Wallace,BOS,79,2010
76,Keith Bogans,SAS,79,2010
89,Charlie Villanueva,DET,78,2010
93,Derrick Rose,CHI,78,2010
92,J.J. Barea,DAL,78,2010
91,Michael Beasley,MIA,78,2010
90,Terrence Williams,NJN,78,2010
94,LaMarcus Aldridge,POR,78,2010
88,Kendrick Perkins,BOS,78,2010
86,Zaza Pachulia,ATL,78,2010
85,Tim Duncan,SAS,78,2010
84,George Hill,SAS,78,2010
83,Udonis Haslem,MIA,78,2010
87,Carlos Boozer,UTA,78,2010
98,Antonio McDyess,SAS,77,2010
101,Dwyane Wade,MIA,77,2010
100,Omri Casspi,SAC,77,2010
99,Jason Terry,DAL,77,2010
97,James Posey,NOH,77,2010
96,DeMar DeRozan,TOR,77,2010
95,Metta World Peace,LAL,77,2010
112,Jason Maxiell,DET,76,2010
119,Darren Collison,NOH,76,2010
118,Quentin Richardson,MIA,76,2010
117,James Harden,OKC,76,2010
116,Elton Brand,PHI,76,2010
115,Donte Greene,SAC,76,2010
114,Al Jefferson,MIN,76,2010
113,Wayne Ellington,MIN,76,2010
111,Anderson Varejao,CLE,76,2010
110,Gerald Wallace,CHA,76,2010
109,Joe Johnson,ATL,76,2010
108,Dahntay Jones,IND,76,2010
107,Nenad Krstic,OKC,76,2010
106,Deron Williams,UTA,76,2010
105,Chris Kaman,LAC,76,2010
104,LeBron James,CLE,76,2010
103,Chris Andersen,DEN,76,2010
102,Ryan Gomes,MIN,76,2010
126,Nick Collison,OKC,75,2010
131,Craig Smith,LAC,75,2010
130,Carlos Delfino,MIL,75,2010
129,J.R. Smith,DEN,75,2010
128,Darius Songaila,NOH,75,2010
127,Shawn Marion,DAL,75,2010
125,Baron Davis,LAC,75,2010
124,Andres Nocioni,SAC,75,2010
123,Jason Thompson,SAC,75,2010
122,Mickael Pietrus,ORL,75,2010
121,Vince Carter,ORL,75,2010
120,Manu Ginobili,SAS,75,2010
135,Kirk Hinrich,CHI,74,2010
136,Chase Budinger,HOU,74,2010
134,Hedo Turkoglu,TOR,74,2010
133,Jerryd Bayless,POR,74,2010
132,Nick Young,WAS,74,2010
143,Kobe Bryant,LAL,73,2010
148,Serge Ibaka,OKC,73,2010
147,Chauncey Billups,DEN,73,2010
146,Marcus Thornton,NOH,73,2010
145,Luc Mbah a Moute,MIL,73,2010
144,Rodney Stuckey,DET,73,2010
139,Jrue Holiday,PHI,73,2010
142,Mehmet Okur,UTA,73,2010
140,Ryan Hollins,MIN,73,2010
137,Juwan Howard,POR,73,2010
138,Willie Green,PHI,73,2010
141,Mario Chalmers,MIA,73,2010
153,Carlos Arroyo,MIA,72,2010
157,Troy Murphy,IND,72,2010
155,Rashard Lewis,ORL,72,2010
154,Al Harrington,NYK,72,2010
156,Tyreke Evans,SAC,72,2010
152,Dorell Wright,MIA,72,2010
151,Spencer Hawes,SAC,72,2010
150,Trevor Ariza,HOU,72,2010
149,Stephen Jackson,CHA,72,2010
158,Jeff Teague,ATL,71,2010
159,Sasha Pavlovic,MIN,71,2010
160,Paul Pierce,BOS,71,2010
161,Charlie Bell,MIL,71,2010
162,DeMarre Carroll,MEM,71,2010
163,Courtney Lee,NJN,71,2010
171,DeAndre Jordan,LAC,70,2010
169,Randy Foye,WAS,70,2010
170,Kurt Thomas,MIL,70,2010
167,Chris Bosh,TOR,70,2010
165,Stephen Graham,CHA,70,2010
168,Corey Maggette,GSW,70,2010
164,Jermaine O'Neal,MIA,70,2010
166,Luol Deng,CHI,70,2010
177,Mo Williams,CLE,69,2010
181,Anthony Morrow,GSW,69,2010
180,Sonny Weems,TOR,69,2010
178,Austin Daye,DET,69,2010
179,Carmelo Anthony,DEN,69,2010
176,Kevin Garnett,BOS,69,2010
175,Ben Wallace,DET,69,2010
174,Ime Udoka,SAC,69,2010
173,Marc Gasol,MEM,69,2010
172,Andrew Bogut,MIL,69,2010
182,Jose Calderon,TOR,68,2010
183,Rodney Carney,PHI,68,2010
184,Julian Wright,NOH,68,2010
185,Hasheem Thabeet,MEM,68,2010
186,Kyle Lowry,HOU,68,2010
191,Mike Dunleavy,IND,67,2010
193,Chris Douglas-Roberts,NJN,67,2010
192,Shane Battier,HOU,67,2010
194,Chris Duhon,NYK,67,2010
190,Earl Boykins,WAS,67,2010
188,Antoine Wright,TOR,67,2010
187,Sasha Vujacic,LAL,67,2010
189,Thaddeus Young,PHI,67,2010
195,Marco Belinelli,TOR,66,2010
201,Wilson Chandler,NYK,65,2010
204,Jameer Nelson,ORL,65,2010
203,James Johnson,CHI,65,2010
202,Andrew Bynum,LAL,65,2010
199,Matt Bonner,SAS,65,2010
200,Ty Lawson,DEN,65,2010
198,Brandon Roy,POR,65,2010
197,Pau Gasol,LAL,65,2010
196,C.J. Watson,GSW,65,2010
208,Joakim Noah,CHI,64,2010
210,Monta Ellis,GSW,64,2010
209,Devin Harris,NJN,64,2010
205,Joe Smith,ATL,64,2010
207,Lou Williams,PHI,64,2010
206,Zydrunas Ilgauskas,CLE,64,2010
211,Jannero Pargo,CHI,63,2010
212,C.J. Miles,UTA,63,2010
213,David Andersen,HOU,63,2010
214,Will Bynum,DET,63,2010
215,Ryan Anderson,ORL,63,2010
216,Joey Graham,DEN,63,2010
217,Josh Powell,LAL,63,2010
218,Josh Boone,NJN,63,2010
