,Player,Tm,G,Year
0,Jim Chones,CLE,82,1977
34,Sidney Wicks,BOS,82,1977
25,Tom Boerwinkle,CHI,82,1977
26,Julius Erving,PHI,82,1977
27,Richard Washington,KCK,82,1977
28,Bob Gross,POR,82,1977
29,Elvin Hayes,WSB,82,1977
30,Artis Gilmore,CHI,82,1977
31,Gus Williams,GSW,82,1977
32,Darnell Hillman,IND,82,1977
33,George Gervin,SAS,82,1977
35,Jo Jo White,BOS,82,1977
23,Billy Paultz,SAS,82,1977
36,Mike Gale,SAS,82,1977
37,Ken Charles,ATL,82,1977
38,Norm Van Lier,CHI,82,1977
39,Don Ford,LAL,82,1977
40,Chris Ford,DET,82,1977
41,Wes Unseld,WSB,82,1977
42,Bobby Jones,DEN,82,1977
43,David Thompson,DEN,82,1977
44,Caldwell Jones,PHI,82,1977
24,Jim Eakins,KCK,82,1977
1,Sam Lacey,KCK,82,1977
22,Mark Olberding,SAS,82,1977
11,C.J. Kupec,LAL,82,1977
21,M.L. Carr,DET,82,1977
2,Ron Boone,KCK,82,1977
3,Mitch Kupchak,WSB,82,1977
4,Dick Snyder,CLE,82,1977
5,Leon Douglas,DET,82,1977
6,Junior Bridgeman,MIL,82,1977
8,Randy Smith,BUF,82,1977
9,Phil Smith,GSW,82,1977
10,Coby Dietrick,SAS,82,1977
7,Allan Bristow,SAS,82,1977
12,Ron Lee,PHO,82,1977
17,Calvin Murphy,HOU,82,1977
13,Kareem Abdul-Jabbar,LAL,82,1977
19,Mike Newlin,HOU,82,1977
18,Cazzie Russell,LAL,82,1977
20,Austin Carr,CLE,82,1977
16,Lonnie Shelton,NYK,82,1977
15,Tom Burleson,SEA,82,1977
14,John Lucas,HOU,82,1977
56,Kevin Porter,DET,81,1977
65,Scott Wedman,KCK,81,1977
64,Henry Bibby,PHI,81,1977
63,Larry Steele,POR,81,1977
62,Bruce Seals,SEA,81,1977
61,Paul Westphal,PHO,81,1977
60,Don Buse,IND,81,1977
59,Jim Brewer,CLE,81,1977
58,Paul Silas,DEN,81,1977
57,Bingo Smith,CLE,81,1977
52,Kevin Kunnert,HOU,81,1977
55,Rudy Tomjanovich,HOU,81,1977
53,Dennis Johnson,SEA,81,1977
45,Ernie DiGregorio,BUF,81,1977
51,Armond Hill,ATL,81,1977
50,Ollie Johnson,KCK,81,1977
49,Otto Moore,NOJ,81,1977
48,Kim Hughes,NYN,81,1977
47,Don Chaney,LAL,81,1977
46,Mickey Johnson,CHI,81,1977
54,Paul Griffin,NOJ,81,1977
69,Herm Gilliam,POR,80,1977
71,Wil Jones,IND,80,1977
70,Moses Malone,HOU,80,1977
68,Marvin Webster,DEN,80,1977
67,Louie Dampier,SAS,80,1977
66,Dave Robisch,IND,80,1977
89,Maurice Lucas,POR,79,1977
88,John Havlicek,BOS,79,1977
87,Nate Williams,NOJ,79,1977
81,Rick Barry,GSW,79,1977
85,Curtis Rowe,BOS,79,1977
84,Johnny Davis,POR,79,1977
83,Dan Issel,DEN,79,1977
82,George McGinnis,PHI,79,1977
86,Wilbur Holland,CHI,79,1977
