,Player,Tm,G,Year
0,Sean Rooks,LAC,82,2001
23,George Lynch,PHI,82,2001
25,Moochie Norris,HOU,82,2001
26,Michael Olowokandi,LAC,82,2001
28,Ervin Johnson,MIL,82,2001
29,Antawn Jamison,GSW,82,2001
30,Lindsey Hunter,MIL,82,2001
31,Paul Pierce,BOS,82,2001
32,James Posey,DEN,82,2001
33,Vitaly Potapenko,BOS,82,2001
34,Bruce Bowen,MIA,82,2001
35,Mike Miller,ORL,82,2001
36,Ray Allen,MIL,82,2001
37,Alvin Williams,TOR,82,2001
38,Derek Anderson,SAS,82,2001
39,John Amaechi,ORL,82,2001
40,Mike Bibby,VAN,82,2001
41,Shandon Anderson,HOU,82,2001
42,Monty Williams,ORL,82,2001
43,Aaron Williams,NJN,82,2001
1,Baron Davis,CHH,82,2001
24,Johnny Newman,NJN,82,2001
27,A.C. Green,MIA,82,2001
22,Danny Manning,UTA,82,2001
11,Wally Szczerbiak,MIN,82,2001
2,Rick Fox,LAL,82,2001
3,Michael Finley,DAL,82,2001
4,LaPhonso Ellis,MIN,82,2001
5,Howard Eisley,DAL,82,2001
6,Tim Duncan,SAS,82,2001
7,Tony Delk,PHO,82,2001
21,Sam Mitchell,MIN,82,2001
9,Clifford Robinson,PHO,82,2001
10,Damon Stoudamire,POR,82,2001
8,John Stockton,UTA,82,2001
12,Jason Terry,ATL,82,2001
17,Brian Grant,MIA,82,2001
13,Jacque Vaughn,UTA,82,2001
19,Dirk Nowitzki,DAL,82,2001
18,David Wesley,CHH,82,2001
20,Andre Miller,CLE,82,2001
16,Rodney Rogers,PHO,82,2001
15,Clarence Weatherspoon,CLE,82,2001
14,Shawn Bradley,DAL,82,2001
54,Donyell Marshall,UTA,81,2001
63,Antoine Walker,BOS,81,2001
62,Mikki Moore,DET,81,2001
61,Jeff McInnis,LAC,81,2001
60,Doug Christie,SAC,81,2001
59,Dale Davis,POR,81,2001
58,Eric Williams,BOS,81,2001
57,Chucky Atkins,DET,81,2001
56,Eric Piatkowski,LAC,81,2001
55,Austin Croshere,IND,81,2001
53,Darius Miles,LAC,81,2001
52,Steve Smith,POR,81,2001
51,Karl Malone,UTA,81,2001
50,Shareef Abdur-Rahim,VAN,81,2001
49,Olden Polynice,UTA,81,2001
48,Jermaine O'Neal,IND,81,2001
47,Kevin Garnett,MIN,81,2001
46,Reggie Miller,IND,81,2001
45,Greg Ostertag,UTA,81,2001
44,Vlade Divac,SAC,81,2001
71,Voshon Lenard,DEN,80,2001
76,Terry Porter,SAS,80,2001
75,Anthony Mason,MIA,80,2001
74,Ben Wallace,DET,80,2001
73,P.J. Brown,CHH,80,2001
72,Brian Shaw,LAL,80,2001
68,Jerry Stackhouse,DET,80,2001
70,Danny Ferry,SAS,80,2001
69,Bo Outlaw,ORL,80,2001
67,Steve Francis,HOU,80,2001
66,David Robinson,SAS,80,2001
65,Morris Peterson,TOR,80,2001
64,Stromile Swift,VAN,80,2001
82,Robert Horry,LAL,79,2001
84,Shawn Marion,PHO,79,2001
83,Gary Payton,SEA,79,2001
80,Bobby Jackson,SAC,79,2001
78,Antonio Daniels,SAS,79,2001
81,Cuttino Mobley,HOU,79,2001
79,Michael Smith,WAS,79,2001
77,Patrick Ewing,SEA,79,2001
99,Rashard Lewis,SEA,78,2001
98,Al Harrington,IND,78,2001
97,Allan Houston,NYK,78,2001
96,Richard Hamilton,WAS,78,2001
95,DerMarr Johnson,ATL,78,2001
94,Elden Campbell,CHH,78,2001
93,Raef LaFrentz,DEN,78,2001
92,Charles Oakley,TOR,78,2001
91,Desmond Mason,SEA,78,2001
90,Bryant Stith,BOS,78,2001
89,Antonio Davis,TOR,78,2001
88,Terrell Brandon,MIN,78,2001
87,Lamond Murray,CLE,78,2001
86,Bryon Russell,UTA,78,2001
85,Mateen Cleaves,DET,78,2001
109,Kurt Thomas,NYK,77,2001
108,Horace Grant,LAL,77,2001
106,Tracy McGrady,ORL,77,2001
110,Travis Best,IND,77,2001
112,Chauncey Billups,MIN,77,2001
107,Tim Hardaway,MIA,77,2001
111,Rasheed Wallace,POR,77,2001
105,Jason Williams,SAC,77,2001
100,Scot Pollard,SAC,77,2001
101,Jason Kidd,PHO,77,2001
104,Latrell Sprewell,NYK,77,2001
102,Michael Doleac,ORL,77,2001
103,Stephen Jackson,NJN,77,2001
120,Jamal Mashburn,CHH,76,2001
126,Keyon Dooling,LAC,76,2001
125,Tim Thomas,MIL,76,2001
124,Tyrone Hill,PHI,76,2001
123,Aaron McKie,PHI,76,2001
122,Pat Garrity,ORL,76,2001
121,Ruben Patterson,SEA,76,2001
119,Vin Baker,SEA,76,2001
118,Lamar Odom,LAC,76,2001
117,Metta World Peace,CHI,76,2001
116,Quentin Richardson,LAC,76,2001
115,Glenn Robinson,MIL,76,2001
114,Sam Cassell,MIL,76,2001
113,George McCloud,DEN,76,2001
131,Bryant Reeves,VAN,75,2001
134,Vince Carter,TOR,75,2001
133,Troy Hudson,ORL,75,2001
