,Player,Tm,G,Year,ID
269,George Lynch,VAN,82,1998,lynchge01
159,Michael Finley,DAL,82,1998,finlemi01
228,Mark Jackson,IND,82,1998,jacksma01
289,Walter McCarty,BOS,82,1998,mccarwa01
319,Tracy Murray,WAS,82,1998,murratr01
144,Howard Eisley,UTA,82,1998,eisleho01
240,Michael Jordan,CHI,82,1998,jordami01
41,Travis Best,IND,82,1998,besttr01
317,Eric Murdock,MIA,82,1998,murdoer01
137,Tim Duncan,SAS,82,1998,duncati01
249,Jason Kidd,PHO,82,1998,kiddja01
316,Chris Mullin,IND,82,1998,mullich01
116,Antonio Davis,IND,82,1998,davisan01
494,Antoine Walker,BOS,82,1998,walkean02
112,Erick Dampier,GSW,82,1998,dampier01
111,Michael Curry,MIL,82,1998,currymi01
405,Bryon Russell,UTA,82,1998,russebr01
376,Glen Rice,CHH,82,1998,ricegl01
399,Jalen Rose,IND,82,1998,roseja01
497,John Wallace,TOR,82,1998,wallajo01
502,Charlie Ward,NYK,82,1998,wardch01
90,Pete Chilcutt,VAN,82,1998,chilcpe01
89,Calbert Cheaney,WAS,82,1998,cheanca01
278,Stephon Marbury,MIN,82,1998,marbust01
280,Darrick Martin,LAC,82,1998,martida01
369,Khalid Reeves,DAL,82,1998,reevekh01
320,Dikembe Mutombo,ATL,82,1998,mutomdi01
160,Derek Fisher,LAL,82,1998,fishede01
213,Allan Houston,NYK,82,1998,houstal01
2,Shareef Abdur-Rahim,VAN,82,1998,abdursh01
352,Wesley Person,CLE,82,1998,persowe01
447,John Starks,NYK,82,1998,starkjo01
6,Ray Allen,MIL,82,1998,allenra02
197,Ron Harper,CHI,82,1998,harpero01
200,Hersey Hawkins,SEA,82,1998,hawkihe01
344,Gary Payton,SEA,82,1998,paytoga01
186,A.C. Green,DAL,82,1998,greenac01
13,Shandon Anderson,UTA,82,1998,andersh01
202,Cedric Henderson,CLE,82,1998,hendece02
163,Rick Fox,LAL,82,1998,foxri01
516,Chris Whitney,WAS,82,1998,whitnch01
221,Zydrunas Ilgauskas,CLE,82,1998,ilgauzy01
360,Terry Porter,MIN,82,1998,portete01
338,Bo Outlaw,ORL,82,1998,outlabo01
176,Anthony Goldwire,DEN,82,1998,goldwan01
175,Armen Gilliam,MIL,82,1998,gilliar01
169,Dean Garrett,DEN,82,1998,garrede01
224,Jaren Jackson,SAS,82,1998,jacksja01
168,Kevin Garnett,MIN,82,1998,garneke01
26,Vin Baker,SEA,82,1998,bakervi01
124,Andrew DeClercq,BOS,81,1998,declean01
511,David Wesley,CHH,81,1998,wesleda01
78,Elden Campbell,LAL,81,1998,campbel01
282,Anthony Mason,CHH,81,1998,masonan01
233,Ervin Johnson,MIL,81,1998,johnser02
450,Michael Stewart,SAC,81,1998,stewami01
275,Karl Malone,UTA,81,1998,malonka01
120,Hubert Davis,DAL,81,1998,davishu01
262,Voshon Lenard,MIA,81,1998,lenarvo01
174,Kendall Gill,NJN,81,1998,gillke01
140,Blue Edwards,VAN,81,1998,edwarbl01
207,Grant Hill,DET,81,1998,hillgr01
195,Tim Hardaway,MIA,81,1998,hardati01
538,Kevin Willis,HOU,81,1998,willike02
293,Antonio McDyess,PHO,81,1998,mcdyean01
309,Sam Mitchell,MIN,81,1998,mitchsa01
350,Elliot Perry,MIL,81,1998,perryel01
349,Sam Perkins,SEA,81,1998,perkisa01
305,Reggie Miller,IND,81,1998,millere01
161,Danny Fortson,DEN,80,1998,fortsda01
28,Dana Barros,BOS,80,1998,barroda01
390,Dennis Rodman,CHI,80,1998,rodmade01
243,Shawn Kemp,CLE,80,1998,kempsh01
242,Adam Keefe,UTA,80,1998,keefead01
301,Ron Mercer,BOS,80,1998,mercero01
361,Vitaly Potapenko,CLE,80,1998,potapvi01
132,Sherman Douglas,NJN,80,1998,douglsh01
238,Eddie Jones,LAL,80,1998,jonesed02
252,Brevin Knight,CLE,80,1998,knighbr01
306,Chris Mills,NYK,80,1998,millsch01
222,Allen Iverson,PHI,80,1998,iversal01
69,Scott Burrell,CHI,80,1998,burresc01
385,Clifford Robinson,PHO,80,1998,robincl02
15,Greg Anthony,SEA,80,1998,anthogr01
211,Jeff Hornacek,UTA,80,1998,hornaje01
287,Lee Mayberry,VAN,79,1998,maybele01
65,Kobe Bryant,LAL,79,1998,bryanko01
75,Michael Cage,NJN,79,1998,cagemi01
318,Lamond Murray,LAC,79,1998,murrala01
348,Will Perdue,SAS,79,1998,perduwi01
343,Cherokee Parks,MIN,79,1998,parksch02
371,J.R. Reid,CHH,79,1998,reidjr01
147,Dale Ellis,SEA,79,1998,ellisda01
330,Charles Oakley,NYK,79,1998,oaklech01
537,Corliss Williamson,SAC,79,1998,willico02
98,Tyrone Corbin,ATL,79,1998,corbity01
162,Greg Foster,UTA,78,1998,fostegr01
173,Matt Geiger,CHH,78,1998,geigema01
127,Bison Dele,DET,78,1998,delebi01
118,Dale Davis,IND,78,1998,davisda01
426,Reggie Slater,TOR,78,1998,slatere01
92,Doug Christie,TOR,78,1998,chrisdo01
409,Detlef Schrempf,SEA,78,1998,schrede01
340,Billy Owens,SAC,78,1998,owensbi01
276,Matt Maloney,HOU,78,1998,malonma01
295,Jim McIlvaine,SEA,78,1998,mcilvji01
528,Jerome Williams,DET,77,1998,willije01
250,Kerry Kittles,NJN,77,1998,kittlke01
125,Terry Dehere,SAC,77,1998,deherte01
475,Tim Thomas,PHI,77,1998,thomati01
498,Rasheed Wallace,POR,77,1998,wallara01
415,Malik Sealy,DET,77,1998,sealyma01
230,Anthony Johnson,SAC,77,1998,johnsan02
58,Chucky Brown,ATL,77,1998,brownch01
149,LaPhonso Ellis,DEN,76,1998,ellisla01
323,Steve Nash,PHO,76,1998,nashst01
394,Rodney Rogers,LAC,76,1998,rogerro01
459,Rod Strickland,WAS,76,1998,stricro02
181,Horace Grant,ORL,76,1998,grantho01
232,Eddie Johnson,HOU,75,1998,johnsed03
231,Avery Johnson,SAS,75,1998,johnsav01
81,Sam Cassell,NJN,75,1998,cassesa01
325,Johnny Newman,DEN,74,1998,newmajo01
368,Bryant Reeves,VAN,74,1998,reevebr01
379,Isaiah Rider,POR,74,1998,rideris01
67,Jud Buechler,CHI,74,1998,buechju01
255,Christian Laettner,ATL,74,1998,laettch01
62,P.J. Brown,MIA,74,1998,brownpj01
408,Danny Schayes,ORL,74,1998,schayda01
130,Tony Delk,GSW,74,1998,delkto01
253,Travis Knight,BOS,74,1998,knightr01
122,Terry Davis,WAS,74,1998,daviste01
381,Stanley Roberts,MIN,74,1998,roberst01
113,Antonio Daniels,VAN,74,1998,daniean01
82,Kelvin Cato,POR,74,1998,catoke01
254,Toni Kukoc,CHI,74,1998,kukocto01
436,Steve Smith,ATL,73,1998,smithst01
279,Donyell Marshall,GSW,73,1998,marshdo01
438,Rik Smits,IND,73,1998,smitsri01
406,Arvydas Sabonis,POR,73,1998,sabonar01
386,David Robinson,SAS,73,1998,robinda01
145,Mario Elie,HOU,73,1998,eliema01
135,Joe Dumars,DET,72,1998,dumarjo01
531,Monty Williams,SAS,72,1998,willimo01
517,Gerald Wilkins,ORL,72,1998,wilkige01
274,Dan Majerle,MIA,72,1998,majerda01
362,Brent Price,HOU,72,1998,pricebr01
212,Robert Horry,LAL,72,1998,horryro01
508,Chris Webber,WAS,71,1998,webbech01
22,Stacey Augmon,POR,71,1998,augmost01
191,Darvin Ham,WAS,71,1998,hamda01
217,Lindsey Hunter,DET,71,1998,hunteli01
526,Hot Rod Williams,PHO,71,1998,williho01
63,Randy Brown,CHI,71,1998,brownra02
121,Mark Davis,PHI,71,1998,davisma02
466,Maurice Taylor,LAC,71,1998,tayloma01
66,Mark Bryant,PHO,70,1998,bryanma01
358,Olden Polynice,SAC,70,1998,polynol01
378,Mitch Richmond,SAC,70,1998,richmmi01
277,Danny Manning,PHO,70,1998,mannida01
45,Mookie Blaylock,ATL,70,1998,blaylmo01
388,James Robinson,LAC,70,1998,robinja02
235,Larry Johnson,NYK,70,1998,johnsla02
46,Corie Blount,LAL,70,1998,blounco01
133,Clyde Drexler,HOU,70,1998,drexlcl01
377,Pooh Richardson,LAC,69,1998,richapo01
201,Alan Henderson,ATL,69,1998,hendeal01
308,Greg Minor,BOS,69,1998,minorgr01
158,Danny Ferry,CLE,69,1998,ferryda01
542,Lorenzen Wright,LAC,69,1998,wrighlo02
88,Rex Chapman,PHO,68,1998,chapmre01
91,Chris Childs,NYK,68,1998,childch01
27,Charles Barkley,HOU,68,1998,barklch01
223,Bobby Jackson,DEN,68,1998,jacksbo01
442,Felton Spencer,GSW,68,1998,spencfe01
370,Don Reid,DET,68,1998,reiddo01
354,Eric Piatkowski,LAC,67,1998,piatker01
457,Erick Strickland,DAL,67,1998,stricer01
68,Matt Bullard,HOU,67,1998,bullama01
496,Ben Wallace,WAS,67,1998,wallabe01
7,Derek Anderson,CLE,66,1998,anderde01
503,Eric Washington,DEN,66,1998,washier01
79,Antoine Carr,UTA,66,1998,carran01
196,Derek Harper,ORL,66,1998,harpede01
209,Fred Hoiberg,IND,65,1998,hoibefr01
493,Stojko Vrankovic,LAC,65,1998,vrankst01
527,Jayson Williams,NJN,65,1998,willija01
518,Aaron Williams,SEA,65,1998,williaa01
34,Tony Battie,DEN,65,1998,battito01
180,Harvey Grant,WAS,65,1998,grantha01
452,John Stockton,UTA,64,1998,stockjo01
214,Juwan Howard,WAS,64,1998,howarju01
294,Tracy McGrady,TOR,64,1998,mcgratr01
54,Shawn Bradley,DAL,64,1998,bradlsh01
131,Vlade Divac,CHH,64,1998,divacvl01
485,Nick Van Exel,LAL,64,1998,vanexni01
304,Oliver Miller,TOR,64,1998,milleol01
363,Mark Price,ORL,63,1998,pricema01
337,Greg Ostertag,UTA,63,1998,ostergr01
290,George McCloud,PHO,63,1998,mccloge01
77,Marcus Camby,TOR,63,1998,cambyma01
486,Keith Van Horn,NJN,62,1998,vanhoke01
172,Reggie Geary,SAS,62,1998,gearyre01
18,B.J. Armstrong,CHH,62,1998,armstbj01
353,Bobby Phills,CHH,62,1998,phillbo01
283,Tony Massenburg,VAN,61,1998,masseto01
178,Brian Grant,POR,61,1998,grantbr01
351,Chuck Person,SAS,61,1998,persoch01
52,Bruce Bowen,BOS,61,1998,bowenbr01
328,Jermaine O'Neal,POR,60,1998,onealje01
329,Shaquille O'Neal,LAL,60,1998,onealsh01
94,Derrick Coleman,PHI,59,1998,colemde01
1,Tariq Abdul-Wahad,SAC,59,1998,abdulta01
273,Rick Mahorn,DET,59,1998,mahorri01
49,Muggsy Bogues,GSW,59,1998,boguemu01
35,Corey Beck,CHH,59,1998,beckco01
367,Eldridge Recasner,ATL,59,1998,recasel01
532,Scott Williams,PHI,58,1998,willisc01
539,David Wingate,SEA,58,1998,wingada01
375,Rodrick Rhodes,HOU,58,1998,rhodero01
315,Alonzo Mourning,MIA,58,1998,mournal01
198,Othella Harrington,HOU,58,1998,harriot01
460,Derek Strong,ORL,58,1998,stronde01
93,Keith Closs,LAC,58,1998,closske01
12,Nick Anderson,ORL,58,1998,anderni01
268,Luc Longley,CHI,58,1998,longllu01
366,Theo Ratliff,PHI,58,1998,ratlith01
205,Carl Herrera,SAS,58,1998,herreca01
541,Joe Wolf,DEN,57,1998,wolfjo01
299,Aaron McKie,PHI,57,1998,mckieaa01
270,Sam Mack,VAN,57,1998,macksa01
296,Derrick McKey,IND,57,1998,mckeyde01
256,Andrew Lang,MIL,57,1998,langan01
192,Tom Hammonds,MIN,57,1998,hammoto01
446,Jerry Stackhouse,DET,57,1998,stackje01
165,Todd Fuller,GSW,57,1998,fulleto02
241,Reggie Jordan,MIN,57,1998,jordare01
171,Chris Gatling,NJN,57,1998,gatlich01
208,Tyrone Hill,MIL,57,1998,hillty01
387,Glenn Robinson,MIL,56,1998,robingl01
164,Adonal Foyle,GSW,55,1998,foylead01
126,Vinny Del Negro,SAS,54,1998,delnevi01
313,Chris Morris,UTA,54,1998,morrich01
400,Malik Rose,SAS,53,1998,rosema01
95,Bimbo Coles,GSW,53,1998,colesbi01
39,David Benoit,NJN,53,1998,benoida01
166,Lawrence Funderburke,SAC,52,1998,fundela01
24,Isaac Austin,MIA,52,1998,austiis01
139,Tyus Edney,BOS,52,1998,edneyty01
411,Dennis Scott,DAL,52,1998,scottde01
110,Dell Curry,CHH,52,1998,curryde01
73,Jason Caffey,CHI,51,1998,caffeja01
134,Chris Dudley,NYK,51,1998,dudlech02
80,Chris Carr,MIN,51,1998,carrch01
43,Chauncey Billups,BOS,51,1998,billuch01
458,Mark Strickland,MIA,51,1998,stricma01
234,Kevin Johnson,PHO,50,1998,johnske02
55,Terrell Brandon,MIL,50,1998,brandte01
157,Duane Ferrell,GSW,50,1998,ferredu01
307,Terry Mills,MIA,50,1998,millste01
247,Steve Kerr,CHI,50,1998,kerrst01
8,Greg Anderson,ATL,50,1998,andergr01
199,Lucious Harris,NJN,50,1998,harrilu01
455,Damon Stoudamire,TOR,49,1998,stoudda01
431,Joe Smith,GSW,49,1998,smithjo02
33,Jon Barry,LAL,49,1998,barryjo01
19,Darrell Armstrong,ORL,48,1998,armstda01
203,Mark Hendrickson,SAC,48,1998,hendrma01
281,Jamal Mashburn,MIA,48,1998,mashbja01
226,Jim Jackson,PHI,48,1998,jacksji01
505,Clarence Weatherspoon,PHI,48,1998,weathcl01
510,Bill Wennington,CHI,48,1998,wennibi01
373,Shawn Respert,TOR,47,1998,respesh01
441,Eric Snow,PHI,47,1998,snower01
480,Otis Thorpe,VAN,47,1998,thorpot01
417,Rony Seikaly,ORL,47,1998,seikaro01
331,Hakeem Olajuwon,HOU,47,1998,olajuha01
461,Bob Sura,CLE,46,1998,surabo01
251,Joe Kleine,CHI,46,1998,kleinjo01
21,Keith Askins,MIA,46,1998,askinke01
10,Kenny Anderson,POR,45,1998,anderke01
156,Jamie Feick,MIL,45,1998,feickja01
37,Mario Bennett,LAL,45,1998,bennema01
491,Jacque Vaughn,UTA,45,1998,vaughja01
119,Emanual Davis,HOU,45,1998,davisem01
356,Scottie Pippen,CHI,44,1998,pippesc01
152,Brian Evans,ORL,44,1998,evansbr01
104,Terry Cummings,PHI,44,1998,cummite01
57,Scott Brooks,CLE,43,1998,brooksc01
138,Ledell Eackles,WAS,42,1998,eacklle01
520,Alvin Williams,POR,41,1998,willial02
321,Martin Muursepp,DAL,41,1998,muursma01
189,Tom Gugliotta,MIN,41,1998,guglito01
495,Samaki Walker,DAL,41,1998,walkesa01
398,Sean Rooks,LAL,41,1998,rooksse01
14,Chris Anstey,DAL,41,1998,anstech01
483,Gary Trent,POR,41,1998,trentga01
413,Shawnelle Scott,CLE,41,1998,scottsh01
30,Brent Barry,LAC,41,1998,barrybr01
60,Dee Brown,BOS,41,1998,brownde01
523,Buck Williams,NYK,41,1998,willibu01
267,Grant Long,DET,40,1998,longgr01
100,Chris Crawford,ATL,40,1998,crawfch01
259,Priest Lauderdale,DEN,39,1998,laudepr01
355,Ricky Pierce,MIL,39,1998,piercri01
509,Bubba Wells,DAL,39,1998,wellsbu01
463,Zan Tabak,TOR,39,1998,tabakza01
421,Brian Shaw,GSW,39,1998,shawbr01
533,Travis Williams,CHH,39,1998,willitr01
380,Eric Riley,DAL,39,1998,rileyer01
512,Doug West,MIN,38,1998,westdo01
64,Rick Brunson,POR,38,1998,brunsri01
167,Chris Garner,TOR,38,1998,garnech01
210,Jerald Honeycutt,MIL,38,1998,honeyje01
83,Duane Causwell,MIA,37,1998,causwdu01
4,Cory Alexander,SAS,37,1998,alexaco01
303,Anthony Miller,ATL,37,1998,millean01
342,Anthony Parker,PHI,37,1998,parkean01
248,Jerome Kersey,SEA,37,1998,kerseje01
146,Sean Elliott,SAS,36,1998,elliose01
85,Cedric Ceballos,PHO,35,1998,cebalce01
514,DeJuan Wheat,MIN,34,1998,wheatde01
219,Bobby Hurley,SAC,34,1998,hurlebo01
357,Scot Pollard,DET,33,1998,pollasc01
302,Marko Milic,PHO,33,1998,milicma01
472,John Thomas,BOS,33,1998,thomajo02
150,Pervis Ellison,BOS,33,1998,ellispe01
451,Bryant Stith,DEN,31,1998,stithbr01
536,Walt Williams,POR,31,1998,williwa02
0,Mahmoud Abdul-Rauf,SAC,31,1998,abdulma02
286,Vernon Maxwell,CHH,31,1998,maxweve01
347,Anthony Peeler,MIN,30,1998,peelean01
327,Charles O'Bannon,DET,30,1998,obannch01
20,Vincent Askew,POR,30,1998,askewvi01
435,Michael Smith,VAN,30,1998,smithmi02
182,Ed Gray,ATL,30,1998,grayed01
403,Donald Royal,CHH,29,1998,royaldo01
470,Carl Thomas,CLE,29,1998,thomaca01
324,Ivano Newbill,VAN,28,1998,newbiiv01
312,Eric Montross,DET,28,1998,montrer01
170,Kiwane Garris,DEN,28,1998,garriki01
229,Henry James,CLE,28,1998,jameshe01
359,Mark Pope,IND,28,1998,popema01
32,Drew Barry,ATL,27,1998,barrydr01
155,Tony Farmer,CHH,27,1998,farmeto01
142,Kevin Edwards,NJN,27,1998,edwarke01
53,Anthony Bowie,NYK,27,1998,bowiean01
525,Herb Williams,NYK,27,1998,willihe01
148,Harold Ellis,DEN,27,1998,ellisha01
101,Austin Croshere,IND,26,1998,croshau01
154,Patrick Ewing,NYK,26,1998,ewingpa01
102,John Crotty,POR,26,1998,crottjo01
530,Micheal Williams,MIN,25,1998,willimi02
236,Charles Jones,HOU,24,1998,jonesch01
429,Charles Smith,LAC,23,1998,smithch04
96,James Collins,LAC,23,1998,collija01
204,Steve Henson,DET,23,1998,hensost01
339,Doug Overton,PHI,23,1998,overtdo01
488,David Vaughn,GSW,22,1998,vaughda02
179,Gary Grant,POR,22,1998,grantga01
425,Dickey Simpkins,CHI,21,1998,simpkdi01
187,Litterial Green,MIL,21,1998,greenli01
419,God Shammgod,WAS,20,1998,shammgo01
291,Xavier McDaniel,NJN,20,1998,mcdanxa01
501,Rex Walters,MIA,19,1998,waltere01
272,Gerald Madkins,GSW,19,1998,madkige01
336,Kevin Ollie,ORL,19,1998,ollieke01
194,Anfernee Hardaway,ORL,19,1998,hardaan01
384,Chris Robinson,SAC,19,1998,robinch01
300,Nate McMillan,SEA,18,1998,mcmilna01
71,Mitchell Butler,CLE,18,1998,butlemi02
392,Carlos Rogers,TOR,18,1998,rogerca01
97,Marty Conlon,MIA,18,1998,conloma01
478,Brooks Thompson,NYK,17,1998,thompbr01
260,Jason Lawson,ORL,17,1998,lawsoja01
407,Kevin Salvadori,SAC,16,1998,salvake01
190,Jack Haley,NJN,16,1998,haleyja01
513,Mark West,IND,15,1998,westma01
237,Dontae' Jones,BOS,15,1998,jonesdo01
449,Kebu Stewart,PHI,15,1998,stewake01
529,Lorenzo Williams,WAS,14,1998,willilo01
239,Popeye Jones,TOR,14,1998,jonespo01
443,Latrell Sprewell,GSW,14,1998,sprewla01
36,Benoit Benjamin,PHI,14,1998,benjabe01
258,Rusty LaRue,CHI,14,1998,larueru01
215,Stephen Howard,SEA,13,1998,howarst01
326,Jeff Nordgaard,MIL,13,1998,nordgje01
70,Willie Burton,SAS,13,1998,burtowi01
264,Randy Livingston,ATL,12,1998,livinra01
341,Robert Pack,DAL,12,1998,packro01
465,Johnny Taylor,ORL,12,1998,taylojo01
109,Bill Curley,MIN,11,1998,curlebi01
115,Yinka Dare,NJN,10,1998,dareyi01
492,Loy Vaught,LAC,10,1998,vaughlo01
188,Derek Grimm,SAC,9,1998,grimmde01
522,Brandon Williams,GSW,9,1998,willibr01
99,James Cotton,SEA,9,1998,cottoja02
322,Pete Myers,NYK,9,1998,myerspe01
271,Don MacLean,NJN,9,1998,macledo01
266,Brad Lohaus,SAS,9,1998,lohaubr01
396,Roy Rogers,BOS,9,1998,rogerro02
265,Horacio Llamas Grey,PHO,8,1998,llamaho01
193,Reggie Hanson,BOS,8,1998,hansore01
314,Lawrence Moten,WAS,8,1998,motenla01
261,Tim Legler,WAS,8,1998,legleti01
216,Troy Hudson,UTA,8,1998,hudsotr01
117,Ben Davis,NYK,7,1998,davisbe01
448,Joe Stephens,HOU,7,1998,stephjo01
136,Tony Dumas,CLE,7,1998,dumasto01
437,Tony Smith,MIL,7,1998,smithto02
263,Alton Lister,POR,7,1998,listeal01
543,Sharone Wright,TOR,7,1998,wrighsh01
51,Keith Booth,CHI,6,1998,boothke01
545,George Zidek,DEN,6,1998,zidekge01
56,Tim Breaux,MIL,6,1998,breauti01
177,Greg Graham,CLE,6,1998,grahagr01
107,William Cunningham,UTA,6,1998,cunniwi01
404,Clifford Rozier,MIN,6,1998,roziecl01
114,Lloyd Daniels,TOR,6,1998,daniell01
257,Antonio Lang,MIA,6,1998,langan02
389,Larry Robinson,VAN,6,1998,robinla01
332,Brian Oliver,ATL,5,1998,olivebr01
246,Tim Kempton,TOR,5,1998,kemptti01
123,Todd Day,MIA,5,1998,dayto01
474,Kurt Thomas,DAL,5,1998,thomaku01
50,Etdrick Bohannon,IND,5,1998,bohanet01
453,Ed Stokes,TOR,4,1998,stokeed01
414,Shea Seals,LAL,4,1998,sealssh01
507,Spud Webb,ORL,4,1998,webbsp01
185,Jeff Grayer,GSW,4,1998,grayeje01
524,Eric Williams,DEN,4,1998,willier01
515,Donald Whiteside,ATL,3,1998,whitedo01
540,Dontonio Wingfield,POR,3,1998,wingfdo01
206,Sean Higgins,POR,2,1998,higgise01
288,Bob McCann,TOR,1,1998,mccanbo01
292,Michael McDonald,CHH,1,1998,mcdonmi01
76,Adrian Caldwell,DAL,1,1998,caldwad01
333,Jimmy Oliver,WAS,1,1998,oliveji01
87,Tom Chambers,PHI,1,1998,chambto01
