,Player,Tm,G,Year
0,Rick Fox,BOS,82,1994
35,Lee Mayberry,MIL,82,1994
25,Clifford Robinson,POR,82,1994
27,Dennis Scott,ORL,82,1994
28,Dell Curry,CHH,82,1994
29,Latrell Sprewell,GSW,82,1994
30,Hersey Hawkins,CHH,82,1994
31,Lindsey Hunter,DET,82,1994
32,Clarence Weatherspoon,PHI,82,1994
33,Kenny Anderson,NJN,82,1994
34,Gerald Wilkins,CLE,82,1994
36,Reggie Williams,DEN,82,1994
23,Andrew Lang,ATL,82,1994
37,Tyrone Corbin,UTA,82,1994
38,Xavier McDaniel,BOS,82,1994
39,B.J. Armstrong,CHI,82,1994
40,Blue Edwards,MIL,82,1994
41,Stacey Augmon,ATL,82,1994
42,Kevin Edwards,NJN,82,1994
43,Anfernee Hardaway,ORL,82,1994
44,Craig Ehlo,ATL,82,1994
1,Michael Cage,SEA,82,1994
24,Jim Jackson,DAL,82,1994
26,Karl Malone,UTA,82,1994
22,Bryant Stith,DEN,82,1994
11,Rod Strickland,POR,82,1994
2,Jon Koncak,ATL,82,1994
3,Eric Murdock,MIL,82,1994
4,Dikembe Mutombo,DEN,82,1994
5,Pete Myers,CHI,82,1994
6,Ken Norman,MIL,82,1994
7,A.C. Green,PHO,82,1994
8,Charles Oakley,NYK,82,1994
21,Steve Kerr,CHI,82,1994
10,John Stockton,UTA,82,1994
9,Avery Johnson,GSW,82,1994
12,Vin Baker,MIL,82,1994
13,Scott Skiles,ORL,82,1994
14,Otis Thorpe,HOU,82,1994
15,Armen Gilliam,NJN,82,1994
16,Gary Payton,SEA,82,1994
17,Mark West,PHO,82,1994
18,Chris Gatling,GSW,82,1994
19,Ennis Whatley,ATL,82,1994
20,Mike Brown,MIN,82,1994
58,Detlef Schrempf,SEA,81,1994
57,Nick Van Exel,LAL,81,1994
56,Glen Rice,MIA,81,1994
55,Popeye Jones,DAL,81,1994
54,Sedale Threatt,LAL,81,1994
52,Mookie Blaylock,ATL,81,1994
53,Dana Barros,PHI,81,1994
50,Buck Williams,POR,81,1994
51,Nick Anderson,ORL,81,1994
48,Sam Perkins,SEA,81,1994
47,Antonio Davis,IND,81,1994
46,Fat Lever,DAL,81,1994
45,Shaquille O'Neal,ORL,81,1994
49,Robert Horry,HOU,81,1994
66,Tom Chambers,UTA,80,1994
73,Chris Smith,MIN,80,1994
72,Mahmoud Abdul-Rauf,DEN,80,1994
71,Hakeem Olajuwon,HOU,80,1994
70,Dino Radja,BOS,80,1994
68,Bison Dele,DEN,80,1994
67,Greg Anthony,NYK,80,1994
69,Kevin Willis,ATL,80,1994
65,Dan Majerle,PHO,80,1994
61,Vincent Askew,SEA,80,1994
64,Tim Perry,PHI,80,1994
60,James Worthy,LAL,80,1994
59,Willie Anderson,SAS,80,1994
62,David Robinson,SAS,80,1994
63,Terry Mills,DET,80,1994
95,LaPhonso Ellis,DEN,79,1994
94,Isaiah Rider,MIN,79,1994
85,Dennis Rodman,SAS,79,1994
93,Doug Smith,DAL,79,1994
92,Wayman Tisdale,SAC,79,1994
91,Spud Webb,SAC,79,1994
90,Thurl Bailey,MIN,79,1994
89,Mark Jackson,LAC,79,1994
88,Chris Mills,CLE,79,1994
87,Reggie Miller,IND,79,1994
86,Tim Legler,DAL,79,1994
76,Allan Houston,DET,79,1994
84,Rodney Rogers,DEN,79,1994
83,Mark Bryant,POR,79,1994
82,Kendall Gill,SEA,79,1994
81,Jamal Mashburn,DAL,79,1994
80,Felton Spencer,UTA,79,1994
79,P.J. Brown,NJN,79,1994
78,Vlade Divac,LAL,79,1994
77,Shawn Kemp,SEA,79,1994
75,Billy Owens,GSW,79,1994
74,Patrick Ewing,NYK,79,1994
104,Steve Smith,MIA,78,1994
103,Kenny Smith,HOU,78,1994
102,David Wood,DET,78,1994
101,Mitch Richmond,SAC,78,1994
100,Rik Smits,IND,78,1994
99,Jerome Kersey,POR,78,1994
97,Sherman Douglas,BOS,78,1994
96,Tom Gugliotta,WSB,78,1994
98,Gary Grant,LAC,78,1994
111,Dee Brown,BOS,77,1994
117,Kenny Gattison,CHH,77,1994
116,Chuck Person,MIN,77,1994
115,Vinny Del Negro,SAS,77,1994
114,Greg Anderson,DET,77,1994
113,Lucious Harris,DAL,77,1994
112,Derrick Coleman,NJN,77,1994
110,Brian Shaw,MIA,77,1994
109,Terry Porter,POR,77,1994
108,Benoit Benjamin,NJN,77,1994
107,Dale Ellis,SAS,77,1994
106,Muggsy Bogues,CHH,77,1994
105,Harvey Grant,POR,77,1994
124,Derrick McKey,IND,76,1994
129,John Salley,MIA,76,1994
128,Todd Day,MIL,76,1994
127,Elmore Spencer,LAC,76,1994
125,Chris Webber,GSW,76,1994
126,Hot Rod Williams,CLE,76,1994
123,Keith Jennings,GSW,76,1994
118,Ed Pinckney,BOS,76,1994
121,Bill Wennington,CHI,76,1994
120,Elden Campbell,LAL,76,1994
119,Mark Price,CLE,76,1994
122,Bimbo Coles,MIA,76,1994
135,Carl Herrera,HOU,75,1994
140,Vernon Maxwell,HOU,75,1994
139,Sam Mitchell,IND,75,1994
137,Toni Kukoc,CHI,75,1994
136,Loy Vaught,LAC,75,1994
138,Don MacLean,WSB,75,1994
134,Kevin Gamble,BOS,75,1994
133,Jay Humphries,UTA,75,1994
132,Ron Harper,LAC,75,1994
131,Lionel Simmons,SAC,75,1994
130,Mitchell Butler,WSB,75,1994
141,Orlando Woolridge,PHI,74,1994
142,Donald Royal,ORL,74,1994
143,Tony Bennett,CHH,74,1994
144,Joe Kleine,PHO,74,1994
145,Acie Earl,BOS,74,1994
146,Tom Hammonds,DEN,74,1994
147,Robert Parish,BOS,74,1994
156,Sean Elliott,DET,73,1994
155,Scott Brooks,HOU,73,1994
153,Nate McMillan,SEA,73,1994
154,Anthony Mason,NYK,73,1994
150,Terrell Brandon,CLE,73,1994
152,Tony Smith,LAL,73,1994
149,Eddie Johnson,CHH,73,1994
148,Kenny Walker,WSB,73,1994
151,Anthony Bonner,NYK,73,1994
161,Johnny Dawkins,PHI,72,1994
164,Jon Barry,MIL,72,1994
162,Bobby Phills,CLE,72,1994
163,Duane Ferrell,ATL,72,1994
160,Scottie Pippen,CHI,72,1994
159,Matt Geiger,MIA,72,1994
158,Doug West,MIN,72,1994
157,Rony Seikaly,MIA,72,1994
165,George Lynch,LAL,71,1994
166,Byron Houston,GSW,71,1994
167,Eric Leckner,PHI,71,1994
168,Micheal Williams,MIN,71,1994
174,Horace Grant,CHI,70,1994
178,Christian Laettner,MIN,70,1994
177,Greg Graham,PHI,70,1994
175,Jayson Williams,NJN,70,1994
176,Herb Williams,NYK,70,1994
173,J.R. Reid,SAS,70,1994
172,Danny Ferry,CLE,70,1994
171,Michael Adams,WSB,70,1994
170,Anthony Bowie,ORL,70,1994
169,Frank Johnson,PHO,70,1994
179,Grant Long,MIA,69,1994
180,Victor Alexander,GSW,69,1994
181,Joe Dumars,DET,69,1994
182,Oliver Miller,PHO,69,1994
183,Kevin Duckworth,WSB,69,1994
189,Kenny Williams,IND,68,1994
188,Clyde Drexler,POR,68,1994
187,Danny Ainge,PHO,68,1994
186,Brian Davis,MIN,68,1994
185,Warren Kidd,PHI,68,1994
184,Jeff Turner,ORL,68,1994
190,Byron Scott,IND,67,1994
191,Tellis Frank,MIN,67,1994
192,Kevin Johnson,PHO,67,1994
193,Corie Blount,CHI,67,1994
194,Jeff Grayer,GSW,67,1994
195,Derek Strong,MIL,67,1994
196,Bryon Russell,UTA,67,1994
197,Mario Elie,HOU,67,1994
198,Brad Lohaus,MIL,67,1994
202,Dale Davis,IND,66,1994
201,Sam Cassell,HOU,66,1994
200,Tracy Murray,POR,66,1994
199,Robert Pack,DEN,66,1994
203,Matt Bullard,HOU,65,1994
204,Charles Barkley,PHO,65,1994
205,Calbert Cheaney,WSB,65,1994
206,Haywoode Workman,IND,65,1994
207,Brent Price,WSB,65,1994
208,Doug Christie,LAL,65,1994
209,Lloyd Daniels,SAS,65,1994
210,Terry Dehere,LAC,64,1994
211,Negele Knight,SAS,64,1994
214,Johnny Newman,NJN,63,1994
213,Adam Keefe,ATL,63,1994
212,Harold Miner,MIA,63,1994
215,Chris Mullin,GSW,62,1994
216,Doug Overton,WSB,61,1994
217,Randy Brown,SAC,61,1994
218,Alonzo Mourning,CHH,60,1994
219,Rex Chapman,WSB,60,1994
220,David Wesley,NJN,60,1994
221,Terry Cummings,SAS,59,1994
222,LaBradford Smith,SAC,59,1994
223,John Starks,NYK,59,1994
224,James Robinson,POR,58,1994
225,Isiah Thomas,DET,58,1994
227,Tyrone Hill,CLE,57,1994
226,Walt Williams,SAC,57,1994
229,Hubert Davis,NYK,56,1994
228,Walter Bond,UTA,56,1994
230,Marlon Maxey,MIN,55,1994
231,Vern Fleming,IND,55,1994
232,Mike Peplowski,SAC,55,1994
233,Rolando Blackman,NYK,55,1994
234,David Benoit,UTA,55,1994
235,Moses Malone,PHI,55,1994
236,Gheorghe Muresan,WSB,54,1994
237,Derek Harper,NYK,54,1994
238,Greg Dreiling,DAL,54,1994
242,Jeff Hornacek,PHI,53,1994
244,Josh Grant,GSW,53,1994
243,Sleepy Floyd,SAS,53,1994
240,Bob Martin,LAC,53,1994
241,Cedric Ceballos,PHO,53,1994
239,Willie Burton,MIA,53,1994
245,Trevor Wilson,SAC,52,1994
246,Chris Corchiani,BOS,51,1994
247,Larry Johnson,CHH,51,1994
248,Ricky Pierce,SEA,51,1994
249,John Battle,CLE,51,1994
250,Scott Burrell,CHH,51,1994
257,Chris Morris,NJN,50,1994
255,LeRon Ellis,CHH,50,1994
256,Donald Hodge,DAL,50,1994
251,Jeff Malone,UTA,50,1994
254,David Wingate,CHH,50,1994
252,Brad Daugherty,CLE,50,1994
253,Kurt Rambis,LAL,50,1994
258,Harold Ellis,LAC,49,1994
259,Dominique Wilkins,ATL,49,1994
260,Luc Longley,MIN,49,1994
261,Shawn Bradley,PHI,49,1994
262,Tom Tolbert,LAC,49,1994
263,Rex Walters,NJN,48,1994
264,Sean Rooks,DAL,47,1994
265,Pervis Ellison,WSB,47,1994
266,Eric Riley,HOU,47,1994
267,Pete Chilcutt,SAC,46,1994
269,Tree Rollins,ORL,45,1994
270,James Edwards,LAL,45,1994
271,Ervin Johnson,SEA,45,1994
268,John Crotty,UTA,45,1994
272,Jimmy Oliver,BOS,44,1994
273,Reggie Smith,POR,43,1994
274,Charles Smith,NYK,43,1994
275,Malik Sealy,IND,43,1994
276,Frank Brickowski,MIL,43,1994
277,Will Perdue,CHI,43,1994
280,Danny Manning,LAC,42,1994
278,Bill Cartwright,CHI,42,1994
279,Charles Jones,DET,42,1994
281,Duane Causwell,SAC,41,1994
282,Tony Campbell,DAL,41,1994
283,Anthony Avent,ORL,41,1994
284,Chris Whitney,SAS,40,1994
285,Randy Woods,LAC,40,1994
286,Mark Aguirre,LAC,39,1994
287,Scott Williams,CHI,38,1994
288,Darnell Mee,DEN,38,1994
292,Keith Askins,MIA,37,1994
291,Bo Outlaw,LAC,37,1994
290,Pooh Richardson,IND,37,1994
289,Olden Polynice,DET,37,1994
293,Jud Buechler,GSW,36,1994
294,Jo Jo English,CHI,36,1994
295,Rod Higgins,CLE,36,1994
296,Sean Green,PHI,35,1994
297,Steve Scheffler,SEA,35,1994
298,Marcus Liberty,DET,35,1994
299,Mark Macon,DET,35,1994
304,Antoine Carr,SAS,34,1994
303,John Williams,LAC,34,1994
302,Kevin Brooks,DEN,34,1994
301,Lorenzo Williams,DAL,34,1994
300,Larry Krystkowiak,ORL,34,1994
305,Larry Nance,CLE,33,1994
306,Jerrod Mustaf,PHO,33,1994
307,Joe Courtney,PHO,33,1994
308,Jay Guidinger,CLE,32,1994
309,Stacey King,CHI,31,1994
310,LaSalle Thompson,IND,30,1994
311,Dwayne Schintzius,NJN,30,1994
312,Anthony Peeler,LAL,30,1994
313,Greg Kite,ORL,29,1994
314,Litterial Green,ORL,29,1994
315,Jaren Jackson,POR,29,1994
318,Jack Haley,SAS,28,1994
317,Rick Mahorn,NJN,28,1994
316,Mark Randall,DEN,28,1994
319,Rich King,SEA,27,1994
320,Scott Haskin,IND,27,1994
321,Antonio Harvey,LAL,27,1994
322,Elliot Perry,PHO,27,1994
323,John Paxson,CHI,27,1994
324,Randy Breuer,SAC,26,1994
325,Sam Bowie,LAL,25,1994
329,Duane Cooper,PHO,23,1994
331,Evers Burns,SAC,23,1994
330,Andre Spencer,SAC,23,1994
328,Anthony Cook,MIL,23,1994
327,Reggie Jordan,LAL,23,1994
326,Danny Schayes,MIL,23,1994
332,Malcolm Mackey,PHO,22,1994
333,Gerald Madkins,CLE,22,1994
334,Darren Morningstar,DAL,22,1994
335,Richard Petruska,HOU,22,1994
336,Mike Gminski,CHH,21,1994
337,Paul Graham,ATL,21,1994
338,Bobby Hurley,SAC,19,1994
339,Doc Rivers,NYK,19,1994
342,Jim Les,SAC,18,1994
341,Corey Gaines,NYK,18,1994
340,Randy White,DAL,18,1994
343,Stanley Jackson,MIN,17,1994
344,Dave Johnson,CHI,17,1994
345,Rumeal Robinson,NJN,17,1994
346,Marty Conlon,CHH,16,1994
347,Doug Edwards,ATL,16,1994
348,Luther Wright,UTA,15,1994
349,Chris King,SEA,15,1994
350,Terry Davis,DAL,15,1994
351,Alec Kessler,MIA,15,1994
354,Kevin Thompson,POR,14,1994
353,Stanley Roberts,LAC,14,1994
352,Isaac Austin,PHI,14,1994
356,Dan O'Sullivan,DET,13,1994
355,Alaa Abdelnaby,BOS,13,1994
357,Sedric Toney,CLE,12,1994
359,Morlon Wiley,DAL,12,1994
358,Henry James,LAC,12,1994
363,Eric Anderson,NYK,11,1994
364,Ron Anderson,NJN,11,1994
365,Bill Laimbeer,DET,11,1994
362,Lester Conner,IND,11,1994
361,Matt Wenstrom,BOS,11,1994
360,Keith Tower,ORL,11,1994
366,Michael Curry,PHI,10,1994
368,Tim Kempton,CHH,9,1994
369,Ben Coleman,DET,9,1994
367,Stephen Howard,UTA,9,1994
370,Gerald Paddio,WSB,8,1994
371,Manute Bol,MIA,8,1994
372,Andrew Gaze,WSB,7,1994
373,Tod Murphy,DET,7,1994
374,Gary Alexander,CLE,7,1994
377,Chris Dudley,POR,6,1994
379,Larry Robinson,HOU,6,1994
378,Aaron Williams,UTA,6,1994
376,Adonis Jordan,DEN,6,1994
375,Alphonso Ford,SEA,6,1994
380,Andres Guibert,MIN,5,1994
381,Tony Harris,BOS,5,1994
382,Todd Lichti,GSW,5,1994
383,Roy Marble,DEN,5,1994
384,Skeeter Henry,PHO,4,1994
385,Jim Farmer,DEN,4,1994
386,Dave Jamerson,NJN,4,1994
387,Corey Williams,MIN,4,1994
393,Larry Stewart,WSB,3,1994
396,Bill Edwards,PHI,3,1994
395,Tito Horford,WSB,3,1994
394,Chris Jent,HOU,3,1994
390,Steve Henson,CHH,3,1994
392,Greg Foster,MIL,3,1994
391,Tracy Moore,DET,3,1994
389,Ricky Grace,ATL,3,1994
388,John Bagley,ATL,3,1994
397,Dell Demps,GSW,2,1994
398,Chad Gallagher,UTA,2,1994
399,Earl Cureton,HOU,2,1994
400,Chucky Brown,DAL,1,1994
401,Geert Hammink,ORL,1,1994
402,Chuck Nevitt,SAS,1,1994
