,Player,Tm,G,Year
0,Marc Gasol,MEM,82,2009
16,Luc Mbah a Moute,MIL,82,2009
1,Luis Scola,HOU,82,2009
28,Richard Jefferson,MIL,82,2009
27,Ben Gordon,CHI,82,2009
26,Jarrett Jack,IND,82,2009
25,Rasual Butler,NOH,82,2009
24,Russell Westbrook,OKC,82,2009
23,Raymond Felton,CHA,82,2009
22,Kobe Bryant,LAL,82,2009
21,Derek Fisher,LAL,82,2009
20,Ryan Gomes,MIN,82,2009
19,Brook Lopez,NJN,82,2009
18,Nick Young,WAS,82,2009
17,Trevor Ariza,LAL,82,2009
29,Joel Przybilla,POR,82,2009
15,Linas Kleiza,DEN,82,2009
7,Roger Mason,SAS,82,2009
14,Mike Conley,MEM,82,2009
2,Grant Hill,PHO,82,2009
4,Hakim Warrick,MEM,82,2009
5,Tayshaun Prince,DET,82,2009
6,Mario Chalmers,MIA,82,2009
3,Andre Miller,PHI,82,2009
8,Samuel Dalembert,PHI,82,2009
10,Emeka Okafor,CHA,82,2009
11,O.J. Mayo,MEM,82,2009
12,Andre Iguodala,PHI,82,2009
13,Jason Thompson,SAC,82,2009
9,Wilson Chandler,NYK,82,2009
46,Paul Pierce,BOS,81,2009
43,Michael Finley,SAS,81,2009
44,Pau Gasol,LAL,81,2009
45,LaMarcus Aldridge,POR,81,2009
49,Mo Williams,CLE,81,2009
47,Willie Green,PHI,81,2009
48,Jason Kidd,DAL,81,2009
50,Lou Williams,PHI,81,2009
51,Eddie House,BOS,81,2009
41,Dirk Nowitzki,DAL,81,2009
42,Derrick Rose,CHI,81,2009
37,Travis Outlaw,POR,81,2009
40,Brandon Bass,DAL,81,2009
39,LeBron James,CLE,81,2009
38,Michael Beasley,MIA,81,2009
36,Ronnie Brewer,UTA,81,2009
35,J.R. Smith,DEN,81,2009
34,David Lee,NYK,81,2009
33,Matt Bonner,SAS,81,2009
32,Anderson Varejao,CLE,81,2009
31,Antawn Jamison,WAS,81,2009
30,Kevin Love,MIN,81,2009
59,Erick Dampier,DAL,80,2009
64,Aaron Brooks,HOU,80,2009
63,Sergio Rodriguez,POR,80,2009
62,Anthony Parker,TOR,80,2009
61,Anthony Johnson,ORL,80,2009
60,Jason Kapono,TOR,80,2009
56,Rajon Rondo,BOS,80,2009
58,Maurice Evans,ATL,80,2009
52,Vince Carter,NJN,80,2009
55,Sasha Vujacic,LAL,80,2009
54,Bruce Bowen,SAS,80,2009
53,Joakim Noah,CHI,80,2009
57,Ronald Murray,ATL,80,2009
75,Ray Allen,BOS,79,2009
83,Kurt Thomas,SAS,79,2009
82,Marreese Speights,PHI,79,2009
81,Rodney Stuckey,DET,79,2009
80,Mike Bibby,ATL,79,2009
79,Rashard Lewis,ORL,79,2009
78,Dominic McGuire,WAS,79,2009
77,Nicolas Batum,POR,79,2009
76,Ronny Turiaf,GSW,79,2009
74,J.J. Barea,DAL,79,2009
73,Dahntay Jones,DEN,79,2009
72,Tyrus Thomas,CHI,79,2009
71,Chris Duhon,NYK,79,2009
70,Joe Johnson,ATL,79,2009
69,Reggie Evans,PHI,79,2009
68,Rudy Gay,MEM,79,2009
67,Dwyane Wade,MIA,79,2009
66,Ramon Sessions,MIL,79,2009
65,Dwight Howard,ORL,79,2009
90,Andrea Bargnani,TOR,78,2009
95,Chris Paul,NOH,78,2009
94,Kyle Korver,UTA,78,2009
93,Anthony Carter,DEN,78,2009
92,Charlie Villanueva,MIL,78,2009
91,Eric Gordon,LAC,78,2009
86,Lamar Odom,LAL,78,2009
89,Joey Graham,TOR,78,2009
