,Player,Tm,G,Year
0,Jamal Crawford,LAC,82,2017
8,Andrew Wiggins,MIN,82,2017
1,Tobias Harris,DET,82,2017
13,Marreese Speights,LAC,82,2017
12,Joe Ingles,UTA,82,2017
11,Karl-Anthony Towns,MIN,82,2017
9,Marquese Chriss,PHO,82,2017
10,Jordan Clarkson,LAL,82,2017
7,Elfrid Payton,ORL,82,2017
6,Jamal Murray,DEN,82,2017
5,Gorgui Dieng,MIN,82,2017
4,Justin Holiday,NYK,82,2017
3,Jeff Teague,IND,82,2017
2,Marcin Gortat,WAS,82,2017
22,Rudy Gobert,UTA,81,2017
28,Domantas Sabonis,OKC,81,2017
27,Greg Monroe,MIL,81,2017
26,T.J. McConnell,PHI,81,2017
25,Dario Saric,PHI,81,2017
24,Robin Lopez,CHI,81,2017
23,Myles Turner,IND,81,2017
18,Bismack Biyombo,ORL,81,2017
21,DeAndre Jordan,LAC,81,2017
20,Michael Kidd-Gilchrist,CHO,81,2017
19,James Harden,HOU,81,2017
17,Andre Drummond,DET,81,2017
16,Dorian Finney-Smith,DAL,81,2017
15,Russell Westbrook,OKC,81,2017
14,Ish Smith,DET,81,2017
37,Aaron Gordon,ORL,80,2017
43,Raymond Felton,LAC,80,2017
42,Luc Mbah a Moute,LAC,80,2017
41,Cory Joseph,TOR,80,2017
40,CJ McCollum,POR,80,2017
39,Steven Adams,OKC,80,2017
38,Jonas Valanciunas,TOR,80,2017
32,Trevor Ariza,HOU,80,2017
36,Nik Stauskas,PHI,80,2017
35,Giannis Antetokounmpo,MIL,80,2017
34,Tony Snell,MIL,80,2017
33,Solomon Hill,NOP,80,2017
29,Amir Johnson,BOS,80,2017
31,Otto Porter,WAS,80,2017
30,Patty Mills,SAS,80,2017
57,Brandon Ingram,LAL,79,2017
56,Tim Hardaway,ATL,79,2017
55,Marcus Smart,BOS,79,2017
54,Harrison Barnes,DAL,79,2017
53,Richard Jefferson,CLE,79,2017
52,Marcus Morris,DET,79,2017
51,Allen Crabbe,POR,79,2017
50,Stephen Curry,GSW,79,2017
49,Dennis Schroder,ATL,79,2017
48,David Lee,SAS,79,2017
47,Kelly Oubre,WAS,79,2017
46,Andre Roberson,OKC,79,2017
45,Kemba Walker,CHO,79,2017
44,Kyle O'Quinn,NYK,79,2017
72,Tristan Thompson,CLE,78,2017
71,Jerami Grant,OKC,78,2017
66,Jonas Jerebko,BOS,78,2017
