,Player,Tm,G,Year
0,James Worthy,LAL,82,1984
21,Eddie Johnson,KCK,82,1984
23,Derek Harper,DAL,82,1984
24,Darrell Griffith,UTA,82,1984
25,Alex English,DEN,82,1984
26,Mike Gminski,NJN,82,1984
28,Lester Conner,GSW,82,1984
29,Terry Tyler,DET,82,1984
30,Mitchell Wiggins,CHI,82,1984
31,Paul Thompson,CLE,82,1984
32,Isiah Thomas,DET,82,1984
33,Greg Ballard,WSB,82,1984
34,Mike Bratz,GSW,82,1984
35,Kent Benson,DET,82,1984
36,Darrell Walker,NYK,82,1984
37,Jack Sikma,SEA,82,1984
38,Danny Schayes,DEN,82,1984
39,Ralph Sampson,HOU,82,1984
1,Kenny Carr,POR,82,1984
22,Mark Eaton,UTA,82,1984
27,Norm Nixon,SDC,82,1984
20,Frank Johnson,WSB,82,1984
10,Kyle Macy,PHO,82,1984
2,Kurt Nimphius,DAL,82,1984
3,Larry Nance,PHO,82,1984
4,Tom Chambers,SEA,82,1984
19,Clyde Drexler,POR,82,1984
6,Rick Mahorn,WSB,82,1984
7,Darwin Cook,NJN,82,1984
8,Michael Cooper,LAL,82,1984
9,Dave Corzine,CHI,82,1984
5,Kevin McHale,BOS,82,1984
11,John Long,DET,82,1984
13,Alton Lister,MIL,82,1984
14,Quintin Dailey,CHI,82,1984
15,Allen Leavell,HOU,82,1984
16,Bill Laimbeer,DET,82,1984
17,Vinnie Johnson,DET,82,1984
18,James Donaldson,SDC,82,1984
12,Lewis Lloyd,HOU,82,1984
61,Jeff Malone,WSB,81,1984
56,Fat Lever,POR,81,1984
57,Wayne Cooper,POR,81,1984
58,Terry Cummings,SDC,81,1984
59,Doc Rivers,ATL,81,1984
60,Mark Olberding,KCK,81,1984
65,Steve Stipanovich,IND,81,1984
62,Phil Ford,HOU,81,1984
63,Ricky Sobers,WSB,81,1984
64,Jeff Cook,CLE,81,1984
66,Rolando Blackman,DAL,81,1984
67,Junior Bridgeman,MIL,81,1984
54,Jim Paxson,POR,81,1984
55,Paul Pressey,MIL,81,1984
40,Elvin Hayes,HOU,81,1984
53,Jeff Wilkins,UTA,81,1984
46,Al Wood,SEA,81,1984
52,George Johnson,IND,81,1984
42,Brad Davis,DAL,81,1984
43,Mike Glenn,ATL,81,1984
44,Edgar Jones,SAS,81,1984
45,Darryl Dawkins,NJN,81,1984
41,Caldwell Jones,HOU,81,1984
47,Buck Williams,NJN,81,1984
49,Dominique Wilkins,ATL,81,1984
50,Thurl Bailey,UTA,81,1984
51,John Drew,UTA,81,1984
48,Rickey Green,UTA,81,1984
85,Rod Foster,PHO,80,1984
82,Greg Kelser,SDC,80,1984
83,Danny Vranes,SEA,80,1984
80,Ennis Whatley,CHI,80,1984
84,Cliff Levingston,DET,80,1984
88,Joe Barry Carroll,GSW,80,1984
86,Kareem Abdul-Jabbar,LAL,80,1984
87,Pat Cummings,DAL,80,1984
89,T.R. Dunn,DEN,80,1984
90,Gene Banks,SAS,80,1984
91,Jerry Eaves,UTA,80,1984
81,LaSalle Thompson,KCK,80,1984
76,Phil Hubbard,CLE,80,1984
79,Cedric Maxwell,BOS,80,1984
72,Bill Garnett,DAL,80,1984
78,Dennis Johnson,BOS,80,1984
69,Gus Williams,SEA,80,1984
70,Robert Parish,BOS,80,1984
71,Kelvin Ransey,NJN,80,1984
68,Roy Hinson,CLE,80,1984
73,Bill Hanzlik,DEN,80,1984
74,Billy McKinney,SDC,80,1984
75,Jerry Sichting,IND,80,1984
77,Clemon Johnson,PHI,80,1984
101,Rob Williams,DEN,79,1984
109,Quinn Buckner,BOS,79,1984
108,Calvin Natt,POR,79,1984
107,Sidney Moncrief,MIL,79,1984
106,Mike Mitchell,SAS,79,1984
105,Rodney McCray,HOU,79,1984
104,Lonnie Shelton,CLE,79,1984
103,Purvis Short,GSW,79,1984
102,Rory Sparrow,NYK,79,1984
98,Larry Bird,BOS,79,1984
100,Audie Norris,POR,79,1984
99,Mychal Thompson,POR,79,1984
97,Albert King,NJN,79,1984
96,Steve Hawes,SEA,79,1984
95,Clark Kellogg,IND,79,1984
94,Fred Roberts,SAS,79,1984
93,Adrian Dantley,UTA,79,1984
92,Mark Aguirre,DAL,79,1984
123,Mike Evans,DEN,78,1984
122,Rod Higgins,CHI,78,1984
121,Gerald Henderson,BOS,78,1984
120,Randy Wittman,ATL,78,1984
119,Dave Greenwood,CHI,78,1984
118,Richard Anderson,DEN,78,1984
117,Andrew Toney,PHI,78,1984
116,Mickey Johnson,GSW,78,1984
112,Kiki Vandeweghe,DEN,78,1984
110,Marc Iavaroni,PHI,78,1984
111,Sidney Lowe,IND,78,1984
115,Granville Waiters,IND,78,1984
113,Louis Orr,NYK,78,1984
114,Walter Davis,PHO,78,1984
124,Mike McGee,LAL,77,1984
125,Bernard King,NYK,77,1984
127,Julius Erving,PHI,77,1984
128,Sleepy Floyd,GSW,77,1984
129,Tree Rollins,ATL,77,1984
130,Geoff Huston,CLE,77,1984
131,Bill Cartwright,NYK,77,1984
126,Reggie King,SEA,77,1984
137,Craig Hodges,SDC,76,1984
140,Dan Issel,DEN,76,1984
139,John Bagley,CLE,76,1984
138,Ernie Grunfeld,NYK,76,1984
135,Marvin Webster,NYK,76,1984
136,Don Buse,KCK,76,1984
134,Kelly Tripucka,DET,76,1984
133,Ray Williams,NYK,76,1984
132,George Gervin,SAS,76,1984
141,Johnny Davis,ATL,75,1984
142,Maurice Cheeks,PHI,75,1984
143,Billy Knight,KCK,75,1984
144,Larry Smith,GSW,75,1984
145,Jeff Ruland,WSB,75,1984
146,Maurice Lucas,PHO,75,1984
147,Jamaal Wilkes,LAL,75,1984
148,World B. Free,CLE,75,1984
149,Orlando Woolridge,CHI,75,1984
150,Darren Daye,WSB,75,1984
151,Bobby Jones,PHI,75,1984
152,Rich Kelley,UTA,75,1984
154,Byron Scott,LAL,74,1984
153,Marques Johnson,MIL,74,1984
160,Cliff Robinson,CLE,73,1984
163,Butch Carter,IND,73,1984
162,James Bailey,HOU,73,1984
161,Larry Drew,KCK,73,1984
155,Dan Roundfield,ATL,73,1984
159,Mike O'Koren,NJN,73,1984
157,Jon Sundvold,SEA,73,1984
156,Joe Meriweather,KCK,73,1984
158,Earl Cureton,DET,73,1984
164,Jim Thomas,IND,72,1984
165,Bob Lanier,MIL,72,1984
166,James Edwards,PHO,72,1984
167,Reggie Johnson,NJN,72,1984
168,Darren Tillis,GSW,72,1984
171,Danny Ainge,BOS,71,1984
172,Ed Nealy,KCK,71,1984
173,Moses Malone,PHI,71,1984
170,Fred Brown,SEA,71,1984
169,Mike Woodson,KCK,71,1984
178,Alvan Adams,PHO,70,1984
177,Jerome Whitehead,SDC,70,1984
176,Sam Williams,PHI,70,1984
175,Mark McNamara,SAS,70,1984
174,Bob McAdoo,LAL,70,1984
179,Swen Nater,LAL,69,1984
180,Clint Richardson,PHI,69,1984
181,Harvey Catchings,MIL,69,1984
183,Herb Williams,IND,69,1984
184,Charles Pittman,PHO,69,1984
185,Otis Birdsong,NJN,69,1984
182,Ricky Pierce,SDC,69,1984
186,Rickey Brown,ATL,68,1984
187,Paul Mokeski,MIL,68,1984
188,Darnell Valentine,POR,68,1984
189,Scott Hastings,ATL,68,1984
190,Terry Teagle,HOU,68,1984
191,Scott Wedman,BOS,68,1984
194,Magic Johnson,LAL,67,1984
192,Bill Willoughby,NJN,67,1984
193,Dale Ellis,DAL,67,1984
196,Alvin Scott,PHO,65,1984
197,Truck Robinson,NYK,65,1984
198,Lorenzo Romar,MIL,65,1984
195,Len Elmore,NYK,65,1984
199,Artis Gilmore,SAS,64,1984
