,Player,Tm,G,Year,ID
152,Danny Fortson,DEN,50,1999,fortsda01
212,Larry Hughes,PHI,50,1999,hughela01
76,Vince Carter,TOR,50,1999,cartevi01
167,Kendall Gill,NJN,50,1999,gillke01
172,Horace Grant,ORL,50,1999,grantho01
406,Detlef Schrempf,SEA,50,1999,schrede01
402,Arvydas Sabonis,POR,50,1999,sabonar01
177,A.C. Green,DAL,50,1999,greenac01
401,Bryon Russell,UTA,50,1999,russebr01
181,Anfernee Hardaway,ORL,50,1999,hardaan01
185,Matt Harpring,ORL,50,1999,harprma01
189,Hersey Hawkins,SEA,50,1999,hawkihe01
192,Cedric Henderson,CLE,50,1999,hendece02
61,Jud Buechler,DET,50,1999,buechju01
59,Kobe Bryant,LAL,50,1999,bryanko01
389,Clifford Robinson,PHO,50,1999,robincl02
199,Grant Hill,DET,50,1999,hillgr01
56,P.J. Brown,MIA,50,1999,brownpj01
385,Mitch Richmond,WAS,50,1999,richmmi01
108,Erick Dampier,GSW,50,1999,dampier01
371,Theo Ratliff,PHI,50,1999,ratlith01
166,Matt Geiger,PHI,50,1999,geigema01
417,Dickey Simpkins,CHI,50,1999,simpkdi01
454,Nick Van Exel,DEN,50,1999,vanexni01
128,Vlade Divac,SAC,50,1999,divacvl01
110,Kornel David,CHI,50,1999,davidko01
113,Dale Davis,IND,50,1999,davisda01
114,Hubert Davis,DAL,50,1999,davishu01
101,Terry Cummings,GSW,50,1999,cummite01
443,Bob Sura,CLE,50,1999,surabo01
437,Damon Stoudamire,POR,50,1999,stoudda01
435,John Stockton,UTA,50,1999,stockjo01
127,Michael Dickerson,HOU,50,1999,dickemi01
447,Kurt Thomas,NYK,50,1999,thomaku01
151,Derek Fisher,LAL,50,1999,fishede01
134,Tim Duncan,SAS,50,1999,duncati01
136,Howard Eisley,UTA,50,1999,eisleho01
138,Sean Elliott,SAS,50,1999,elliose01
431,John Starks,GSW,50,1999,starkjo01
87,Doug Christie,TOR,50,1999,chrisdo01
149,Danny Ferry,CLE,50,1999,ferryda01
84,Calbert Cheaney,WAS,50,1999,cheanca01
150,Michael Finley,DAL,50,1999,finlemi01
466,Charlie Ward,NYK,50,1999,wardch01
209,Allan Houston,NYK,50,1999,houstal01
107,Michael Curry,MIL,50,1999,currymi01
276,Danny Manning,PHO,50,1999,mannida01
28,Tony Battie,BOS,50,1999,battito01
331,Charles Oakley,TOR,50,1999,oaklech01
488,Jason Williams,SAC,50,1999,willija02
1,Shareef Abdur-Rahim,VAN,50,1999,abdursh01
24,Dana Barros,BOS,50,1999,barroda01
216,Bobby Jackson,MIN,50,1999,jacksbo01
262,Grant Long,ATL,50,1999,longgr01
325,Johnny Newman,CLE,50,1999,newmajo01
490,Jerome Williams,DET,50,1999,willije01
323,Tyrone Nesby,LAC,50,1999,nesbyty01
320,Dikembe Mutombo,ATL,50,1999,mutomdi01
318,Lamond Murray,LAC,50,1999,murrala01
10,Greg Anthony,POR,50,1999,anthogr01
315,Chris Mullin,IND,50,1999,mullich01
14,Darrell Armstrong,ORL,50,1999,armstda01
332,Hakeem Olajuwon,HOU,50,1999,olajuha01
483,Alvin Williams,TOR,50,1999,willial02
244,Jason Kidd,PHO,50,1999,kiddja01
304,Reggie Miller,IND,50,1999,millere01
296,Aaron McKie,PHI,50,1999,mckieaa01
366,Terry Porter,MIA,50,1999,portete01
473,David Wesley,CHH,50,1999,wesleda01
3,Ray Allen,MIL,50,1999,allenra02
225,Avery Johnson,SAS,50,1999,johnsav01
362,Scottie Pippen,HOU,50,1999,pippesc01
8,Shandon Anderson,UTA,50,1999,andersh01
227,Ervin Johnson,MIL,50,1999,johnser02
36,Mike Bibby,VAN,50,1999,bibbymi01
291,Antonio McDyess,DEN,50,1999,mcdyean01
308,Sam Mitchell,MIN,50,1999,mitchsa01
357,Chuck Person,CHH,50,1999,persoch01
350,Gary Payton,SEA,50,1999,paytoga01
499,Corliss Williamson,SAC,50,1999,willico02
125,Bison Dele,DET,49,1999,delebi01
292,Tracy McGrady,TOR,49,1999,mcgratr01
309,Cuttino Mobley,HOU,49,1999,moblecu01
111,Antonio Davis,IND,49,1999,davisan01
213,Lindsey Hunter,DET,49,1999,hunteli01
129,Michael Doleac,ORL,49,1999,doleami01
274,Karl Malone,UTA,49,1999,malonka01
425,Rik Smits,IND,49,1999,smitsri01
160,Dean Garrett,MIN,49,1999,garrede01
180,Tom Hammonds,MIN,49,1999,hammoto01
360,Eric Piatkowski,LAC,49,1999,piatker01
399,Jalen Rose,IND,49,1999,roseja01
228,Larry Johnson,NYK,49,1999,johnsla02
390,David Robinson,SAS,49,1999,robinda01
224,Anthony Johnson,ATL,49,1999,johnsan02
219,Mark Jackson,IND,49,1999,jacksma01
218,Jim Jackson,POR,49,1999,jacksji01
330,Shaquille O'Neal,LAL,49,1999,onealsh01
0,Tariq Abdul-Wahad,SAC,49,1999,abdulta01
464,Rasheed Wallace,POR,49,1999,wallara01
49,Shawn Bradley,DAL,49,1999,bradlsh01
17,Isaac Austin,ORL,49,1999,austiis01
452,Robert Traylor,MIL,49,1999,traylro01
35,Travis Best,IND,49,1999,besttr01
451,Otis Thorpe,WAS,49,1999,thorpot01
469,Clarence Weatherspoon,MIA,49,1999,weathcl01
475,Mark West,ATL,49,1999,westma01
54,Dee Brown,TOR,49,1999,brownde01
215,Allen Iverson,PHI,48,1999,iversal01
53,Chucky Brown,CHH,48,1999,brownch01
169,Brian Grant,POR,48,1999,grantbr01
364,Olden Polynice,SEA,48,1999,polynol01
463,John Wallace,TOR,48,1999,wallajo01
38,Mookie Blaylock,ATL,48,1999,blaylmo01
361,Paul Pierce,BOS,48,1999,piercpa01
423,Michael Smith,VAN,48,1999,smithmi02
353,Sam Perkins,IND,48,1999,perkisa01
86,Chris Childs,NYK,48,1999,childch01
426,Eric Snow,PHI,48,1999,snower01
338,Greg Ostertag,UTA,48,1999,ostergr01
207,Jeff Hornacek,UTA,48,1999,hornaje01
182,Tim Hardaway,MIA,48,1999,hardati01
139,Dale Ellis,SEA,48,1999,ellisda01
347,Cherokee Parks,VAN,48,1999,parksch02
124,Vinny Del Negro,MIL,48,1999,delnevi01
505,Lorenzen Wright,LAC,48,1999,wrighlo02
436,Peja Stojakovic,SAC,48,1999,stojape01
281,Donyell Marshall,GSW,48,1999,marshdo01
289,George McCloud,PHO,48,1999,mccloge01
92,Bimbo Coles,GSW,48,1999,colesbi01
16,Stacey Augmon,POR,48,1999,augmost01
273,Dan Majerle,MIA,48,1999,majerda01
498,Walt Williams,POR,48,1999,williwa02
375,Don Reid,DET,47,1999,reiddo01
386,Isaiah Rider,POR,47,1999,rideris01
158,Kevin Garnett,MIN,47,1999,garneke01
400,Malik Rose,SAS,47,1999,rosema01
7,Nick Anderson,ORL,47,1999,anderni01
171,Harvey Grant,PHI,47,1999,grantha01
217,Jaren Jackson,SAS,47,1999,jacksja01
391,Glenn Robinson,MIL,47,1999,robingl01
223,Antawn Jamison,GSW,47,1999,jamisan01
137,Mario Elie,SAS,47,1999,eliema01
305,Chris Mills,GSW,47,1999,millsch01
327,Dirk Nowitzki,DAL,47,1999,nowitdi01
157,Lawrence Funderburke,SAC,47,1999,fundela01
94,Tyrone Corbin,ATL,47,1999,corbity01
264,Felipe Lopez,VAN,47,1999,lopezfe01
397,Rodney Rogers,LAC,47,1999,rogerro01
109,Antonio Daniels,SAS,47,1999,daniean01
476,DeJuan Wheat,VAN,46,1999,wheatde01
314,Alonzo Mourning,MIA,46,1999,mournal01
132,Chris Dudley,NYK,46,1999,dudlech02
434,Bryant Stith,DEN,46,1999,stithbr01
247,Kerry Kittles,NJN,46,1999,kittlke01
67,Marcus Camby,NYK,46,1999,cambyma01
445,Maurice Taylor,LAC,46,1999,tayloma01
462,Ben Wallace,WAS,46,1999,wallabe01
85,Pete Chilcutt,VAN,46,1999,chilcpe01
285,Vernon Maxwell,SAC,46,1999,maxweve01
311,Eric Montross,DET,46,1999,montrer01
116,Ricky Davis,CHH,46,1999,davisri01
37,Chauncey Billups,DEN,45,1999,billuch01
453,Gary Trent,DAL,45,1999,trentga01
243,Jerome Kersey,SAS,45,1999,kerseje01
183,Derek Harper,LAL,45,1999,harpede01
337,Michael Olowokandi,LAC,45,1999,olowomi01
358,Wesley Person,CLE,45,1999,persowe01
60,Mark Bryant,CHI,45,1999,bryanma01
307,Greg Minor,BOS,44,1999,minorgr01
242,Steve Kerr,SAS,44,1999,kerrst01
239,Adam Keefe,UTA,44,1999,keefead01
252,Toni Kukoc,CHI,44,1999,kukocto01
313,Chris Morris,PHO,44,1999,morrich01
372,Eldridge Recasner,CHH,44,1999,recasel01
440,Rod Strickland,WAS,44,1999,stricro02
441,Derek Strong,ORL,44,1999,stronde01
154,Rick Fox,LAL,44,1999,foxri01
155,Adonal Foyle,GSW,44,1999,foylead01
359,Bobby Phills,CHH,43,1999,phillbo01
80,Kelvin Cato,POR,43,1999,catoke01
257,Rusty LaRue,CHI,43,1999,larueru01
422,Joe Smith,MIN,43,1999,smithjo02
266,George Lynch,PHI,43,1999,lynchge01
19,Thurl Bailey,UTA,43,1999,baileth01
179,Tom Gugliotta,PHO,43,1999,guglito01
27,Jon Barry,SAC,43,1999,barryjo01
284,Tony Massenburg,VAN,43,1999,masseto01
106,Dell Curry,MIL,42,1999,curryde01
75,Cory Carr,CHI,42,1999,carrco01
156,Todd Fuller,UTA,42,1999,fulleto02
500,Kevin Willis,TOR,42,1999,willike02
96,Chris Crawford,ATL,42,1999,crawfch01
433,Michael Stewart,TOR,42,1999,stewami01
455,Keith Van Horn,NJN,42,1999,vanhoke01
430,Jerry Stackhouse,DET,42,1999,stackje01
460,Antoine Walker,BOS,42,1999,walkean02
153,Greg Foster,UTA,42,1999,fostegr01
470,Chris Webber,SAC,42,1999,webbech01
