,Player,Tm,G,Year
0,Byron Scott,LAL,82,1987
32,Otis Thorpe,SAC,82,1987
24,Cliff Levingston,ATL,82,1987
25,Clyde Drexler,POR,82,1987
26,Fat Lever,DEN,82,1987
27,Terry Tyler,SAC,82,1987
28,Sleepy Floyd,GSW,82,1987
29,Alex English,DEN,82,1987
30,Ron Harper,CLE,82,1987
31,Buck Williams,NJN,82,1987
33,LaSalle Thompson,SAC,82,1987
22,Karl Malone,UTA,82,1987
34,Greg Ballard,GSW,82,1987
35,Jay Humphries,PHO,82,1987
36,Vern Fleming,IND,82,1987
37,Terry Teagle,GSW,82,1987
38,John Stockton,UTA,82,1987
39,Dale Ellis,SEA,82,1987
40,James Worthy,LAL,82,1987
41,Manute Bol,WSB,82,1987
23,Terry Cummings,MIL,82,1987
1,Jack Sikma,MIL,82,1987
21,Dave Corzine,CHI,82,1987
10,Brad Davis,DAL,82,1987
20,Xavier McDaniel,SEA,82,1987
2,Bill Laimbeer,DET,82,1987
3,Mike Sanders,PHO,82,1987
4,John Salley,DET,82,1987
5,Doc Rivers,ATL,82,1987
6,Michael Jordan,CHI,82,1987
8,Jerome Kersey,POR,82,1987
9,Jon Koncak,ATL,82,1987
7,James Donaldson,DAL,82,1987
11,Jim Petersen,HOU,82,1987
16,Charles Oakley,CHI,82,1987
19,Michael Cooper,LAL,82,1987
12,Tom Chambers,SEA,82,1987
17,Chris Mullin,GSW,82,1987
18,Darwin Cook,WSB,82,1987
15,Artis Gilmore,SAS,82,1987
14,John Paxson,CHI,82,1987
13,Chuck Person,IND,82,1987
50,Darrell Walker,DEN,81,1987
58,T.R. Dunn,DEN,81,1987
57,Steve Stipanovich,IND,81,1987
56,Detlef Schrempf,DAL,81,1987
55,Alvin Robertson,SAS,81,1987
54,Isiah Thomas,DET,81,1987
52,Wayman Tisdale,IND,81,1987
51,Joe Barry Carroll,GSW,81,1987
53,Johnny Dawkins,SAS,81,1987
49,Eddie Johnson,SAC,81,1987
45,Rodney McCray,HOU,81,1987
43,Adrian Dantley,DET,81,1987
44,Tim McCormick,PHI,81,1987
48,Thurl Bailey,UTA,81,1987
46,Rickey Green,UTA,81,1987
47,Mike Evans,DEN,81,1987
42,Kevin Willis,ATL,81,1987
68,Hot Rod Williams,CLE,80,1987
75,Terry Porter,POR,80,1987
74,Larry Smith,GSW,80,1987
73,Brad Sellers,CHI,80,1987
72,Sam Perkins,DAL,80,1987
71,Rory Sparrow,NYK,80,1987
70,Rolando Blackman,DAL,80,1987
69,Gerald Wilkins,NYK,80,1987
76,Ed Pinckney,PHO,80,1987
67,Mark Aguirre,DAL,80,1987
66,Michael Cage,LAC,80,1987
65,John Long,IND,80,1987
64,Robert Parish,BOS,80,1987
63,Jeff Malone,WSB,80,1987
62,Jeff Hornacek,PHO,80,1987
61,Sidney Green,DET,80,1987
60,Magic Johnson,LAL,80,1987
59,Brad Daugherty,CLE,80,1987
84,Reggie Theus,SAC,79,1987
90,Steve Johnson,POR,79,1987
89,Joe Dumars,DET,79,1987
88,Mark Eaton,UTA,79,1987
87,Joe Kleine,SAC,79,1987
86,Dennis Johnson,BOS,79,1987
85,A.C. Green,LAL,79,1987
82,Kiki Vandeweghe,POR,79,1987
83,Kelly Tripucka,UTA,79,1987
81,Dominique Wilkins,ATL,79,1987
80,Dave Greenwood,SAS,79,1987
79,Walter Davis,PHO,79,1987
78,Ricky Pierce,MIL,79,1987
77,Charles Jones,WSB,79,1987
97,Vinnie Johnson,DET,78,1987
102,Terry Catledge,WSB,78,1987
101,Kareem Abdul-Jabbar,LAL,78,1987
100,Marc Iavaroni,UTA,78,1987
99,Clint Richardson,IND,78,1987
98,John Williams,WSB,78,1987
93,Kurt Rambis,LAL,78,1987
96,Jerry Sichting,BOS,78,1987
94,Craig Hodges,MIL,78,1987
92,Caldwell Jones,POR,78,1987
91,Clemon Johnson,SEA,78,1987
95,Mark West,CLE,78,1987
103,Kenny Gattison,PHO,77,1987
104,Derek Harper,DAL,77,1987
105,Kevin McHale,BOS,77,1987
106,David Wingate,PHI,77,1987
107,Dennis Rodman,DET,77,1987
108,Tony Brown,NJN,77,1987
114,Mark Olberding,SAC,76,1987
118,Danny Schayes,DEN,76,1987
117,Randy Breuer,MIL,76,1987
116,Darrell Griffith,UTA,76,1987
115,Jeff Turner,NJN,76,1987
113,Jon Sundvold,SAS,76,1987
112,Roy Hinson,PHI,76,1987
111,Mike McGee,ATL,76,1987
110,Kyle Macy,IND,76,1987
109,Leon Wood,NJN,76,1987
119,Roy Tarpley,DAL,75,1987
120,Tree Rollins,ATL,75,1987
121,Robert Reid,HOU,75,1987
122,Alton Lister,SEA,75,1987
123,Orlando Woolridge,NJN,75,1987
124,Hakeem Olajuwon,HOU,75,1987
128,Steve Harris,HOU,74,1987
130,Blair Rasmussen,DEN,74,1987
129,Mike Woodson,LAC,74,1987
125,Greg Kite,BOS,74,1987
127,Herb Williams,IND,74,1987
126,Larry Bird,BOS,74,1987
135,Moses Malone,WSB,73,1987
138,Jerome Whitehead,GSW,73,1987
137,Bill Hanzlik,DEN,73,1987
136,Kent Benson,UTA,73,1987
131,Fred Roberts,BOS,73,1987
134,Ennis Whatley,WSB,73,1987
132,Rod Higgins,GSW,73,1987
133,Danny Young,SEA,73,1987
139,Jim Paxson,POR,72,1987
140,Benoit Benjamin,LAC,72,1987
141,Bob Hansen,UTA,72,1987
142,Pearl Washington,NJN,72,1987
143,Mike Gminski,NJN,72,1987
144,John Bagley,CLE,72,1987
146,Randy Wittman,ATL,71,1987
147,Danny Ainge,BOS,71,1987
145,Nate McMillan,SEA,71,1987
150,Elston Turner,CHI,70,1987
149,Trent Tucker,NYK,70,1987
148,Lancaster Gordon,LAC,70,1987
151,Larry Nance,PHO,69,1987
152,Wayne Cooper,DEN,69,1987
153,Carey Scurry,UTA,69,1987
159,Phil Hubbard,CLE,68,1987
163,Kenny Walker,NYK,68,1987
162,Alvan Adams,PHO,68,1987
161,Gerald Henderson,NYK,68,1987
160,Dudley Bradley,MIL,68,1987
156,Ben Coleman,NJN,68,1987
158,Rory White,LAC,68,1987
157,Maurice Cheeks,PHI,68,1987
155,Charles Barkley,PHI,68,1987
154,Larry Krystkowiak,SAS,68,1987
166,Keith Lee,CLE,67,1987
167,Dell Curry,UTA,67,1987
165,Harold Pressley,SAC,67,1987
164,Mark Price,CLE,67,1987
168,Tim Kempton,LAC,66,1987
171,Antoine Carr,ATL,65,1987
172,Louis Orr,NYK,65,1987
169,Darnell Valentine,LAC,65,1987
170,Kevin Williams,SEA,65,1987
174,Perry Moss,GSW,64,1987
175,Melvin Turpin,CLE,64,1987
176,Mark Alarie,DEN,64,1987
177,Grant Gondrezick,PHO,64,1987
173,John Battle,ATL,64,1987
183,Gene Banks,CHI,63,1987
186,Rick Mahorn,DET,63,1987
185,Maurice Lucas,SEA,63,1987
184,Michael Adams,WSB,63,1987
180,Ron Anderson,IND,63,1987
182,Dirk Minniefield,HOU,63,1987
181,Russ Schoene,SEA,63,1987
179,Patrick Ewing,NYK,63,1987
178,Ben McDonald,GSW,63,1987
189,Mike Brown,CHI,62,1987
190,Dave Feitl,HOU,62,1987
188,Paul Mokeski,MIL,62,1987
187,Rafael Addison,PHO,62,1987
192,Darren Daye,BOS,61,1987
193,Paul Pressey,MIL,61,1987
191,Albert King,NJN,61,1987
194,Michael Phelps,SEA,60,1987
195,Larry Drew,LAC,60,1987
196,Buck Johnson,HOU,60,1987
197,Ed Nealy,SAS,60,1987
198,Julius Erving,PHI,60,1987
201,Chris McNealy,NYK,59,1987
199,Johnny Newman,CLE,59,1987
200,Billy Thompson,LAL,59,1987
202,Bill Cartwright,NYK,58,1987
203,Mike Holton,POR,58,1987
204,Jerry Reynolds,MIL,58,1987
205,Bill Wennington,DAL,58,1987
206,Danny Vranes,PHI,58,1987
207,Nick Vanos,PHO,57,1987
209,Kevin McKenna,NJN,56,1987
208,Walter Berry,SAS,56,1987
210,Stuart Gray,IND,55,1987
211,Johnny Moore,SAS,55,1987
212,Cliff Robinson,PHI,55,1987
213,Al Wood,DAL,54,1987
214,Allen Leavell,HOU,53,1987
215,Othell Wilson,SAC,53,1987
216,Andrew Toney,PHI,52,1987
217,Derek Smith,SAC,52,1987
220,Jay Vincent,WSB,51,1987
219,Richard Anderson,HOU,51,1987
218,Kevin Duckworth,POR,51,1987
221,Wes Matthews,LAL,50,1987
222,William Bedford,PHO,50,1987
223,Anthony Jones,SAS,49,1987
224,Pat Cummings,NYK,49,1987
225,Mychal Thompson,SAS,49,1987
226,Quintin Dailey,LAC,49,1987
227,Kenny Carr,POR,49,1987
228,Walker Russell,IND,48,1987
230,Sam Vincent,BOS,46,1987
229,Cedric Maxwell,HOU,46,1987
231,Johnny Rogers,SAC,45,1987
232,Granville Waiters,CHI,44,1987
233,Craig Ehlo,CLE,44,1987
234,Kenny Fields,LAC,44,1987
235,Terence Stansbury,SEA,44,1987
236,Jawann Oldham,NYK,44,1987
239,Maurice Martin,DEN,43,1987
241,Earl Cureton,CHI,43,1987
240,Steve Colter,PHI,43,1987
238,John Lucas,MIL,43,1987
237,Ralph Sampson,HOU,43,1987
242,Rick Carlisle,BOS,42,1987
243,Keith Smith,MIL,42,1987
244,Clinton Smith,GSW,41,1987
245,Chuck Nevitt,DET,41,1987
246,Scott Hastings,ATL,40,1987
247,Mike Mitchell,SAS,40,1987
248,Tony Campbell,DET,40,1987
249,Sedale Threatt,CHI,40,1987
250,Sidney Moncrief,MIL,39,1987
251,Kurt Nimphius,LAC,38,1987
253,Ben Poquette,CLE,37,1987
252,Frank Brickowski,LAL,37,1987
254,Dan Roundfield,WSB,36,1987
255,Conner Henry,BOS,36,1987
256,Mike Smrek,LAL,35,1987
257,Chris Washburn,GSW,35,1987
260,James Bailey,NJN,34,1987
261,Purvis Short,GSW,34,1987
259,Junior Bridgeman,MIL,34,1987
258,Brook Steppe,SAC,34,1987
262,Spud Webb,ATL,33,1987
264,Gus Williams,ATL,33,1987
263,Bob Thornton,NYK,33,1987
265,Ray Williams,NJN,32,1987
266,Tyrone Corbin,CLE,32,1987
267,Adrian Branch,LAL,32,1987
268,Mitchell Wiggins,HOU,32,1987
269,Lewis Lloyd,HOU,32,1987
270,Uwe Blab,DAL,30,1987
272,Steffond Johnson,LAC,29,1987
271,Pete Myers,CHI,29,1987
273,Otis Smith,DEN,28,1987
274,Dennis Nutt,DAL,25,1987
275,Fernando Martin,POR,24,1987
276,Bernard Thompson,PHO,24,1987
277,Greg Dreiling,IND,24,1987
278,Eddie Lee Wilkins,NYK,24,1987
279,Scooter McCray,CLE,24,1987
280,Pace Mannion,NJN,23,1987
281,Jay Murphy,WSB,21,1987
282,World B. Free,PHI,20,1987
283,Kenny Green,PHI,19,1987
284,Geoff Huston,LAC,19,1987
285,Frank Johnson,WSB,18,1987
286,Chris Engler,NJN,18,1987
287,David Thirdkill,BOS,17,1987
288,Stewart Granger,NYK,15,1987
289,Mike O'Koren,WSB,15,1987
290,Marvin Webster,MIL,15,1987
292,Brad Wright,NYK,14,1987
291,James Edwards,PHO,14,1987
293,Scott Skiles,MIL,13,1987
294,Jeff Taylor,DET,12,1987
295,Mark McNamara,PHI,11,1987
296,Joe Binion,POR,11,1987
297,Bill Walton,BOS,10,1987
298,Marques Johnson,LAC,10,1987
299,Michael Brooks,IND,10,1987
302,Bruce Douglas,SAC,8,1987
303,Myron Jackson,DAL,8,1987
301,Franklin Edwards,SAC,8,1987
300,Bill Martin,NYK,8,1987
304,Hank McDowell,MIL,7,1987
305,Otis Birdsong,NJN,7,1987
306,Ron Rowan,POR,7,1987
311,Cedric Henderson,ATL,6,1987
315,Scott Wedman,BOS,6,1987
314,Mike Brittain,SAS,6,1987
312,Bernard King,NYK,6,1987
313,Forrest McKenzie,SAS,6,1987
310,Jerome Henderson,MIL,6,1987
308,Curtis Kitchen,SEA,6,1987
307,Darryl Dawkins,NJN,6,1987
309,Don Collins,MIL,6,1987
320,Pete Verhoeven,IND,5,1987
322,Kevin Henderson,GSW,5,1987
321,Sam Bowie,POR,5,1987
323,Jeff Ruland,PHI,5,1987
319,Fred Cofield,CHI,5,1987
318,Pete Williams,DEN,5,1987
317,Perry Young,CHI,5,1987
316,Michael Wilson,NJN,5,1987
324,Mike Glenn,MIL,4,1987
325,Clark Kellogg,IND,4,1987
326,Andre Turner,BOS,3,1987
327,Jerry Eaves,SAC,3,1987
328,John Schweitz,DET,3,1987
329,Cozell McQueen,DET,3,1987
330,McKinley Singleton,NYK,2,1987
331,Calvin Natt,DEN,1,1987
332,Jim Lampley,PHI,1,1987
