,Player,Tm,G,Year,ID
388,Mike Miller,MEM,82,2014,millemi01
237,Draymond Green,GSW,82,2014,greendr01
302,Richard Jefferson,UTA,82,2014,jefferi01
128,Norris Cole,MIA,82,2014,coleno01
348,Damian Lillard,POR,82,2014,lillada01
47,Brandon Bass,BOS,82,2014,bassbr01
352,Robin Lopez,POR,82,2014,lopezro01
49,Nicolas Batum,POR,82,2014,batumni01
501,Kyle Singler,DET,82,2014,singlky01
543,Jason Thompson,SAC,82,2014,thompja02
545,Tristan Thompson,CLE,82,2014,thomptr01
485,Luis Scola,IND,82,2014,scolalu01
366,Wesley Matthews,POR,82,2014,matthwe02
477,Ricky Rubio,MIN,82,2014,rubiori01
239,Jeff Green,BOS,82,2014,greenje02
238,Gerald Green,PHO,82,2014,greenge01
378,Ben McLemore,SAC,82,2014,mclembe01
184,Mike Dunleavy,CHI,82,2014,dunlemi02
406,Timofey Mozgov,DEN,82,2014,mozgoti01
609,Cody Zeller,CHA,82,2014,zelleco01
188,Monta Ellis,DAL,82,2014,ellismo01
401,Marcus Morris,PHO,82,2014,morrima03
210,Channing Frye,PHO,82,2014,fryech01
395,Greg Monroe,DET,82,2014,monrogr01
579,John Wall,WAS,82,2014,walljo01
382,Khris Middleton,MIL,82,2014,middlkh01
221,Taj Gibson,CHI,82,2014,gibsota01
319,DeAndre Jordan,LAC,82,2014,jordade01
111,Jose Calderon,DAL,81,2014,caldejo01
131,Nick Collison,OKC,81,2014,collini01
115,Vince Carter,DAL,81,2014,cartevi01
390,Patty Mills,SAS,81,2014,millspa02
402,Markieff Morris,PHO,81,2014,morrima02
476,Terrence Ross,TOR,81,2014,rosste01
142,Dante Cunningham,MIN,81,2014,cunnida01
80,Corey Brewer,MIN,81,2014,breweco01
229,Marcin Gortat,WAS,81,2014,gortama01
551,P.J. Tucker,PHO,81,2014,tuckepj01
250,Tim Hardaway,NYK,81,2014,hardati02
544,Klay Thompson,GSW,81,2014,thompkl01
181,Andre Drummond,DET,81,2014,drumman01
271,Roy Hibbert,IND,81,2014,hibbero01
285,Serge Ibaka,OKC,81,2014,ibakase01
185,Kevin Durant,OKC,81,2014,duranke01
204,Randy Foye,DEN,81,2014,foyera01
202,Derek Fisher,OKC,81,2014,fishede01
3,Steven Adams,OKC,81,2014,adamsst01
562,Jonas Valanciunas,TOR,81,2014,valanjo01
394,Nazr Mohammed,CHI,80,2014,mohamna01
422,Joakim Noah,CHI,80,2014,noahjo01
220,Paul George,IND,80,2014,georgpa01
424,Dirk Nowitzki,DAL,80,2014,nowitdi01
130,Darren Collison,LAC,80,2014,collida01
304,Brandon Jennings,DET,80,2014,jennibr01
112,Kentavious Caldwell-Pope,DET,80,2014,caldwke01
252,Maurice Harkless,ORL,80,2014,harklma01
150,Samuel Dalembert,DAL,80,2014,dalemsa01
290,Jarrett Jack,CLE,80,2014,jackja01
291,Reggie Jackson,OKC,80,2014,jacksre01
329,Kosta Koufos,MEM,80,2014,koufoko01
322,Enes Kanter,UTA,80,2014,kanteen01
431,Victor Oladipo,ORL,80,2014,oladivi01
241,Blake Griffin,LAC,80,2014,griffbl01
195,Kenneth Faried,DEN,80,2014,farieke01
22,James Anderson,PHI,80,2014,anderja01
486,Mike Scott,ATL,80,2014,scottmi01
451,Miles Plumlee,PHO,80,2014,plumlmi01
586,David West,IND,80,2014,westda01
16,Al-Farouq Aminu,NOP,80,2014,aminual01
59,Marco Belinelli,SAS,80,2014,belinma01
309,Joe Johnson,BRK,79,2014,johnsjo02
396,E'Twaun Moore,ORL,79,2014,mooreet01
313,Wesley Johnson,LAL,79,2014,johnswe01
526,Jeff Teague,ATL,79,2014,teaguje01
515,Marreese Speights,GSW,79,2014,speigma01
42,J.J. Barea,MIN,79,2014,bareajo01
173,DeMar DeRozan,TOR,79,2014,derozde01
354,Kyle Lowry,TOR,79,2014,lowryky01
463,Zach Randolph,MEM,79,2014,randoza01
174,Boris Diaw,SAS,79,2014,diawbo01
77,Chris Bosh,MIA,79,2014,boshch01
608,Thaddeus Young,PHI,79,2014,youngth01
333,Jeremy Lamb,OKC,78,2014,lambje01
585,Martell Webster,WAS,78,2014,webstma02
99,Alec Burks,UTA,78,2014,burksal01
149,Stephen Curry,GSW,78,2014,curryst01
379,Josh McRoberts,CHA,78,2014,mcrobjo01
518,Lance Stephenson,IND,78,2014,stephla01
65,DeJuan Blair,DAL,78,2014,blairde01
21,Alan Anderson,BRK,78,2014,anderal01
44,Harrison Barnes,GSW,78,2014,barneha02
141,Jae Crowder,DAL,78,2014,crowdja01
267,Gordon Hayward,UTA,77,2014,haywago01
268,Gerald Henderson,CHA,77,2014,hendege02
542,Hollis Thompson,PHI,77,2014,thompho01
64,Bismack Biyombo,CHA,77,2014,biyombi01
510,Josh Smith,DET,77,2014,smithjo03
511,Tony Snell,CHI,77,2014,snellto01
306,Amir Johnson,TOR,77,2014,johnsam01
295,LeBron James,MIA,77,2014,jamesle01
30,Trevor Ariza,WAS,77,2014,arizatr01
25,Carmelo Anthony,NYK,77,2014,anthoca01
24,Giannis Antetokounmpo,MIL,77,2014,antetgi01
353,Kevin Love,MIN,77,2014,loveke01
380,Jodie Meeks,LAL,77,2014,meeksjo01
357,Ian Mahinmi,IND,77,2014,mahinia01
203,Evan Fournier,DEN,76,2014,fournev01
180,Goran Dragic,PHO,76,2014,dragigo01
76,Carlos Boozer,CHI,76,2014,boozeca01
318,Terrence Jones,HOU,76,2014,joneste01
459,Tayshaun Prince,MEM,76,2014,princta01
403,Anthony Morrow,NOP,76,2014,morroan01
358,Shawn Marion,DAL,76,2014,mariosh01
274,George Hill,IND,76,2014,hillge01
421,Andrew Nicholson,ORL,76,2014,nichoan01
350,Shaun Livingston,BRK,76,2014,livinsh01
448,Paul Pierce,BRK,75,2014,piercpa01
531,Garrett Temple,WAS,75,2014,templga01
455,Phil Pressey,BOS,75,2014,pressph01
597,Mo Williams,POR,74,2014,willima01
182,Jared Dudley,LAC,74,2014,dudleja01
183,Tim Duncan,SAS,74,2014,duncati01
523,Jared Sullinger,BOS,74,2014,sullija01
441,Chandler Parsons,HOU,74,2014,parsoch01
391,Paul Millsap,ATL,74,2014,millspa01
496,Iman Shumpert,NYK,74,2014,shumpim01
508,J.R. Smith,NYK,74,2014,smithjr01
301,Al Jefferson,CHA,73,2014,jeffeal01
251,James Harden,HOU,73,2014,hardeja01
198,Derrick Favors,UTA,73,2014,favorde01
79,Elton Brand,ATL,73,2014,brandel01
7,Arron Afflalo,ORL,73,2014,afflaar01
69,Andray Blatche,BRK,73,2014,blatcan01
14,Ray Allen,MIA,73,2014,allenra02
578,Kemba Walker,CHA,73,2014,walkeke02
57,Bradley Beal,WAS,73,2014,bealbr01
356,Shelvin Mack,ATL,73,2014,macksh01
38,Jeff Ayres,SAS,73,2014,pendeje02
114,DeMarre Carroll,ATL,73,2014,carrode01
48,Shane Battier,MIA,73,2014,battish01
132,Mike Conley,MEM,73,2014,conlemi01
522,Rodney Stuckey,DET,73,2014,stuckro01
277,Kirk Hinrich,CHI,73,2014,hinriki01
118,Mario Chalmers,MIA,73,2014,chalmma01
169,Matthew Dellavedova,CLE,72,2014,dellama01
327,Brandon Knight,MIL,72,2014,knighbr03
75,Trevor Booker,WAS,72,2014,booketr01
530,Mirza Teletovic,BRK,72,2014,teletmi01
275,Jordan Hill,LAL,72,2014,hilljo01
20,Chris Andersen,MIA,72,2014,anderch01
606,Tony Wroten,PHI,72,2014,wroteto01
471,Brian Roberts,NOP,72,2014,roberbr01
537,Isaiah Thomas,SAC,72,2014,thomais02
194,Tyreke Evans,NOP,72,2014,evansty01
134,DeMarcus Cousins,SAC,71,2014,couside01
288,Kyrie Irving,CLE,71,2014,irvinky01
117,Omri Casspi,HOU,71,2014,casspom01
282,Dwight Howard,HOU,71,2014,howardw01
110,Nick Calathes,MEM,71,2014,calatni01
328,Kyle Korver,ATL,71,2014,korveky01
349,Jeremy Lin,HOU,71,2014,linje01
213,Diante Garrett,UTA,71,2014,garredi02
473,Thomas Robinson,POR,70,2014,robinth01
432,Kelly Olynyk,BOS,70,2014,olynyke01
577,Dion Waiters,CLE,70,2014,waitedi01
450,Mason Plumlee,BRK,70,2014,plumlma01
270,John Henson,MIL,70,2014,hensojo01
507,Ish Smith,PHO,70,2014,smithis01
610,Tyler Zeller,CLE,70,2014,zellety01
98,Trey Burke,UTA,70,2014,burketr01
116,Michael Carter-Williams,PHI,70,2014,cartemi01
341,David Lee,GSW,69,2014,leeda02
429,Kyle O'Quinn,ORL,69,2014,oquinky01
137,Jamal Crawford,LAC,69,2014,crawfja01
469,Austin Rivers,NOP,69,2014,riverau01
284,Kris Humphries,BOS,69,2014,humphkr01
272,J.J. Hickson,DEN,69,2014,hicksjj01
10,LaMarcus Aldridge,POR,69,2014,aldrila01
32,Darrell Arthur,DEN,68,2014,arthuda01
605,Dorell Wright,POR,68,2014,wrighdo01
236,Danny Green,SAS,68,2014,greenda02
364,Kevin Martin,MIN,68,2014,martike02
222,Manu Ginobili,SAS,68,2014,ginobma01
440,Tony Parker,SAS,68,2014,parketo01
420,Jameer Nelson,ORL,68,2014,nelsoja01
320,Cory Joseph,SAS,68,2014,josepco01
73,Andrew Bogut,GSW,67,2014,bogutan01
594,Elliot Williams,PHI,67,2014,williel01
154,Anthony Davis,NOP,67,2014,davisan02
593,Derrick Williams,SAC,67,2014,willide02
103,Jimmy Butler,CHI,67,2014,butleji01
596,Marvin Williams,UTA,66,2014,willima02
343,Kawhi Leonard,SAS,66,2014,leonaka01
458,Pablo Prigioni,NYK,66,2014,prigipa01
190,Jeremy Evans,UTA,66,2014,evansje01
479,Robert Sacre,LAL,65,2014,sacrero01
219,Alonzo Gee,CLE,65,2014,geeal01
563,Anderson Varejao,CLE,65,2014,varejan01
521,Amar'e Stoudemire,NYK,65,2014,stoudam01
200,Raymond Felton,NYK,65,2014,feltora01
249,Tyler Hansbrough,TOR,64,2014,hansbty01
590,Deron Williams,BRK,64,2014,willide01
550,Anthony Tolliver,CHA,64,2014,tollian01
305,Jonas Jerebko,DET,64,2014,jerebjo01
607,Nick Young,LAL,64,2014,youngni01
228,Eric Gordon,NOP,64,2014,gordoer01
45,Matt Barnes,LAC,63,2014,barnema02
155,Ed Davis,MEM,63,2014,davised01
286,Andre Iguodala,GSW,63,2014,iguodan01
497,Alexey Shved,MIN,63,2014,shvedal01
582,C.J. Watson,IND,63,2014,watsocj01
437,Travis Outlaw,SAC,63,2014,outlatr01
445,Chris Paul,LAC,62,2014,paulch01
120,Wilson Chandler,DEN,62,2014,chandwi01
336,Ty Lawson,DEN,62,2014,lawsoty01
325,Michael Kidd-Gilchrist,CHA,62,2014,kiddgmi01
316,Perry Jones,OKC,62,2014,jonespe01
