,Player,Tm,G,Year
0,Mike Gminski,PHI,82,1989
30,Derrick McKey,SEA,82,1989
22,Earl Cureton,CHH,82,1989
23,Charles Oakley,NYK,82,1989
25,Xavier McDaniel,SEA,82,1989
26,Chris Mullin,GSW,82,1989
27,Vinnie Johnson,DET,82,1989
28,John Williams,WSB,82,1989
29,Hot Rod Williams,CLE,82,1989
31,Greg Anderson,SAS,82,1989
20,Ron Harper,CLE,82,1989
32,Ron Anderson,PHI,82,1989
33,Thurl Bailey,UTA,82,1989
34,Mark West,PHO,82,1989
35,Dennis Rodman,DET,82,1989
36,Sleepy Floyd,HOU,82,1989
37,John Battle,ATL,82,1989
1,A.C. Green,LAL,82,1989
21,Mike Sanders,CLE,82,1989
24,Dale Ellis,SEA,82,1989
19,Jim Les,UTA,82,1989
10,Mark Eaton,UTA,82,1989
2,Hakeem Olajuwon,HOU,82,1989
3,Alex English,DEN,82,1989
4,Otis Thorpe,HOU,82,1989
5,Craig Ehlo,CLE,82,1989
18,Robert Reid,CHH,82,1989
7,Scott Brooks,PHI,82,1989
8,John Stockton,UTA,82,1989
9,Rik Smits,IND,82,1989
6,Reggie Theus,ATL,82,1989
11,Sidney Green,NYK,82,1989
13,Roy Hinson,NJN,82,1989
14,Brian Shaw,BOS,82,1989
15,Grant Long,MIA,82,1989
16,Lester Conner,NJN,82,1989
17,Alton Lister,SEA,82,1989
12,Darrell Griffith,UTA,82,1989
56,Tim McCormick,HOU,81,1989
52,Tom Chambers,PHO,81,1989
53,Bernard King,WSB,81,1989
54,Moses Malone,ATL,81,1989
55,Rod Strickland,NYK,81,1989
59,Johnny Newman,NYK,81,1989
57,Willie Anderson,SAS,81,1989
58,Bill Laimbeer,DET,81,1989
60,Kenny Smith,SAC,81,1989
50,Derrick Chievous,HOU,81,1989
51,Rod Higgins,GSW,81,1989
47,Walter Davis,DEN,81,1989
49,Gerald Wilkins,NYK,81,1989
38,Derek Harper,DAL,81,1989
46,Michael Jordan,CHI,81,1989
45,Reggie Lewis,BOS,81,1989
44,Trent Tucker,NYK,81,1989
43,Mike Woodson,HOU,81,1989
42,Dave Corzine,CHI,81,1989
41,James Worthy,LAL,81,1989
40,Spud Webb,ATL,81,1989
39,Terry Porter,POR,81,1989
48,Kevin Johnson,PHO,81,1989
80,Michael Cage,SEA,80,1989
76,Manute Bol,GSW,80,1989
77,Mychal Thompson,LAL,80,1989
78,Isiah Thomas,DET,80,1989
79,Otis Smith,GSW,80,1989
85,Michael Cooper,LAL,80,1989
81,Larry Smith,GSW,80,1989
82,Rory Sparrow,MIA,80,1989
83,Jack Sikma,MIL,80,1989
84,Steve Colter,WSB,80,1989
74,Dominique Wilkins,ATL,80,1989
86,Brad Sellers,CHI,80,1989
75,Larry Krystkowiak,MIL,80,1989
72,Terry Cummings,MIL,80,1989
73,Scott Skiles,IND,80,1989
65,Ken Norman,LAC,80,1989
61,Chuck Person,IND,80,1989
71,Harold Pressley,SAC,80,1989
63,Patrick Ewing,NYK,80,1989
64,Karl Malone,UTA,80,1989
62,Robert Parish,BOS,80,1989
66,Mike McGee,NJN,80,1989
67,Olden Polynice,SEA,80,1989
68,Cliff Levingston,ATL,80,1989
69,Vinny Del Negro,SAC,80,1989
70,Ledell Eackles,WSB,80,1989
95,Kenny Walker,NYK,79,1989
102,Billy Thompson,MIA,79,1989
101,Mitch Richmond,GSW,79,1989
100,Kevin Edwards,MIA,79,1989
99,Hersey Hawkins,PHI,79,1989
98,Muggsy Bogues,CHH,79,1989
97,Terry Catledge,WSB,79,1989
96,Darrell Walker,WSB,79,1989
89,Tim Kempton,CHH,79,1989
94,Benoit Benjamin,LAC,79,1989
92,Vernon Maxwell,SAS,79,1989
91,Horace Grant,CHI,79,1989
90,Winston Garland,GSW,79,1989
87,Kevin Duckworth,POR,79,1989
88,Wayne Cooper,DEN,79,1989
93,Charles Barkley,PHI,79,1989
109,Elston Turner,DEN,78,1989
114,Rolando Blackman,DAL,78,1989
113,Antoine Carr,ATL,78,1989
112,Brad Davis,DAL,78,1989
111,Rony Seikaly,MIA,78,1989
110,Kevin McHale,BOS,78,1989
107,Brad Daugherty,CLE,78,1989
108,Sam Perkins,DAL,78,1989
106,Jeff Hornacek,PHO,78,1989
105,Clyde Drexler,POR,78,1989
104,John Paxson,CHI,78,1989
103,Bill Cartwright,CHI,78,1989
119,Michael Adams,DEN,77,1989
121,Darnell Valentine,CLE,77,1989
120,Blair Rasmussen,DEN,77,1989
118,Tyrone Corbin,PHO,77,1989
115,Marc Iavaroni,UTA,77,1989
116,Dave Hoppen,CHH,77,1989
117,Magic Johnson,LAL,77,1989
125,Vern Fleming,IND,76,1989
127,Jeff Malone,WSB,76,1989
126,James Edwards,DET,76,1989
128,Jerome Kersey,POR,76,1989
124,Doc Rivers,ATL,76,1989
123,Chris Morris,NJN,76,1989
122,Danny Schayes,DEN,76,1989
129,Scott Hastings,MIA,75,1989
131,Rex Chapman,CHH,75,1989
132,Kurt Rambis,CHH,75,1989
133,Ricky Pierce,MIL,75,1989
134,Nate McMillan,SEA,75,1989
135,Eric Leckner,UTA,75,1989
130,Mark Price,CLE,75,1989
144,Reggie Miller,IND,74,1989
143,John Lucas,SEA,74,1989
141,Armen Gilliam,PHO,74,1989
145,Paul Mokeski,MIL,74,1989
142,Kareem Abdul-Jabbar,LAL,74,1989
137,Byron Scott,LAL,74,1989
140,Orlando Woolridge,LAL,74,1989
138,Buck Williams,NJN,74,1989
136,Jon Koncak,ATL,74,1989
139,Mark Alarie,WSB,74,1989
146,Jay Humphries,MIL,73,1989
147,Larry Nance,CLE,73,1989
148,Scottie Pippen,CHI,73,1989
154,Caldwell Jones,POR,72,1989
157,Ron Grandison,BOS,72,1989
156,Dennis Johnson,BOS,72,1989
155,Steve Johnson,POR,72,1989
152,Stuart Gray,IND,72,1989
153,Mark Jackson,NYK,72,1989
151,Rick Mahorn,DET,72,1989
150,Richard Anderson,POR,72,1989
149,Chris Welp,PHI,72,1989
163,Harvey Grant,WSB,71,1989
166,Gary Grant,LAC,71,1989
165,Tom Garrick,LAC,71,1989
164,Maurice Cheeks,PHI,71,1989
160,Kelly Tripucka,CHH,71,1989
162,Fat Lever,DEN,71,1989
161,Charles Smith,LAC,71,1989
159,Fred Roberts,MIL,71,1989
158,Eddie Lee Wilkins,NYK,71,1989
167,Eddie Johnson,PHO,70,1989
168,Terry Tyler,DAL,70,1989
169,Sam Vincent,CHI,70,1989
170,Joe Dumars,DET,69,1989
171,Quintin Dailey,LAC,69,1989
172,Russ Schoene,SEA,69,1989
173,Jon Sundvold,MIA,68,1989
174,John Bagley,NJN,68,1989
175,Rodney McCray,SAC,68,1989
180,Frank Johnson,HOU,67,1989
182,Buck Johnson,HOU,67,1989
181,Paul Pressey,MIL,67,1989
176,Adrian Branch,POR,67,1989
179,John Salley,DET,67,1989
177,Dallas Comegys,SAS,67,1989
178,Mike Holton,CHH,67,1989
183,Jim Petersen,SAC,66,1989
184,Terry Teagle,GSW,66,1989
185,Joe Wolf,LAC,66,1989
186,Mike Brown,UTA,66,1989
189,Bill Wennington,DAL,65,1989
191,Purvis Short,HOU,65,1989
190,John Shasky,MIA,65,1989
188,Gerald Henderson,PHI,65,1989
187,Alvin Robertson,SAS,65,1989
192,Ricky Berry,SAC,64,1989
193,Frank Brickowski,SAS,64,1989
194,Joe Barry Carroll,NJN,64,1989
195,Tony Campbell,LAL,63,1989
196,Reggie Williams,LAC,63,1989
197,Sedale Threatt,SEA,63,1989
200,Tim Perry,PHO,62,1989
202,Sidney Moncrief,MIL,62,1989
201,Andrew Lang,PHO,62,1989
198,Dennis Hopson,NJN,62,1989
199,Mark Acres,BOS,62,1989
203,Chris Dudley,CLE,61,1989
204,Ralph Sampson,GSW,61,1989
205,Charles Shackleford,NJN,60,1989
206,Tree Rollins,CLE,60,1989
207,Ben Coleman,PHI,58,1989
208,Greg Kite,LAC,58,1989
212,Dave Feitl,WSB,57,1989
211,Steve Alford,GSW,57,1989
210,Jim Paxson,BOS,57,1989
209,Keith Lee,NJN,57,1989
213,Mark Bryant,POR,56,1989
214,Jerry Reynolds,SEA,56,1989
215,Allen Leavell,HOU,55,1989
216,Sylvester Gray,MIA,55,1989
217,Dan Majerle,PHO,54,1989
218,Bob Thornton,PHI,54,1989
219,Pearl Washington,MIA,54,1989
220,Jerome Lane,DEN,54,1989
223,Greg Dreiling,IND,53,1989
225,Charles Jones,WSB,53,1989
224,James Donaldson,DAL,53,1989
221,Pat Cummings,MIA,53,1989
222,Norm Nixon,LAC,53,1989
226,Jerome Whitehead,SAS,52,1989
228,Ed Pinckney,SAC,51,1989
229,Jack Haley,CHI,51,1989
230,Jose Ortiz,UTA,51,1989
227,Morlon Wiley,DAL,51,1989
231,Ray Tolbert,ATL,50,1989
233,Craig Hodges,CHI,49,1989
234,Micheal Williams,DET,49,1989
232,Charles Davis,CHI,49,1989
236,Dell Curry,CHH,48,1989
237,Wayman Tisdale,IND,48,1989
238,Danny Young,POR,48,1989
239,Brad Lohaus,BOS,48,1989
235,Randy Breuer,MIL,48,1989
240,Joe Kleine,SAC,47,1989
241,David Rivers,LAL,47,1989
242,Scott Roth,SAS,47,1989
244,Albert King,SAS,46,1989
246,Herb Williams,IND,46,1989
245,Anthony Frederick,IND,46,1989
243,Bob Hansen,UTA,46,1989
247,Danny Ainge,BOS,45,1989
248,Kevin Gamble,BOS,44,1989
249,John Long,IND,44,1989
250,Mark Aguirre,DAL,44,1989
251,Chuck Nevitt,HOU,43,1989
252,Avery Johnson,SEA,43,1989
253,Mike Smrek,SAS,43,1989
254,LaSalle Thompson,SAC,43,1989
257,Shelton Jones,PHI,42,1989
258,Randolph Keys,CLE,42,1989
256,Adrian Dantley,DET,42,1989
255,Ralph Lewis,CHH,42,1989
259,Bill Hanzlik,DEN,41,1989
260,Duane Ferrell,ATL,41,1989
261,Kevin Williams,NJN,41,1989
262,Walter Berry,HOU,40,1989
263,Mark McNamara,LAL,39,1989
264,Dave Greenwood,SAS,38,1989
265,Dudley Bradley,ATL,38,1989
271,Eric White,LAC,37,1989
269,Jim Farmer,UTA,37,1989
270,Jeff Lamp,LAL,37,1989
266,Uwe Blab,DAL,37,1989
268,Detlef Schrempf,DAL,37,1989
267,Bill Jones,NJN,37,1989
272,John Starks,GSW,36,1989
273,Michael Anderson,SAS,36,1989
274,Derek Smith,PHI,36,1989
275,Darwin Cook,SAS,36,1989
276,Everette Stephens,IND,35,1989
277,T.R. Dunn,PHO,34,1989
278,Brian Rowsom,CHH,34,1989
282,Rickey Green,CHH,33,1989
281,Randy Wittman,IND,33,1989
279,Greg Butler,NYK,33,1989
280,David Wingate,PHI,33,1989
283,Tellis Frank,GSW,32,1989
284,Corey Gaines,NJN,32,1989
285,Craig Neal,MIA,32,1989
