,Player,Tm,G,Year
0,Cory Joseph,IND,82,2018
14,Joe Ingles,UTA,82,2018
25,Taurean Waller-Prince,ATL,82,2018
24,Andrew Wiggins,MIN,82,2018
23,P.J. Tucker,HOU,82,2018
22,Lance Stephenson,IND,82,2018
21,Karl-Anthony Towns,MIN,82,2018
20,E'Twaun Moore,NOP,82,2018
19,Julius Randle,LAL,82,2018
18,Raymond Felton,OKC,82,2018
17,Yogi Ferrell,DAL,82,2018
16,Taj Gibson,MIN,82,2018
15,Marcin Gortat,WAS,82,2018
1,Ish Smith,DET,82,2018
13,Dillon Brooks,MEM,82,2018
6,Bismack Biyombo,ORL,82,2018
12,LeBron James,CLE,82,2018
2,Jakob Poeltl,TOR,82,2018
3,Bradley Beal,WAS,82,2018
5,Dragan Bender,PHO,82,2018
4,Patrick Patterson,OKC,82,2018
7,Pat Connaughton,POR,82,2018
8,Patty Mills,SAS,82,2018
9,Darius Miller,NOP,82,2018
10,Khris Middleton,MIL,82,2018
11,Tyus Jones,MIN,82,2018
33,CJ McCollum,POR,81,2018
38,Josh Richardson,MIA,81,2018
37,Ben Simmons,PHI,81,2018
36,Pascal Siakam,TOR,81,2018
35,Jerami Grant,OKC,81,2018
34,Dejounte Murray,SAS,81,2018
30,Kelly Oubre,WAS,81,2018
32,Jamal Murray,DEN,81,2018
31,Thaddeus Young,IND,81,2018
29,Will Barton,DEN,81,2018
28,Dwight Howard,CHO,81,2018
27,Aron Baynes,BOS,81,2018
26,Jrue Holiday,NOP,81,2018
46,J.R. Smith,CLE,80,2018
52,Jamal Crawford,MIN,80,2018
51,Russell Westbrook,OKC,80,2018
50,Jeremy Lamb,CHO,80,2018
49,Terry Rozier,BOS,80,2018
48,Jayson Tatum,BOS,80,2018
47,DeMar DeRozan,TOR,80,2018
40,Bryn Forbes,SAS,80,2018
45,Kemba Walker,CHO,80,2018
43,Buddy Hield,SAC,80,2018
42,Nick Young,GSW,80,2018
41,Bojan Bogdanovic,IND,80,2018
39,Robert Covington,PHI,80,2018
44,Spencer Dinwiddie,BRK,80,2018
58,Anthony Tolliver,DET,79,2018
62,Frank Kaminsky,CHO,79,2018
61,Troy Daniels,PHO,79,2018
60,Dwight Powell,DAL,79,2018
59,Gorgui Dieng,MIN,79,2018
57,Paul George,OKC,79,2018
56,Evan Turner,POR,79,2018
55,Donovan Mitchell,UTA,79,2018
54,Jusuf Nurkic,POR,79,2018
53,Lou Williams,LAC,79,2018
69,Dario Saric,PHI,78,2018
72,Frank Ntilikina,NYK,78,2018
71,Bogdan Bogdanovic,SAC,78,2018
70,Carmelo Anthony,OKC,78,2018
68,Kyle Lowry,TOR,78,2018
67,Ed Davis,POR,78,2018
66,Andre Drummond,DET,78,2018
65,Marvin Williams,CHO,78,2018
64,Jeff Green,CLE,78,2018
63,Joe Harris,BRK,78,2018
81,Pau Gasol,SAS,77,2018
88,Jodie Meeks,WAS,77,2018
87,Ian Mahinmi,WAS,77,2018
86,Josh Jackson,PHO,77,2018
84,Denzel Valentine,CHI,77,2018
83,Davis Bertans,SAS,77,2018
82,Dirk Nowitzki,DAL,77,2018
75,Ricky Rubio,UTA,77,2018
80,Kyle O'Quinn,NYK,77,2018
76,Harrison Barnes,DAL,77,2018
79,Derrick Favors,UTA,77,2018
73,DeAndre Jordan,LAC,77,2018
74,Jonas Valanciunas,TOR,77,2018
85,Kyle Kuzma,LAL,77,2018
77,Otto Porter,WAS,77,2018
78,Wayne Ellington,MIA,77,2018
89,Montrezl Harrell,LAC,76,2018
90,Mike Scott,WAS,76,2018
91,Courtney Lee,NYK,76,2018
93,Kelly Olynyk,MIA,76,2018
94,T.J. McConnell,PHI,76,2018
95,Steven Adams,OKC,76,2018
96,John Henson,MIL,76,2018
97,Fred VanVleet,TOR,76,2018
92,Serge Ibaka,TOR,76,2018
104,Tony Snell,MIL,75,2018
108,LaMarcus Aldridge,SAS,75,2018
107,Giannis Antetokounmpo,MIL,75,2018
106,D.J. Augustin,ORL,75,2018
105,Alex Abrines,OKC,75,2018
102,Nikola Jokic,DEN,75,2018
103,Allen Crabbe,BRK,75,2018
100,Mario Hezonja,ORL,75,2018
99,Victor Oladipo,IND,75,2018
98,Goran Dragic,MIA,75,2018
101,Anthony Davis,NOP,75,2018
118,Shabazz Napier,POR,74,2018
126,Wesley Johnson,LAC,74,2018
125,John Collins,ATL,74,2018
124,Brook Lopez,LAL,74,2018
123,Michael Kidd-Gilchrist,CHO,74,2018
122,Amir Johnson,PHI,74,2018
121,Jonas Jerebko,UTA,74,2018
119,Wilson Chandler,DEN,74,2018
120,OG Anunoby,TOR,74,2018
117,Michael Beasley,NYK,74,2018
115,Jerian Grant,CHI,74,2018
114,Domantas Sabonis,IND,74,2018
113,Kyle Anderson,SAS,74,2018
112,Kentavious Caldwell-Pope,LAL,74,2018
111,Clint Capela,HOU,74,2018
110,Thon Maker,MIL,74,2018
109,Ian Clark,NOP,74,2018
116,Mason Plumlee,DEN,74,2018
141,Tomas Satoransky,WAS,73,2018
138,James Johnson,MIA,73,2018
139,Trey Lyles,DEN,73,2018
140,Semi Ojeleye,BOS,73,2018
145,David West,GSW,73,2018
142,Kyle Korver,CLE,73,2018
143,Sam Dekker,LAC,73,2018
144,Willie Cauley-Stein,SAC,73,2018
137,Bobby Portis,CHI,73,2018
135,Markieff Morris,WAS,73,2018
136,Marc Gasol,MEM,73,2018
133,Jarell Martin,MEM,73,2018
132,Luke Kennard,DET,73,2018
131,Lance Thomas,NYK,73,2018
130,Klay Thompson,GSW,73,2018
129,Sindarius Thornwell,LAC,73,2018
128,DeMarre Carroll,BRK,73,2018
127,De'Aaron Fox,SAC,73,2018
134,Damian Lillard,POR,73,2018
150,Tyler Johnson,MIA,72,2018
152,Justin Holiday,CHI,72,2018
151,James Harden,HOU,72,2018
146,Marquese Chriss,PHO,72,2018
149,Maxi Kleber,DAL,72,2018
