,Player,Tm,G,Year,ID
65,Red Kerr,SYR,80,1963,kerrre01
114,Frank Selvy,LAL,80,1963,selvyfr01
51,John Havlicek,BOS,80,1963,havlijo01
45,Hal Greer,SYR,80,1963,greerha01
1,Dick Barnett,LAL,80,1963,barnedi01
43,Johnny Green,NYK,80,1963,greenjo01
88,Paul Neumann,SYR,80,1963,neumapa01
93,Don Ohl,DET,80,1963,ohldo01
32,Mike Farmer,STL,80,1963,farmemi01
30,Leroy Ellis,LAL,80,1963,ellisle01
99,Hub Reed,CIN,80,1963,reedhu01
24,Dave DeBusschere,DET,80,1963,debusda01
105,Tom Sanders,BOS,80,1963,sandeto01
19,Len Chappell,SYR,80,1963,chapple01
18,Wilt Chamberlain,SFW,80,1963,chambwi01
101,Oscar Robertson,CIN,80,1963,roberos01
115,Lee Shaffer,SYR,80,1963,shaffle01
3,Elgin Baylor,LAL,80,1963,bayloel01
124,Jack Twyman,CIN,80,1963,twymaja01
4,Zelmo Beaty,STL,80,1963,beatyze01
5,Walt Bellamy,CHZ,80,1963,bellawa01
7,Bucky Bockhorn,CIN,80,1963,bockhbu01
8,Bob Boozer,CIN,79,1963,boozebo01
52,Tom Hawkins,CIN,79,1963,hawkito01
49,Cliff Hagan,STL,79,1963,hagancl01
47,Richie Guerin,NYK,79,1963,gueriri01
63,Willie Jones,DET,79,1963,joneswi01
67,Jim Krebs,LAL,79,1963,krebsji01
95,Bob Pettit,STL,79,1963,pettibo01
35,Bob Ferry,DET,79,1963,ferrybo01
61,K.C. Jones,BOS,79,1963,joneskc01
57,Bailey Howell,DET,79,1963,howelba01
118,Adrian Smith,CIN,79,1963,smithad01
102,Guy Rodgers,SFW,79,1963,rodgegu01
50,Charlie Hardnett,CHZ,78,1963,hardnch01
21,Larry Costello,SYR,78,1963,costela01
12,Dave Budd,NYK,78,1963,buddda01
126,Chet Walker,SYR,78,1963,walkech01
104,Bill Russell,BOS,78,1963,russebi01
83,Jackie Moreland,DET,78,1963,morelja01
116,Gene Shue,NYK,78,1963,shuege01
125,Chico Vaughn,STL,77,1963,vaughch01
98,Frank Ramsey,BOS,77,1963,ramsefr01
2,John Barnhill,STL,77,1963,barnhjo01
22,Bob Cousy,BOS,76,1963,cousybo01
62,Sam Jones,BOS,76,1963,jonessa01
110,Ray Scott,DET,76,1963,scottra01
53,Tom Heinsohn,BOS,76,1963,heinsto01
31,Wayne Embry,CIN,76,1963,embrywa01
69,Rudy LaRusso,LAL,75,1963,larusru01
131,Gene Wiley,LAL,75,1963,wileyge01
96,Gary Phillips,SFW,75,1963,phillga01
132,Lenny Wilkens,STL,75,1963,wilkele01
14,Al Butler,NYK,74,1963,butleal01
44,Si Green,CHZ,73,1963,greensi01
23,Johnny Cox,CHZ,73,1963,coxjo01
64,Phil Jordon,STL,73,1963,jordoph01
0,Al Attles,SFW,71,1963,attleal01
20,Gene Conley,NYK,70,1963,conlege01
13,Donnie Butcher,NYK,68,1963,butchdo01
54,Wayne Hightower,SFW,66,1963,hightwa01
109,Dolph Schayes,SYR,66,1963,schaydo01
58,Hot Rod Hundley,LAL,65,1963,hundlho01
70,George Lee,SFW,64,1963,leege01
81,Tom Meschery,SFW,64,1963,meschto01
72,Jim Loscutoff,BOS,63,1963,loscuji01
28,Walter Dukes,DET,62,1963,dukeswa01
