,Player,Tm,G,Year,ID
157,Chris Duhon,CHI,82,2005,duhonch01
389,Mehmet Okur,UTA,82,2005,okurme01
422,Tayshaun Prince,DET,82,2005,princta01
241,Dwight Howard,ORL,82,2005,howardw01
64,Bruce Bowen,SAS,82,2005,bowenbr01
80,P.J. Brown,NOH,82,2005,brownpj01
251,Andre Iguodala,PHI,82,2005,iguodan01
414,Paul Pierce,BOS,82,2005,piercpa01
26,Chucky Atkins,LAL,82,2005,atkinch01
300,Kyle Korver,PHI,82,2005,korveky01
227,Trenton Hassell,MIN,82,2005,hassetr01
412,Morris Peterson,TOR,82,2005,petermo01
344,Andre Miller,DEN,82,2005,millean02
190,Kevin Garnett,MIN,82,2005,garneke01
285,Damon Jones,MIA,82,2005,jonesda01
202,Drew Gooden,CLE,82,2005,goodedr01
54,Mark Blount,BOS,82,2005,blounma01
66,Earl Boykins,DEN,82,2005,boykiea01
141,Ricky Davis,BOS,82,2005,davisri01
436,Luke Ridnour,SEA,82,2005,ridnolu01
57,Matt Bonner,TOR,82,2005,bonnema01
282,Joe Johnson,PHO,82,2005,johnsjo02
203,Ben Gordon,CHI,82,2005,gordobe01
321,Stephon Marbury,NYK,82,2005,marbust01
121,Nick Collison,SEA,82,2005,collini01
322,Shawn Marion,PHO,81,2005,mariosh01
73,Elton Brand,LAC,81,2005,brandel01
197,Gordan Giricek,UTA,81,2005,giricgo01
44,Tony Battie,ORL,81,2005,battito01
486,Damon Stoudamire,POR,81,2005,stoudda01
40,Brent Barry,SAS,81,2005,barrybr01
34,Marcus Banks,BOS,81,2005,banksma01
63,Chris Bosh,TOR,81,2005,boshch01
185,Dan Gadzuric,MIL,81,2005,gadzuda01
476,Eric Snow,CLE,81,2005,snower01
445,Jalen Rose,TOR,81,2005,roseja01
292,Jason Kapono,CHA,81,2005,kaponja01
478,Darius Songaila,SAC,81,2005,songada01
495,Wally Szczerbiak,MIN,81,2005,szczewa02
380,Andres Nocioni,CHI,81,2005,nocioan01
262,Marc Jackson,PHI,81,2005,jacksma02
120,Jason Collins,NJN,80,2005,collija04
