,Player,Tm,G,Year,ID
154,Derek Harper,DAL,82,1990,harpede01
335,David Robinson,SAS,82,1990,robinda01
160,Hersey Hawkins,PHI,82,1990,hawkihe01
375,Rory Sparrow,MIA,82,1990,sparrro01
41,Mike Brown,UTA,82,1990,brownmi01
373,Rik Smits,IND,82,1990,smitsri01
107,James Edwards,DET,82,1990,edwarja01
357,Purvis Short,NJN,82,1990,shortpu01
106,Blue Edwards,UTA,82,1990,edwarbl01
105,Mark Eaton,UTA,82,1990,eatonma01
347,Mike Sanders,IND,82,1990,sandemi01
49,Michael Cage,SEA,82,1990,cagemi01
344,John Salley,DET,82,1990,sallejo01
51,Tony Campbell,MIN,82,1990,campbto01
248,Karl Malone,UTA,82,1990,malonka01
336,Dennis Rodman,DET,82,1990,rodmade01
334,Clifford Robinson,POR,82,1990,robincl02
118,Vern Fleming,IND,82,1990,flemive01
332,Fred Roberts,MIL,82,1990,roberfr01
263,Rodney McCray,SAC,82,1990,mccraro01
266,Kevin McHale,BOS,82,1990,mchalke01
328,Pooh Richardson,MIN,82,1990,richapo01
97,Kevin Duckworth,POR,82,1990,duckwke01
322,J.R. Reid,CHH,82,1990,reidjr01
269,Nate McMillan,SEA,82,1990,mcmilna01
272,Reggie Miller,IND,82,1990,millere01
311,Scottie Pippen,CHI,82,1990,pippesc01
71,Lester Conner,NJN,82,1990,connele01
90,Vlade Divac,LAL,82,1990,divacvl01
280,Tod Murphy,MIN,82,1990,murphto01
75,Tyrone Corbin,MIN,82,1990,corbity01
293,Hakeem Olajuwon,HOU,82,1990,olajuha01
385,Terry Teagle,GSW,82,1990,teaglte01
115,Patrick Ewing,NYK,82,1990,ewingpa01
434,Buck Williams,POR,82,1990,willibu01
433,Gerald Wilkins,NYK,82,1990,wilkige01
457,Danny Young,POR,82,1990,youngda01
4,Mark Alarie,WSB,82,1990,alarima01
167,Rod Higgins,GSW,82,1990,higgiro01
180,Mark Jackson,NYK,82,1990,jacksma01
145,Darrell Griffith,UTA,82,1990,griffda01
183,Buck Johnson,HOU,82,1990,johnsbu01
11,Willie Anderson,SAS,82,1990,anderwi01
436,Hot Rod Williams,CLE,82,1990,williho01
141,A.C. Green,LAL,82,1990,greenac01
193,Vinnie Johnson,DET,82,1990,johnsvi01
15,Thurl Bailey,UTA,82,1990,baileth01
119,Sleepy Floyd,HOU,82,1990,floydsl01
200,Michael Jordan,CHI,82,1990,jordami01
301,John Paxson,CHI,82,1990,paxsojo01
427,Mark West,PHO,82,1990,westma01
389,LaSalle Thompson,IND,82,1990,thompla01
421,Spud Webb,ATL,82,1990,webbsp01
204,Jerome Kersey,POR,82,1990,kerseje01
209,Bernard King,WSB,82,1990,kingbe01
210,Stacey King,CHI,82,1990,kingst01
392,Otis Thorpe,HOU,82,1990,thorpot01
135,Harvey Grant,WSB,81,1990,grantha01
177,Jay Humphries,MIL,81,1990,humphja01
152,Bill Hanzlik,DEN,81,1990,hanzlbi01
111,Sean Elliott,SAS,81,1990,elliose01
87,Johnny Dawkins,PHI,81,1990,dawkijo01
151,Bob Hansen,UTA,81,1990,hansebo01
212,Joe Kleine,BOS,81,1990,kleinjo01
92,Sherman Douglas,MIA,81,1990,douglsh01
