,Player,Tm,G,Year,ID
23,Wayne Embry,CIN,79,1961,embrywa01
15,Wilt Chamberlain,PHW,79,1961,chambwi01
49,Andy Johnson,PHW,79,1961,johnsan01
42,Swede Halbrook,SYR,79,1961,halbrsw01
40,Richie Guerin,NYK,79,1961,gueriri01
1,Paul Arizin,PHW,79,1961,arizipa01
38,Hal Greer,SYR,79,1961,greerha01
31,Dave Gambee,SYR,79,1961,gambeda01
61,Red Kerr,SYR,79,1961,kerrre01
29,Bob Ferry,DET,79,1961,ferrybo01
64,Rudy LaRusso,LAL,79,1961,larusru01
69,Johnny McCarthy,STL,79,1961,mccarjo01
73,Willie Naulls,NYK,79,1961,naullwi01
47,Hot Rod Hundley,LAL,79,1961,hundlho01
75,Don Ohl,DET,79,1961,ohldo01
80,Frank Ramsey,BOS,79,1961,ramsefr01
93,Dolph Schayes,SYR,79,1961,schaydo01
101,Jerry West,LAL,79,1961,westje01
99,Jack Twyman,CIN,79,1961,twymaja01
11,Bob Boozer,CIN,79,1961,boozebo01
10,Bucky Bockhorn,CIN,79,1961,bockhbu01
44,Tom Hawkins,LAL,78,1961,hawkito01
3,Dick Barnett,SYR,78,1961,barnedi01
84,Guy Rodgers,PHW,78,1961,rodgegu01
36,Johnny Green,NYK,78,1961,greenjo01
54,K.C. Jones,BOS,78,1961,joneskc01
55,Sam Jones,BOS,78,1961,jonessa01
97,Gene Shue,DET,78,1961,shuege01
90,Bill Russell,BOS,78,1961,russebi01
27,Ray Felix,LAL,78,1961,felixra01
70,Shellie McMillon,DET,78,1961,mcmilsh01
95,Frank Selvy,LAL,77,1961,selvyfr01
46,Bailey Howell,DET,77,1961,howelba01
41,Cliff Hagan,STL,77,1961,hagancl01
2,Al Attles,PHW,77,1961,attleal01
17,Ed Conlin,PHW,77,1961,conlied01
67,Jim Loscutoff,BOS,76,1961,loscuji01
37,Si Green,STL,76,1961,greensi01
19,Bob Cousy,BOS,76,1961,cousybo01
77,Bob Pettit,STL,76,1961,pettibo01
74,Chuck Noble,DET,75,1961,noblech01
62,Jim Krebs,LAL,75,1961,krebsji01
71,Bob McNeill,NYK,75,1961,mcneibo01
81,Hub Reed,CIN,75,1961,reedhu01
103,Lenny Wilkens,STL,75,1961,wilkele01
14,Barney Cable,SYR,75,1961,cableba01
16,Gene Conley,BOS,75,1961,conlege01
18,Larry Costello,SYR,75,1961,costela01
45,Tom Heinsohn,BOS,74,1961,heinsto01
65,George Lee,DET,74,1961,leege01
34,Tom Gola,PHW,74,1961,golato01
4,Elgin Baylor,LAL,73,1961,bayloel01
20,Ralph Davis,CIN,73,1961,davisra01
22,Walter Dukes,DET,73,1961,dukeswa01
32,Dick Garmaker,NYK,71,1961,garmadi01
83,Oscar Robertson,CIN,71,1961,roberos01
92,Woody Sauldsberry,STL,69,1961,sauldwo01
91,Tom Sanders,BOS,68,1961,sandeto01
35,Joe Graboski,PHW,68,1961,grabojo01
30,Larry Foust,STL,68,1961,foustla01
82,Joe Roberts,SYR,68,1961,roberjo01
68,Clyde Lovellette,STL,67,1961,lovelcl01
98,Larry Staverman,CIN,66,1961,stavela01
72,Jackie Moreland,DET,64,1961,morelja01
28,Al Ferrari,STL,63,1961,ferraal01
102,Win Wilfong,CIN,62,1961,wilfowi01
48,Darrall Imhoff,NYK,62,1961,imhofda01
96,Bill Sharman,BOS,61,1961,sharmbi01
13,Dave Budd,NYK,61,1961,buddda01
100,Charlie Tyra,NYK,59,1961,tyrach01
26,Mike Farmer,CIN,57,1961,farmemi01
66,Slick Leonard,LAL,55,1961,leonasl01
76,Jim Palmer,NYK,55,1961,palmeji01
63,Fred LaCour,STL,55,1961,lacoufr01
43,Vern Hatton,PHW,54,1961,hattove01
94,Kenny Sears,NYK,52,1961,searske01
9,Al Bianchi,SYR,52,1961,biancal01
58,Phil Jordon,CIN,48,1961,jordoph01
53,Howie Jolliff,LAL,46,1961,jolifho01
88,Phil Rollins,NYK,40,1961,rolliph01
56,Willie Jones,DET,35,1961,joneswi01
78,Dave Piontek,STL,29,1961,piontda01
89,Joe Ruklick,PHW,29,1961,ruklijo01
21,Archie Dees,DET,28,1961,deesar01
39,Gene Guarilia,BOS,25,1961,guarige01
0,Gary Alcorn,LAL,20,1961,alcorga01
33,Jack George,NYK,16,1961,georgja01
12,Carl Braun,NYK,15,1961,braunca01
52,Ron Johnson,LAL,8,1961,johnsro01
60,Pickles Kennedy,PHW,7,1961,kennepi01
6,Ernie Beck,STL,7,1961,becker01
8,Whitey Bell,NYK,5,1961,bellwh01
79,Cal Ramsey,SYR,2,1961,ramseca01
