,Player,Tm,G,Year,ID
83,Al Masino,MLH,72,1953,masinal01
140,Dolph Schayes,SYR,71,1953,schaydo01
28,Bob Cousy,BOS,71,1953,cousybo01
148,Bill Sharman,BOS,71,1953,sharmbi01
57,Mel Hutchins,MLH,71,1953,hutchme01
9,Bob Brannum,BOS,71,1953,brannbo01
33,Bob Donham,BOS,71,1953,donhabo01
67,George King,SYR,71,1953,kingge01
2,Leo Barnhorst,INO,71,1953,barnhle01
42,Harry Gallatin,NYK,70,1953,gallaha01
40,Joe Fulks,PHW,70,1953,fulksjo01
138,Pep Saul,MNL,70,1953,saulpe01
89,Jack McMahon,ROC,70,1953,mcmahja01
26,Chuck Cooper,BOS,70,1953,coopech01
47,Bob Harris,BOS,70,1953,harribo01
24,Jack Coleman,ROC,70,1953,colemja01
23,Nat Clifton,NYK,70,1953,cliftna01
71,Bob Lavoy,INO,70,1953,lavoybo01
48,Bob Harrison,MNL,70,1953,harribo02
98,Vern Mikkelsen,MNL,70,1953,mikkeve01
82,Slater Martin,MNL,70,1953,martisl01
53,Lew Hitch,MNL,70,1953,hitchle01
13,Carl Braun,NYK,70,1953,braunca01
58,Arnie Johnson,ROC,70,1953,johnsar01
60,Neil Johnston,PHW,70,1953,johnsne01
61,Noble Jorgensen,SYR,70,1953,jorgeno01
156,Bobby Wanzer,ROC,70,1953,wanzebo01
97,George Mikan,MNL,70,1953,mikange01
54,Paul Hoffman,BLB,69,1953,hoffmpa01
43,Joe Graboski,INO,69,1953,grabojo01
79,Ed Macauley,BOS,69,1953,macaued01
41,Bill Gabor,SYR,69,1953,gaborbi01
80,John Mahnken,BOS,69,1953,mahnkjo01
108,Jack Nichols,MLH,69,1953,nichoja01
136,Red Rocha,SYR,69,1953,rochare01
139,Fred Schaus,FTW,69,1953,schaufr01
145,George Senesky,PHW,69,1953,senesge01
34,Dike Eddleman,FTW,69,1953,eddledi01
14,Frankie Brian,FTW,68,1953,brianfr01
90,Monk Meineke,FTW,68,1953,meinemo01
45,Alex Hannum,ROC,68,1953,hannual01
135,Arnie Risen,ROC,68,1953,risenar01
150,Whitey Skoog,MNL,68,1953,skoogwh01
49,Don Henriksen,BLB,68,1953,henrido01
119,Johnny Payak,MLH,68,1953,payakjo01
155,Paul Walther,INO,67,1953,walthpa01
153,Bill Tosheff,INO,67,1953,toshebi01
147,Chuck Share,FTW,67,1953,sharech01
146,Paul Seymour,SYR,67,1953,seymopa01
39,Larry Foust,FTW,67,1953,foustla01
124,Jim Pollard,MNL,66,1953,pollaji01
55,Jim Holstein,MNL,66,1953,holstji01
120,Mel Payton,INO,66,1953,paytome01
4,Vince Boryla,NYK,66,1953,borylvi01
31,Bob Davies,ROC,66,1953,daviebo01
1,Don Barksdale,BLB,65,1953,barksdo01
149,Connie Simmons,NYK,65,1953,simmoco01
134,Gene Rhodes,INO,65,1953,rhodege01
75,Don Lofgran,PHW,64,1953,lofgrdo01
73,Earl Lloyd,SYR,64,1953,lloydea01
0,Jim Baechtold,BLB,64,1953,baechji01
74,Bob Lochmueller,SYR,62,1953,lochmbo01
151,Odie Spears,ROC,62,1953,spearod01
154,Ernie Vandeweghe,NYK,61,1953,vandeer01
87,Dick McGuire,NYK,61,1953,mcguidi01
29,Dillard Crocker,MLH,61,1953,crockdi01
133,George Ratkovicz,MLH,61,1953,ratkoge01
101,Eddie Miller,BLB,60,1953,milleed01
159,Mark Workman,PHW,60,1953,workmma01
22,Cal Christensen,ROC,59,1953,chrisca01
86,Alfred McGuire,NYK,58,1953,mcguial01
123,Andy Phillip,FTW,57,1953,phillan01
3,Nelson Bobb,PHW,55,1953,bobbne01
64,Jack Kerris,FTW,52,1953,kerrija01
116,Wally Osterkorn,SYR,49,1953,osterwa01
78,Ray Lumpp,BLB,49,1953,lumppra01
20,Bill Calhoun,MLH,49,1953,calhobi01
115,Kevin O'Shea,BLB,46,1953,osheake01
127,Ralph Polson,PHW,46,1953,polsora01
143,Fred Scolari,BLB,46,1953,scolafr01
56,Red Holzman,ROC,46,1953,holzmre01
36,Jake Fendley,FTW,45,1953,fendlja01
137,Kenny Rollins,BOS,43,1953,rollike01
96,Ed Mikan,INO,43,1953,mikaned01
161,Zeke Zawoluk,INO,41,1953,zawolze01
141,Howie Schultz,MNL,40,1953,schulho01
93,Stan Miasek,MLH,40,1953,miasest01
104,Dave Minor,MLH,40,1953,minorda01
25,Gene Conley,BOS,39,1953,conlege01
21,Al Cervi,SYR,38,1953,cervial01
111,Ralph O'Brien,INO,34,1953,obriera01
38,Jerry Fleishman,PHW,33,1953,fleisje01
37,Danny Finn,PHW,31,1953,finnda01
105,Bill Mlkvy,PHW,31,1953,mlkvybi01
160,Max Zaslofsky,NYK,29,1953,zasloma01
6,Don Boven,MLH,27,1953,bovendo01
44,Dick Groat,FTW,26,1953,groatdi01
152,Dick Surhoff,NYK,26,1953,surhodi01
117,Don Otten,MLH,24,1953,ottendo01
62,George Kaftan,BLB,23,1953,kaftage01
70,Frank Kudelka,PHW,20,1953,kudelfr01
46,Don Hanrahan,INO,18,1953,hanrado01
106,Jim Mooney,PHW,18,1953,mooneji01
128,Bob Priddy,BLB,16,1953,priddbo01
118,Claude Overton,PHW,15,1953,overtcl01
85,Bucky McConnell,MLH,14,1953,mcconbu01
16,Dick Bunt,NYK,14,1953,buntdi01
30,Pete Darcey,MLH,12,1953,darcepe01
88,George McLeod,BLB,10,1953,mcleoge01
11,Jim Brasco,SYR,10,1953,brascji01
27,Ray Corley,FTW,8,1953,corlera01
72,Andrew Levane,MLH,7,1953,levanan01
66,Jack Kiley,FTW,6,1953,kileyja01
81,Mo Mahoney,BOS,6,1953,mahonmo01
52,Kleggie Hermsen,INO,6,1953,hermskl01
130,Sherwin Raiken,NYK,6,1953,raikesh01
35,George Feigenbaum,MLH,5,1953,feigege01
109,John O'Boyle,MLH,5,1953,oboyljo01
114,Mike O'Neill,MLH,4,1953,oneilmi01
107,Bob Naber,INO,4,1953,naberbo01
129,Moe Radovich,PHW,4,1953,radovmo01
59,Ralph Johnson,FTW,3,1953,johnsra01
84,Jack McCloskey,PHW,1,1953,mccloja01
32,Blaine Denning,BLB,1,1953,dennibl01
