,Player,Tm,G,Year,ID
375,Mikki Moore,SAC,82,2008,mooremi01
82,Kobe Bryant,LAL,82,2008,bryanko01
565,Deron Williams,UTA,82,2008,willide01
331,Kyle Lowry,MEM,82,2008,lowryky01
354,Jason Maxiell,DET,82,2008,maxieja01
87,Jose Calderon,TOR,82,2008,caldejo01
365,Andre Miller,PHI,82,2008,millean02
368,Paul Millsap,UTA,82,2008,millspa01
386,Juan Carlos Navarro,MEM,82,2008,navarju01
281,Richard Jefferson,NJN,82,2008,jefferi01
397,Andres Nocioni,CHI,82,2008,nocioan01
405,Fabricio Oberto,SAS,82,2008,obertfa01
407,Emeka Okafor,CHA,82,2008,okafoem01
411,Travis Outlaw,POR,82,2008,outlatr01
415,Anthony Parker,TOR,82,2008,parkean01
55,Keith Bogans,ORL,82,2008,boganke01
290,Joe Johnson,ATL,82,2008,johnsjo02
280,Al Jefferson,MIN,82,2008,jeffeal01
437,Tayshaun Prince,DET,82,2008,princta01
128,Boris Diaw,PHO,82,2008,diawbo01
167,Michael Finley,SAS,82,2008,finlemi01
168,Derek Fisher,LAL,82,2008,fishede01
172,Adonal Foyle,ORL,82,2008,foylead01
147,Mike Dunleavy,IND,82,2008,dunlemi02
197,Ryan Gomes,MIN,82,2008,gomesry01
236,Jarvis Hayes,DET,82,2008,hayesja01
126,Carlos Delfino,TOR,82,2008,delfica01
117,Samuel Dalembert,PHI,82,2008,dalemsa01
125,Ricky Davis,MIA,82,2008,davisri01
249,Dwight Howard,ORL,82,2008,howardw01
122,Baron Davis,GSW,82,2008,davisba01
259,Andre Iguodala,PHI,82,2008,iguodan01
264,Allen Iverson,DEN,82,2008,iversal01
266,Jarrett Jack,POR,82,2008,jackja01
53,Andray Blatche,WAS,82,2008,blatcan01
161,Jordan Farmar,LAL,82,2008,farmajo01
491,DeShawn Stevenson,WAS,82,2008,stevede01
509,Jason Terry,DAL,82,2008,terryja01
468,Luis Scola,HOU,82,2008,scolalu01
523,Hedo Turkoglu,ORL,82,2008,turkohe01
34,Leandro Barbosa,PHO,82,2008,barbole01
450,Jason Richardson,CHA,82,2008,richaja01
484,Josh Smith,ATL,81,2008,smithjo03
330,Rashard Lewis,ORL,81,2008,lewisra02
308,Jason Kapono,TOR,81,2008,kaponja01
29,Kelenna Azubuike,GSW,81,2008,azubuke01
60,Carlos Boozer,UTA,81,2008,boozeca01
160,Reggie Evans,PHI,81,2008,evansre01
385,Steve Nash,PHO,81,2008,nashst01
222,Al Harrington,GSW,81,2008,harrial01
465,John Salmons,SAC,81,2008,salmojo01
185,Rudy Gay,MEM,81,2008,gayru01
62,Bruce Bowen,SAS,81,2008,bowenbr01
246,Al Horford,ATL,81,2008,horfoal01
329,David Lee,NYK,81,2008,leeda02
152,Monta Ellis,GSW,81,2008,ellismo01
52,Steve Blake,POR,81,2008,blakest01
91,Matt Carroll,CHA,80,2008,carroma01
151,Kevin Durant,SEA,80,2008,duranke01
575,Marvin Williams,ATL,80,2008,willima02
489,Darius Songaila,WAS,80,2008,songada01
414,Jannero Pargo,NOH,80,2008,pargoja01
237,Brendan Haywood,WAS,80,2008,haywobr01
353,Roger Mason,WAS,80,2008,masonro01
111,Jamal Crawford,NYK,80,2008,crawfja01
43,Shane Battier,HOU,80,2008,battish01
421,Chris Paul,NOH,80,2008,paulch01
429,Paul Pierce,BOS,80,2008,piercpa01
210,Jeff Green,SEA,80,2008,greenje02
205,Danny Granger,IND,80,2008,grangda01
570,Lou Williams,PHI,80,2008,willilo02
165,Raymond Felton,CHA,79,2008,feltora01
88,Marcus Camby,DEN,79,2008,cambyma01
519,Al Thornton,LAC,79,2008,thornal01
97,Tyson Chandler,NOH,79,2008,chandty01
235,Chuck Hayes,HOU,79,2008,hayesch01
41,Brandon Bass,DAL,79,2008,bassbr01
278,Antawn Jamison,WAS,79,2008,jamisan01
316,Linas Kleiza,DEN,79,2008,kleizli01
66,Corey Brewer,MIN,79,2008,breweco01
498,Amar'e Stoudemire,PHO,79,2008,stoudam01
178,Francisco Garcia,SAC,79,2008,garcifr01
105,Nick Collison,SEA,78,2008,collini01
175,Channing Frye,POR,78,2008,fryech01
357,Antonio McDyess,DET,78,2008,mcdyean01
547,Earl Watson,SEA,78,2008,watsoea01
522,Ronny Turiaf,LAL,78,2008,turiaro01
248,Eddie House,BOS,78,2008,houseed01
424,Kendrick Perkins,BOS,78,2008,perkike01
374,Jamario Moon,TOR,78,2008,moonja01
51,Chauncey Billups,DET,78,2008,billuch01
74,Devin Brown,CLE,78,2008,brownde02
146,Tim Duncan,SAS,78,2008,duncati01
56,Andrew Bogut,MIL,78,2008,bogutan01
36,Andrea Bargnani,TOR,78,2008,bargnan01
384,Eduardo Najera,DEN,78,2008,najered01
18,Carmelo Anthony,DEN,77,2008,anthoca01
170,Jeff Foster,IND,77,2008,fosteje01
541,Rasheed Wallace,DET,77,2008,wallara01
439,Joel Przybilla,POR,77,2008,przybjo01
492,Peja Stojakovic,NOH,77,2008,stojape01
399,Dirk Nowitzki,DAL,77,2008,nowitdi01
370,Cuttino Mobley,LAC,77,2008,moblecu01
406,Lamar Odom,LAL,77,2008,odomla01
478,Craig Smith,MIN,77,2008,smithcr01
459,Rajon Rondo,BOS,77,2008,rondora01
250,Josh Howard,DAL,76,2008,howarjo01
528,Charlie Villanueva,MIL,76,2008,villach01
461,Quinton Ross,LAC,76,2008,rossqu01
559,Damien Wilkins,SEA,76,2008,wilkida02
6,LaMarcus Aldridge,POR,76,2008,aldrila01
221,Matt Harpring,UTA,76,2008,harprma01
553,David West,NOH,76,2008,westda01
50,Andris Biedrins,GSW,76,2008,biedran01
426,Morris Peterson,NOH,76,2008,petermo01
480,Jason Smith,PHI,76,2008,smithja02
93,Vince Carter,NJN,76,2008,cartevi01
99,Josh Childress,ATL,76,2008,childjo01
67,Ronnie Brewer,UTA,76,2008,brewero02
46,Raja Bell,PHO,75,2008,bellra01
543,Hakim Warrick,MEM,75,2008,warriha01
383,Bostjan Nachbar,NJN,75,2008,nachbbo01
593,Nick Young,WAS,75,2008,youngni01
549,Martell Webster,POR,75,2008,webstma02
279,Marko Jaric,MIN,75,2008,jaricma01
265,Royal Ivey,MIL,75,2008,iveyro01
355,Rashad McCants,MIN,75,2008,mccanra01
1,Arron Afflalo,DET,75,2008,afflaar01
11,Tony Allen,BOS,75,2008,allento01
274,LeBron James,CLE,75,2008,jamesle01
244,Kirk Hinrich,CHI,75,2008,hinriki01
378,Troy Murphy,IND,75,2008,murphtr01
462,Brandon Roy,POR,74,2008,roybr01
192,Manu Ginobili,SAS,74,2008,ginobma01
479,J.R. Smith,DEN,74,2008,smithjr01
518,Tyrus Thomas,CHI,74,2008,thomaty01
527,Jacque Vaughn,SAS,74,2008,vaughja01
317,Brevin Knight,LAC,74,2008,knighbr01
542,Luke Walton,LAL,74,2008,waltolu01
214,Willie Green,PHI,74,2008,greenwi01
432,James Posey,BOS,74,2008,poseyja01
396,Joakim Noah,CHI,74,2008,noahjo01
594,Thaddeus Young,PHI,74,2008,youngth01
120,Marquis Daniels,IND,74,2008,daniema01
14,Rafer Alston,HOU,74,2008,alstora01
143,Quincy Douby,SAC,74,2008,doubyqu01
238,Luther Head,HOU,73,2008,headlu01
10,Ray Allen,BOS,73,2008,allenra02
282,Jared Jeffries,NYK,73,2008,jeffrja01
271,Stephen Jackson,GSW,73,2008,jacksst02
37,Matt Barnes,GSW,73,2008,barnema02
260,Zydrunas Ilgauskas,CLE,73,2008,ilgauzy01
577,Sean Williams,NJN,73,2008,willise01
524,Ime Udoka,SAS,73,2008,udokaim01
144,Jared Dudley,CHA,73,2008,dudleja01
142,Keyon Dooling,ORL,72,2008,doolike01
447,Michael Redd,MIL,72,2008,reddmi01
408,Mehmet Okur,UTA,72,2008,okurme01
219,Richard Hamilton,DET,72,2008,hamilri01
118,Erick Dampier,DAL,72,2008,dampier01
201,Ben Gordon,CHI,72,2008,gordobe01
531,Sasha Vujacic,LAL,72,2008,vujacsa01
457,Nate Robinson,NYK,72,2008,robinna01
427,Johan Petro,SEA,72,2008,petrojo01
366,Brad Miller,SAC,72,2008,millebr01
458,Sergio Rodriguez,POR,72,2008,rodrise01
315,Andrei Kirilenko,UTA,72,2008,kirilan01
388,Rasho Nesterovic,TOR,71,2008,nestera01
234,Spencer Hawes,SAC,71,2008,hawessp01
180,Kevin Garnett,BOS,71,2008,garneke01
119,Antonio Daniels,WAS,71,2008,daniean01
