,Carter Number,Name
feigege01,6,George Feigenbaum
wagneda01,7,Danny Wagner
hahnro01,6,Robert Hahn
chanejo01,7,John Chaney
janotho01,7,Howie Janotta
doddea01,7,Earl Dodd
parslch01,7,Charlie Parsley
miksial01,7,Al Miksis
spectar01,7,Art Spector
brookpr01,6,Price Brookfield
pritcjo01,7,John Pritchard
menkeke01,7,Ken Menke
woodbo01,7,Bob Wood
nolanji01,7,Jim Nolan
mccarmi01,6,Mike McCarron
gordopa01,7,Paul Gordon
cloydpa01,7,Paul Cloyd
triptdi01,7,Dick Triptow
parkija01,7,Jack Parkinson
rulloje01,7,Jerry Rullo
bercege01,7,Gene Berce
gratedo01,7,Don Grate
mitchmu01,7,Murray Mitchell
knorele01,7,Lee Knorek
glickno01,6,Normie Glick
cousybo01,5,Bob Cousy
foustla01,5,Larry Foust
donhabo01,6,Bob Donham
chrisca01,6,Cal Christensen
coopech01,5,Chuck Cooper
arizipa01,5,Paul Arizin
cliftna01,5,Nat Clifton
osheake01,6,Kevin O'Shea
lavoybo01,6,Bob Lavoy
mcnamjo01,6,Joe McNamee
huttojo01,6,Joe Hutton
rehfedo01,6,Don Rehfeldt
murrake01,6,Ken Murray
lofgrdo01,6,Don Lofgran
calabge01,6,Gerry Calabrese
riffeji01,6,Jim Riffey
burriar01,6,Art Burris
sawyeal01,6,Alan Sawyer
sharmbi01,5,Bill Sharman
schnidi01,6,Dick Schnittker
mrazoch01,7,Chuck Mrazovich
borsaik01,6,Ike Borsavage
magerno01,7,Norm Mager
scherhe01,6,Herb Scherer
gaydaed01,6,Ed Gayda
beached01,6,Ed Beach
lloydea01,5,Earl Lloyd
dezonha01,6,Hank DeZonie
okeefto01,6,Tommy O'Keefe
ellefra01,6,Ray Ellefson
blevile01,7,Leon Blevins
hutchme01,5,Mel Hutchins
kingge01,6,George King
osterwa01,6,Wally Osterkorn
toshebi01,6,Bill Tosheff
obriera01,6,Ralph O'Brien
johnsne01,5,Neil Johnston
sharech01,5,Chuck Share
wilsobo01,6,Bob Wilson
barksdo01,6,Don Barksdale
hitchle01,5,Lew Hitch
mcguial01,6,Alfred McGuire
fendlja01,6,Jake Fendley
minorda01,6,Dave Minor
ragelra01,6,Ray Ragelis
kileyja01,6,Jack Kiley
dickedi01,6,Dick Dickey
paytome01,6,Mel Payton
ranzisa01,6,Sam Ranzino
skoogwh01,6,Whitey Skoog
slaugji01,6,Jim Slaughter
delonna01,6,Nate DeLong
brownst01,6,Stan Brown
dahleed01,6,Ed Dahler
savagdo01,5,Don Savage
mcconjo01,6,John McConathy
pilchjo01,6,John Pilch
fowleje01,6,Jerry Fowler
rennijo01,6,John Rennicke
behnkel01,6,Elmer Behnke
sinicze01,6,Zeke Sinicola
masinal01,6,Al Masino
mcmahja01,5,Jack McMahon
meinemo01,6,Monk Meineke
henrido01,6,Don Henriksen
holstji01,6,Jim Holstein
rhodege01,6,Gene Rhodes
baechji01,5,Jim Baechtold
lochmbo01,6,Bob Lochmueller
milleed01,6,Eddie Miller
workmma01,6,Mark Workman
polsora01,6,Ralph Polson
zawolze01,5,Zeke Zawoluk
conlege01,5,Gene Conley
finnda01,5,Danny Finn
mlkvybi01,6,Bill Mlkvy
groatdi01,6,Dick Groat
surhodi01,6,Dick Surhoff
hanrado01,6,Don Hanrahan
mooneji01,6,Jim Mooney
priddbo01,6,Bob Priddy
overtcl01,6,Claude Overton
mcconbu01,6,Bucky McConnell
buntdi01,6,Dick Bunt
darcepe01,6,Pete Darcey
mcleoge01,6,George McLeod
brascji01,6,Jim Brasco
mahonmo01,6,Mo Mahoney
raikesh01,6,Sherwin Raiken
oboyljo01,6,John O'Boyle
oneilmi01,6,Mike O'Neill
naberbo01,6,Bob Naber
radovmo01,6,Moe Radovich
mccloja01,6,Jack McCloskey
dennibl01,6,Blaine Denning
felixra01,5,Ray Felix
kenvibi01,5,Billy Kenville
lovelcl01,5,Clyde Lovellette
georgja01,5,Jack George
bemorir01,5,Irv Bemoras
daviswa01,5,Walt Davis
sundedo01,6,Don Sunderlage
rogesal01,6,Al Roges
nealji01,6,Jim Neal
hansro01,6,Rollen Hans
fritsji01,6,Jim Fritsche
swansno01,6,Norm Swanson
yardlge01,5,George Yardley
houbrbo01,6,Bob Houbregs
barreer01,6,Ernie Barrett
smythjo01,6,Joe Smyth
molinja01,6,Jack Molinas
luisiji01,6,Jim Luisi
ackerdo01,6,Don Ackerman
uplinha01,6,Hal Uplinger
govedba01,6,Bato Govedarica
reaco01,6,Connie Rea
bolgebi01,6,Bill Bolger
becker01,5,Ernie Beck
smithed01,6,Ed Smith
dykerge01,6,Gene Dyker
asmondo01,6,Don Asmonga
reddofr01,6,Frank Reddout
knostdi01,6,Dick Knostman
peterbo01,6,Bob Peterson
phelaja02,6,James Phelan
walthis01,6,Isaac Walthour
earleed01,6,Ed Earle
grekino01,6,Norm Grekin
nolenpa01,6,Paul Nolen
kerrre01,5,Red Kerr
kalafed01,6,Ed Kalafat
pettibo01,4,Bob Pettit
marshto01,5,Tom Marshall
morrire01,5,Red Morrison
spoelar01,5,Art Spoelstra
farledi01,6,Dick Farley
rosendi01,6,Dick Rosenthal
turneja01,6,Jack Turner
ramsefr01,5,Frank Ramsey
shuege01,5,Gene Shue
palazto01,5,Togo Palazzi
dempsge01,5,George Dempsey
cookbe01,6,Bert Cook
tuckeji01,5,Jim Tucker
carnebo01,6,Bob Carney
costela01,4,Larry Costello
kingda01,6,Dan King
mcbrike01,5,Ken McBride
brennto01,5,Tom Brennan
grigsch01,6,Chuck Grigsby
diutefr01,5,Fred Diute
martiph01,5,Phil Martin
chrisfr01,6,Fred Christ
macgiro01,5,Ronnie MacGilvray
nachabo01,6,Boris Nachamkin
kearnmi01,5,Mike Kearns
heddehe01,6,Herm Hedderick
whitask01,6,Skippy Whitaker
knighbo01,6,Bob Knight
mcnulca01,5,Carl McNulty
anieldo01,6,Don Anielak
mooreja01,5,Jackie Moore
selvyfr01,5,Frank Selvy
watsobo01,6,Bobby Watson
noblech01,5,Chuck Noble
reganri01,5,Richie Regan
twymaja01,5,Jack Twyman
stephja01,5,Jack Stephens
loscuji01,5,Jim Loscutoff
hemridi01,5,Dick Hemric
flemied01,5,Ed Fleming
searske01,5,Kenny Sears
devlico01,6,Corky Devlin
mencech01,6,Chuck Mencel
ferraal01,5,Al Ferrari
garmadi01,5,Dick Garmaker
golato01,5,Tom Gola
stokema01,5,Maurice Stokes
conlied01,5,Ed Conlin
dukeswa01,5,Walter Dukes
hennela01,5,Larry Hennessy
schafbo01,5,Bob Schafer
parkme01,5,Med Park
rickedi01,5,Dick Ricketts
arnelje01,6,Jesse Arnelle
harrich01,6,Chris Harris
athadi01,6,Dick Atha
willibo01,6,Bob Williams
horanjo01,6,Johnny Horan
feierro01,6,Ron Feiereisel
bielkdo01,6,Don Bielke
santibo01,6,Bob Santini
davisre01,6,Red Davis
heinsto01,5,Tom Heinsohn
gueriri01,4,Richie Guerin
mccarjo01,5,Johnny McCarthy
leonasl01,5,Slick Leonard
holupjo01,5,Joe Holup
paxsoji01,6,Jim Paxson
piontda01,5,Dave Piontek
sobiero01,5,Ron Sobie
biancal01,4,Al Bianchi
hagancl01,4,Cliff Hagan
burrobo01,5,Bob Burrow
hopkibo01,5,Bob Hopkins
thiebbi01,6,Bill Thieben
naullwi01,5,Willie Naulls
tsiorlo01,5,Lou Tsioropoulos
russebi01,4,Bill Russell
armstbo01,5,Bob Armstrong
greensi01,4,Si Green
jordoph01,5,Phil Jordon
shavlro01,5,Ron Shavlik
bergega01,5,Gary Bergen
stewano01,5,Norm Stewart
barbejo01,5,John Barber
rayji01,5,Jim Ray
learha01,5,Hal Lear
ablefo01,5,Forest Able
sparrgu01,5,Guy Sparrow
wilfowi01,5,Win Wilfong
sauldwo01,5,Woody Sauldsberry
tyrach01,5,Charlie Tyra
krebsji01,5,Jim Krebs
hundlho01,5,Hot Rod Hundley
jonessa01,4,Sam Jones
rosenle01,5,Lennie Rosenbluth
frienla01,5,Larry Friend
mccanbr01,5,Brendan McCann
duckedi01,6,Dick Duckett
dunnpa01,6,Pat Dunn
ingramc01,6,McCoy Ingram
eriasbo01,6,Bo Erias
walshji01,6,Jim Walsh
ebbenbi01,6,Bill Ebben
paulsje01,6,Jerry Paulson
pattewo01,5,Worthy Patterson
bolstdo01,6,Doug Bolstorff
brownge01,6,George Brown
radzira01,6,Ray Radziszewski
farmemi01,4,Mike Farmer
ellisbo01,5,Boo Ellis
bockhbu01,5,Bucky Bockhorn
bayloel01,4,Elgin Baylor
deesar01,5,Archie Dees
greerha01,4,Hal Greer
hamilst01,5,Steve Hamilton
johnsan01,5,Andy Johnson
palmeji01,5,Jim Palmer
embrywa01,4,Wayne Embry
parrja01,6,Jack Parr
reedhu01,5,Hub Reed
dierkco01,4,Connie Dierking
swainbe01,5,Bennie Swain
stavela01,5,Larry Staverman
joneskc01,4,K.C. Jones
mcmilsh01,5,Shellie McMillon
rodgegu01,4,Guy Rodgers
hattove01,5,Vern Hatton
cableba01,5,Barney Cable
rolliph01,5,Phil Rollins
brennpe01,5,Pete Brennan
birdje01,5,Jerry Bird
gambeda01,4,Dave Gambee
kearnto01,5,Tommy Kearns
howelba01,4,Bailey Howell
chambwi01,4,Wilt Chamberlain
larusru01,4,Rudy LaRusso
hawkito01,5,Tom Hawkins
greenjo01,4,Johnny Green
richtjo01,5,John Richter
ferrybo01,4,Bob Ferry
alcorga01,5,Gary Alcorn
barnedi01,4,Dick Barnett
guarige01,5,Gene Guarilia
ruklijo01,5,Joe Ruklick
anderbo01,5,Bob Anderegg
bellwh01,5,Whitey Bell
smithbo01,5,Bobby Smith
mantini01,5,Nick Mantis
windito01,5,Tony Windis
stevewa01,6,Wayne Stevens
ramseca01,5,Cal Ramsey
kingma01,5,Maurice King
halbrsw01,5,Swede Halbrook
ohldo01,4,Don Ohl
westje01,4,Jerry West
boozebo01,4,Bob Boozer
attleal01,4,Al Attles
mcneibo01,5,Bob McNeill
wilkele01,4,Lenny Wilkens
leege01,4,George Lee
davisra01,5,Ralph Davis
roberos01,4,Oscar Robertson
sandeto01,4,Tom Sanders
roberjo01,5,Joe Roberts
morelja01,5,Jackie Moreland
imhofda01,4,Darrall Imhoff
buddda01,5,Dave Budd
lacoufr01,5,Fred LaCour
jolifho01,5,Howie Jolliff
joneswi01,5,Willie Jones
johnsro01,5,Ron Johnson
kennepi01,5,Pickles Kennedy
meschto01,4,Tom Meschery
smithad01,4,Adrian Smith
bellawa01,4,Walt Bellamy
neumapa01,4,Paul Neumann
scottra01,4,Ray Scott
shaffle01,5,Lee Shaffer
luckete01,5,Ted Luckenbill
phillga01,4,Gary Phillips
martiwh01,5,Whitey Martin
walkeho01,5,Horace Walker
buckhjo01,5,Joe Buckhalter
buckncl01,5,Cleveland Buckner
zelleda01,5,Dave Zeller
wiesebo01,5,Bob Wiesenhahn
hillcl01,5,Cleo Hill
nordmbe01,5,Bevo Nordmann
eganjo01,4,Johnny Egan
butleal01,4,Al Butler
laresyo01,5,York Larese
butchdo01,5,Donnie Butcher
simsbo01,5,Bob Sims
turneja02,5,Jack Turner
radovfr01,5,Frank Radovich
yateswa01,5,Wayne Yates
blanege01,5,George Blaney
stithsa01,5,Sam Stith
carlho01,5,Howie Carl
smithbi01,5,Bill Smith
burtoed01,4,Ed Burton
arcenst01,5,Stacey Arceneaux
darroji01,5,Jimmy Darrow
kistldo01,5,Doug Kistler
osborch01,5,Chuck Osborne
bonsage01,5,George Bon Salle
hornro01,5,Ron Horn
eichhdi01,5,Rich Eichhorst
havlijo01,4,John Havlicek
ellisle01,3,Leroy Ellis
debusda01,4,Dave DeBusschere
chapple01,4,Len Chappell
beatyze01,4,Zelmo Beaty
hardnch01,4,Charlie Hardnett
walkech01,4,Chet Walker
vaughch01,4,Chico Vaughn
barnhjo01,4,John Barnhill
wileyge01,5,Gene Wiley
coxjo01,5,Johnny Cox
hightwa01,5,Wayne Hightower
nelsodo01,4,Don Nelson
mcgilbi01,4,Bill McGill
dischte01,4,Terry Dischinger
loughke01,4,Kevin Loughery
rudomjo01,5,John Rudometkin
olsenbu01,4,Bud Olsen
hoguedu01,5,Paul Hogue
duffybo02,5,Bob Duffy
swartda01,5,Dan Swartz
nowelme01,5,Mel Nowell
meriwpo01,5,Porter Meriwether
whitehu01,5,Hubie White
tiemada01,5,Dan Tieman
bridgbi01,4,Bill Bridges
warlebe01,5,Ben Warley
stithto01,5,Tom Stith
montgho01,5,Howie Montgomery
fedorda01,5,Dave Fedor
tormobu01,4,Gene Tormohlen
foleyja01,5,Jack Foley
doyleda01,5,Danny Doyle
sladeje01,5,Jeff Slade
wellsra01,5,Ralph Wells
gunthda01,5,Dave Gunther
lucasje01,4,Jerry Lucas
kojisdo01,4,Don Kojis
johnsgu01,4,Gus Johnson
thurmna01,4,Nate Thurmond
heymaar01,5,Art Heyman
thornro01,4,Rod Thorn
hillga01,5,Gary Hill
kingji01,4,Jim King
milesed01,4,Eddie Miles
hooveto01,4,Tom Hoover
thackto01,5,Tom Thacker
arnetja01,5,Jay Arnette
hardire01,5,Reggie Harding
siegfla01,4,Larry Siegfried
wardge01,4,Gerry Ward
greenje01,5,Jerry Greenspan
comlela01,5,Larry Comley
windsjo01,5,John Windsor
gibsome01,5,Mel Gibson
harknje01,5,Jerry Harkness
rohloke01,5,Ken Rohloff
peterme01,5,Mel Peterson
stricro01,5,Roger Strickland
reedwi01,4,Willis Reed
komivho01,4,Howard Komives
silaspa01,3,Paul Silas
mclemmc01,4,McCoy McLemore
bryanem01,4,Em Bryant
joneswa02,3,Wali Jones
jackslu01,4,Luke Jackson
barneji01,4,Jim Barnes
caldwjo01,4,Joe Caldwell
abdulma01,4,Walt Hazzard
thompjo01,5,John Thompson
hairsha01,4,Happy Hairston
koperbu01,5,Bud Koper
countme01,4,Mel Counts
mullije01,3,Jeff Mullins
braddga01,4,Gary Bradds
wilsoge01,4,George Wilson
bonharo01,5,Ron Bonham
krameba01,5,Barry Kramer
nashco01,5,Cotton Nash
courtst01,5,Steve Courtin
huntele01,4,Les Hunter
jonesla01,4,Larry Jones
groteje01,5,Jerry Grote
tresvjo01,4,John Tresvant
cunnibi01,3,Billy Cunningham
stallda01,4,Dave Stallworth
barryri01,3,Rick Barry
strawjo01,5,Joe Strawder
vanardi01,4,Dick Van Arsdale
vanarto01,4,Tom Van Arsdale
mcglojo01,4,Jon McGlocklin
clemeba01,4,Barry Clemens
goodrga01,4,Gail Goodrich
washiji01,4,Jim Washington
erickke01,4,Keith Erickson
sloanje01,4,Jerry Sloan
reedro01,5,Ron Reed
hetzefr01,4,Fred Hetzel
buntibi01,5,Bill Buntin
faircjo01,5,John Fairchild
warlibo01,4,Bob Warlick
somerwi01,5,Willie Somerset
weissbo01,4,Bob Weiss
bransje01,4,Jesse Branson
mcreyth01,5,Thales McReynolds
fraziwi01,4,Will Frazier
wattsro01,4,Ron Watts
hudsolo01,3,Lou Hudson
mueller01,4,Erwin Mueller
bingda01,4,Dave Bing
russeca01,4,Cazzie Russell
clarkar01,4,Archie Clark
robinfl01,4,Flynn Robinson
leecl01,3,Clyde Lee
marinja01,4,Jack Marin
melchbi01,4,Bill Melchionni
chambje01,4,Jerry Chambers
guokama02,4,Matt Guokas
lovebo01,4,Bob Love
weslewa01,4,Walt Wesley
snydedi01,3,Dick Snyder
johnsne02,4,Neil Johnson
akinhe01,5,Henry Akin
barneji02,3,Jim Barnett
ellisjo01,4,Joe Ellis
kimbato01,4,Toby Kimball
murredo01,4,Dorie Murrey
wareji01,4,Jim Ware
lewisfr02,4,Freddie Lewis
kronto01,4,Tommy Kron
schelda01,5,Dave Schellhase
finkeha01,4,Hank Finkel
blockjo01,4,John Block
crawffr01,4,Freddie Crawford
deutsda01,5,Dave Deutsch
moliswa01,5,Wayne Molis
bowmana01,5,Nate Bowman
hogsebo01,5,Bob Hogsett
austijo01,5,Johnny Austin
monroea01,3,Earl Monroe
rulebo01,4,Bob Rule
walkeji01,4,Jimmy Walker
tuckeal01,4,Al Tucker
rileypa01,4,Pat Riley
williar01,4,Art Williams
haskicl01,4,Clem Haskins
jacksph01,3,Phil Jackson
fraziwa01,4,Walt Frazier
mannied01,4,Ed Manning
dinwibi01,4,Bill Dinwiddie
pattege01,5,George Patterson
lehmage01,4,George Lehmann
jonesjo01,5,Johnny Jones
mckenst01,4,Stan McKenzie
davisji01,4,Jim Davis
grahama01,4,Mal Graham
bradlbi01,4,Bill Bradley
lottpl01,5,Plummer Lott
hamilde01,4,Dennis Hamilton
lattida01,4,Dave Lattin
grayga01,5,Gary Gray
turnebi01,4,Bill Turner
jonesni01,4,Nick Jones
lewisbo01,4,Bobby Lewis
