,Player,Tm,G,Year,ID
0,Jay Arnette,CIN,48,1964,arnetja01
1,Al Attles,SFW,70,1964,attleal01
2,Dick Barnett,LAL,78,1964,barnedi01
3,John Barnhill,STL,74,1964,barnhjo01
4,Elgin Baylor,LAL,78,1964,bayloel01
5,Zelmo Beaty,STL,59,1964,beatyze01
6,Walt Bellamy,BAL,80,1964,bellawa01
7,Al Bianchi,PHI,78,1964,biancal01
8,Bucky Bockhorn,CIN,70,1964,bockhbu01
10,Bob Boozer,CIN,32,1964,boozebo01
11,Bob Boozer,NYK,49,1964,boozebo01
12,Bill Bridges,STL,80,1964,bridgbi01
13,Dave Budd,NYK,73,1964,buddda01
15,Donnie Butcher,NYK,26,1964,butchdo01
16,Donnie Butcher,DET,52,1964,butchdo01
17,Al Butler,NYK,76,1964,butleal01
18,Barney Cable,BAL,71,1964,cableba01
19,Wilt Chamberlain,SFW,80,1964,chambwi01
21,Len Chappell,PHI,1,1964,chapple01
22,Len Chappell,NYK,78,1964,chapple01
23,Larry Comley,BAL,12,1964,comlela01
24,Gene Conley,NYK,46,1964,conlege01
25,Larry Costello,PHI,45,1964,costela01
26,Dave DeBusschere,DET,15,1964,debusda01
27,Connie Dierking,PHI,76,1964,dierkco01
28,Terry Dischinger,BAL,80,1964,dischte01
30,Bob Duffy,STL,2,1964,duffybo02
31,Bob Duffy,NYK,4,1964,duffybo02
32,Bob Duffy,DET,42,1964,duffybo02
34,Johnny Egan,DET,24,1964,eganjo01
35,Johnny Egan,NYK,42,1964,eganjo01
36,Leroy Ellis,LAL,78,1964,ellisle01
37,Wayne Embry,CIN,80,1964,embrywa01
38,Mike Farmer,STL,76,1964,farmemi01
39,Bob Ferry,DET,74,1964,ferrybo01
40,Dave Gambee,PHI,41,1964,gambeda01
41,Mel Gibson,LAL,9,1964,gibsome01
42,Tom Gola,NYK,74,1964,golato01
43,Johnny Green,NYK,80,1964,greenjo01
44,Si Green,BAL,75,1964,greensi01
45,Jerry Greenspan,PHI,20,1964,greenje01
46,Hal Greer,PHI,80,1964,greerha01
48,Richie Guerin,NYK,2,1964,gueriri01
49,Richie Guerin,STL,78,1964,gueriri01
50,Cliff Hagan,STL,77,1964,hagancl01
51,Reggie Harding,DET,39,1964,hardire01
52,Charlie Hardnett,BAL,66,1964,hardnch01
53,Jerry Harkness,NYK,5,1964,harknje01
54,John Havlicek,BOS,80,1964,havlijo01
55,Tom Hawkins,CIN,73,1964,hawkito01
56,Tom Heinsohn,BOS,76,1964,heinsto01
57,Art Heyman,NYK,75,1964,heymaar01
58,Wayne Hightower,SFW,79,1964,hightwa01
59,Gary Hill,SFW,67,1964,hillga01
61,Paul Hogue,NYK,6,1964,hoguedu01
62,Paul Hogue,BAL,9,1964,hoguedu01
63,Tom Hoover,NYK,59,1964,hooveto01
64,Bailey Howell,DET,77,1964,howelba01
65,Darrall Imhoff,DET,58,1964,imhofda01
66,Gus Johnson,BAL,78,1964,johnsgu01
67,K.C. Jones,BOS,80,1964,joneskc01
68,Sam Jones,BOS,76,1964,jonessa01
69,Willie Jones,DET,77,1964,joneswi01
70,Red Kerr,PHI,80,1964,kerrre01
71,Jim King,LAL,60,1964,kingji01
72,Don Kojis,BAL,78,1964,kojisdo01
73,Jim Krebs,LAL,68,1964,krebsji01
74,Rudy LaRusso,LAL,79,1964,larusru01
75,George Lee,SFW,54,1964,leege01
76,Jim Loscutoff,BOS,53,1964,loscuji01
78,Kevin Loughery,DET,1,1964,loughke01
79,Kevin Loughery,BAL,65,1964,loughke01
80,Clyde Lovellette,BOS,45,1964,lovelcl01
81,Jerry Lucas,CIN,79,1964,lucasje01
82,Johnny McCarthy,BOS,28,1964,mccarjo01
84,Bill McGill,BAL,6,1964,mcgilbi01
85,Bill McGill,NYK,68,1964,mcgilbi01
86,Tom Meschery,SFW,80,1964,meschto01
87,Eddie Miles,DET,60,1964,milesed01
88,Jackie Moreland,DET,78,1964,morelja01
89,Willie Naulls,BOS,78,1964,naullwi01
90,Don Nelson,LAL,80,1964,nelsodo01
91,Paul Neumann,PHI,74,1964,neumapa01
93,Bevo Nordmann,NYK,7,1964,nordmbe01
94,Bevo Nordmann,STL,12,1964,nordmbe01
95,Don Ohl,DET,71,1964,ohldo01
96,Bud Olsen,CIN,49,1964,olsenbu01
97,Mel Peterson,BAL,2,1964,peterme01
98,Bob Pettit,STL,80,1964,pettibo01
99,Gary Phillips,SFW,66,1964,phillga01
100,Frank Ramsey,BOS,75,1964,ramsefr01
101,Hub Reed,LAL,46,1964,reedhu01
102,Oscar Robertson,CIN,79,1964,roberos01
103,Guy Rodgers,SFW,79,1964,rodgegu01
104,Ken Rohloff,STL,2,1964,rohloke01
105,John Rudometkin,NYK,52,1964,rudomjo01
106,Bill Russell,BOS,78,1964,russebi01
107,Tom Sanders,BOS,80,1964,sandeto01
108,Dolph Schayes,PHI,24,1964,schaydo01
109,Ray Scott,DET,80,1964,scottra01
110,Kenny Sears,SFW,51,1964,searske01
111,Frank Selvy,LAL,73,1964,selvyfr01
112,Lee Shaffer,PHI,41,1964,shaffle01
113,Gene Shue,BAL,47,1964,shuege01
114,Larry Siegfried,BOS,31,1964,siegfla01
115,Adrian Smith,CIN,66,1964,smithad01
117,Larry Staverman,BAL,6,1964,stavela01
118,Larry Staverman,DET,20,1964,stavela01
119,Larry Staverman,CIN,34,1964,stavela01
120,Roger Strickland,BAL,1,1964,stricro01
121,Tom Thacker,CIN,48,1964,thackto01
122,Rod Thorn,BAL,75,1964,thornro01
123,Nate Thurmond,SFW,76,1964,thurmna01
124,Gene Tormohlen,STL,51,1964,tormobu01
125,Jack Twyman,CIN,68,1964,twymaja01
126,Chico Vaughn,STL,68,1964,vaughch01
127,Chet Walker,PHI,76,1964,walkech01
128,Gerry Ward,STL,24,1964,wardge01
129,Ben Warley,PHI,79,1964,warlebe01
130,Jerry West,LAL,72,1964,westje01
131,Hubie White,PHI,23,1964,whitehu01
132,Gene Wiley,LAL,78,1964,wileyge01
133,Lenny Wilkens,STL,78,1964,wilkele01
134,John Windsor,SFW,11,1964,windsjo01
