,Player,Tm,G,Year,ID
0,Zaid Abdul-Aziz,HOU,65,1975,abdulza01
1,Kareem Abdul-Jabbar,MIL,65,1975,abdulka01
2,Don Adams,DET,51,1975,adamsdo01
4,Rick Adelman,CHI,12,1975,adelmri01
5,Rick Adelman,NOJ,28,1975,adelmri01
6,Rick Adelman,KCO,18,1975,adelmri01
8,Lucius Allen,MIL,10,1975,allenlu01
9,Lucius Allen,LAL,56,1975,allenlu01
10,Dan Anderson,POR,43,1975,anderda02
11,Tiny Archibald,KCO,82,1975,architi01
12,Jim Ard,BOS,59,1975,ardji01
13,Dennis Awtrey,PHO,82,1975,awtrede01
14,Gus Bailey,HOU,47,1975,bailegu01
15,Mike Bantom,PHO,82,1975,bantomi01
17,Jim Barnett,NOJ,45,1975,barneji02
18,Jim Barnett,NYK,28,1975,barneji02
19,Rick Barry,GSW,80,1975,barryri01
20,Butch Beard,GSW,82,1975,beardbu01
21,Zelmo Beaty,LAL,69,1975,beatyze01
22,Ron Behagen,KCO,81,1975,behagro01
23,Dennis Bell,NYK,52,1975,bellde01
24,Walt Bellamy,NOJ,1,1975,bellawa01
25,Leon Benbow,CHI,39,1975,benbole01
27,Henry Bibby,NYK,47,1975,bibbyhe01
28,Henry Bibby,NOJ,28,1975,bibbyhe01
29,Dave Bing,DET,79,1975,bingda01
31,John Block,NOJ,4,1975,blockjo01
32,John Block,CHI,50,1975,blockjo01
33,Tom Boerwinkle,CHI,80,1975,boerwto01
34,Freddie Boyd,PHI,66,1975,boydfr01
35,Ken Boyd,NOJ,6,1975,boydke01
36,Steve Bracey,GSW,42,1975,bracest01
37,Bill Bradley,NYK,79,1975,bradlbi01
38,Jim Brewer,CLE,82,1975,breweji01
40,Bill Bridges,LAL,17,1975,bridgbi01
41,Bill Bridges,GSW,15,1975,bridgbi01
42,John Brisker,SEA,21,1975,briskjo01
43,Allan Bristow,PHI,72,1975,bristal01
44,Gary Brokaw,MIL,73,1975,brokaga01
45,Fred Brown,SEA,81,1975,brownfr01
46,John Brown,ATL,73,1975,brownjo01
47,Tom Burleson,SEA,82,1975,burleto01
49,Corky Calhoun,PHO,13,1975,calhoco01
50,Corky Calhoun,LAL,57,1975,calhoco01
51,Austin Carr,CLE,41,1975,carrau01
52,Fred Carter,PHI,77,1975,cartefr01
53,Harvey Catchings,PHI,37,1975,catchha01
54,Don Chaney,BOS,82,1975,chanedo01
55,Ken Charles,BUF,79,1975,charlke01
56,Phil Chenier,WSB,77,1975,cheniph01
57,Jim Chones,CLE,72,1975,choneji01
58,Archie Clark,SEA,77,1975,clarkar01
59,Jim Cleamons,CLE,74,1975,cleamji01
60,Barry Clemens,POR,77,1975,clemeba01
61,Ben Clyde,BOS,25,1975,clydebe01
62,E.C. Coleman,NOJ,77,1975,colemec01
63,Doug Collins,PHI,81,1975,collido01
64,Mel Counts,NOJ,75,1975,countme01
65,Dave Cowens,BOS,65,1975,cowenda01
66,Billy Cunningham,PHI,80,1975,cunnibi01
67,Dick Cunningham,MIL,2,1975,cunnidi01
68,Mike D'Antoni,KCO,67,1975,dantomi01
69,Bob Dandridge,MIL,80,1975,dandrbo01
70,Jesse Dark,NYK,47,1975,darkje01
