,Player,Tm,G,Year,ID
0,Arron Afflalo,DEN,82,2010,afflaar01
1,Alexis Ajinca,CHA,6,2010,ajincal01
2,LaMarcus Aldridge,POR,78,2010,aldrila01
3,Joe Alexander,CHI,8,2010,alexajo01
4,Malik Allen,DEN,51,2010,allenma01
5,Ray Allen,BOS,80,2010,allenra02
6,Tony Allen,BOS,54,2010,allento01
8,Rafer Alston,NJN,27,2010,alstora01
9,Rafer Alston,MIA,25,2010,alstora01
10,Lou Amundson,PHO,79,2010,amundlo01
11,Chris Andersen,DEN,76,2010,anderch01
12,David Andersen,HOU,63,2010,anderda03
13,Antonio Anderson,OKC,1,2010,anderan02
14,Ryan Anderson,ORL,63,2010,anderry01
15,Carmelo Anthony,DEN,69,2010,anthoca01
16,Joel Anthony,MIA,80,2010,anthojo01
17,Gilbert Arenas,WAS,32,2010,arenagi01
18,Trevor Ariza,HOU,72,2010,arizatr01
20,Hilton Armstrong,NOH,18,2010,armsthi01
21,Hilton Armstrong,SAC,6,2010,armsthi01
22,Hilton Armstrong,HOU,9,2010,armsthi01
23,Carlos Arroyo,MIA,72,2010,arroyca01
24,Darrell Arthur,MEM,32,2010,arthuda01
25,Chucky Atkins,DET,40,2010,atkinch01
26,D.J. Augustin,CHA,80,2010,augusdj01
27,Jeff Ayres,POR,39,2010,pendeje02
28,Kelenna Azubuike,GSW,9,2010,azubuke01
29,Renaldo Balkman,DEN,13,2010,balkmre01
30,Marcus Banks,TOR,22,2010,banksma01
31,Leandro Barbosa,PHO,44,2010,barbole01
32,J.J. Barea,DAL,78,2010,bareajo01
33,Andrea Bargnani,TOR,80,2010,bargnan01
34,Matt Barnes,ORL,81,2010,barnema02
35,Earl Barron,NYK,7,2010,barroea01
36,Brandon Bass,ORL,50,2010,bassbr01
37,Tony Battie,NJN,15,2010,battito01
38,Shane Battier,HOU,67,2010,battish01
39,Nicolas Batum,POR,37,2010,batumni01
40,Jerryd Bayless,POR,74,2010,bayleje01
41,Michael Beasley,MIA,78,2010,beaslmi01
42,Rodrigue Beaubois,DAL,56,2010,beaubro01
43,Marco Belinelli,TOR,66,2010,belinma01
44,Charlie Bell,MIL,71,2010,bellch01
46,Raja Bell,CHA,5,2010,bellra01
47,Raja Bell,GSW,1,2010,bellra01
48,Jonathan Bender,NYK,25,2010,bendejo01
49,Mike Bibby,ATL,80,2010,bibbymi01
50,Andris Biedrins,GSW,33,2010,biedran01
51,Chauncey Billups,DEN,73,2010,billuch01
52,DeJuan Blair,SAS,82,2010,blairde01
54,Steve Blake,POR,51,2010,blakest01
55,Steve Blake,LAC,29,2010,blakest01
56,Andray Blatche,WAS,81,2010,blatcan01
57,Keith Bogans,SAS,79,2010,boganke01
58,Andrew Bogut,MIL,69,2010,bogutan01
59,Matt Bonner,SAS,65,2010,bonnema01
60,Josh Boone,NJN,63,2010,boonejo01
61,Carlos Boozer,UTA,78,2010,boozeca01
62,Chris Bosh,TOR,70,2010,boshch01
63,Ryan Bowen,OKC,1,2010,bowenry01
64,Earl Boykins,WAS,67,2010,boykiea01
65,Elton Brand,PHI,76,2010,brandel01
66,Corey Brewer,MIN,82,2010,breweco01
68,Ronnie Brewer,UTA,53,2010,brewero02
69,Ronnie Brewer,MEM,5,2010,brewero02
71,Primoz Brezec,PHI,7,2010,brezepr01
72,Primoz Brezec,MIL,14,2010,brezepr01
73,Jon Brockman,SAC,52,2010,brockjo01
74,Aaron Brooks,HOU,82,2010,brookaa01
76,Bobby Brown,NOH,22,2010,brownbo02
77,Bobby Brown,LAC,23,2010,brownbo02
78,Derrick Brown,CHA,57,2010,brownde04
80,Devin Brown,NOH,39,2010,brownde02
81,Devin Brown,CHI,11,2010,brownde02
82,Kwame Brown,DET,48,2010,brownkw01
83,Shannon Brown,LAL,82,2010,brownsh01
84,Kobe Bryant,LAL,73,2010,bryanko01
85,Chase Budinger,HOU,74,2010,budinch01
87,Caron Butler,WAS,47,2010,butleca01
88,Caron Butler,DAL,27,2010,butleca01
