,Player,Tm,G,Year,ID
0,Kareem Abdul-Jabbar,LAL,79,1986,abdulka01
1,Alvan Adams,PHO,78,1986,adamsal01
2,Michael Adams,SAC,18,1986,adamsmi01
3,Mark Aguirre,DAL,74,1986,aguirma01
4,Danny Ainge,BOS,80,1986,aingeda01
6,Ron Anderson,CLE,17,1986,anderro01
7,Ron Anderson,IND,60,1986,anderro01
8,John Bagley,CLE,78,1986,baglejo01
9,James Bailey,NYK,48,1986,baileja01
10,Thurl Bailey,UTA,82,1986,baileth01
11,Greg Ballard,GSW,75,1986,ballagr01
12,Gene Banks,CHI,82,1986,banksge01
13,Ken Bannister,NYK,70,1986,bannike01
14,Charles Barkley,PHI,80,1986,barklch01
15,John Battle,ATL,64,1986,battljo01
16,Benoit Benjamin,LAC,79,1986,benjabe01
17,Kent Benson,DET,72,1986,bensoke01
18,Larry Bird,BOS,82,1986,birdla01
19,Otis Birdsong,NJN,77,1986,birdsot01
20,Uwe Blab,DAL,48,1986,blabuw01
21,Rolando Blackman,DAL,82,1986,blackro01
22,Manute Bol,WSB,80,1986,bolma01
23,Sam Bowie,POR,38,1986,bowiesa01
24,Dudley Bradley,WSB,70,1986,bradldu01
25,Mike Bratz,SAC,33,1986,bratzmi01
26,Randy Breuer,MIL,82,1986,breuera01
28,Ron Brewer,CHI,4,1986,brewero01
29,Ron Brewer,CLE,40,1986,brewero01
30,Frank Brickowski,SEA,40,1986,brickfr01
31,Junior Bridgeman,LAC,58,1986,bridgju01
32,Mike Brittain,SAS,32,1986,brittmi01
33,Tony Brown,CHI,10,1986,brownto01
35,Wallace Bryant,DAL,9,1986,bryanwa01
36,Wallace Bryant,LAC,8,1986,bryanwa01
37,Quinn Buckner,IND,32,1986,bucknqu01
38,Michael Cage,LAC,78,1986,cagemi01
39,Tony Campbell,DET,82,1986,campbto01
40,Rick Carlisle,BOS,77,1986,carliri01
41,Antoine Carr,ATL,17,1986,carran01
42,Kenny Carr,POR,55,1986,carrke01
43,Joe Barry Carroll,GSW,79,1986,carrojo01
45,Butch Carter,NYK,5,1986,cartebu01
46,Butch Carter,PHI,4,1986,cartebu01
47,Bill Cartwright,NYK,2,1986,cartwbi01
48,Terry Catledge,PHI,64,1986,catlete01
49,Bobby Cattage,NJN,29,1986,cattabo01
50,Tom Chambers,SEA,66,1986,chambto01
51,Lorenzo Charles,ATL,36,1986,charllo01
52,Maurice Cheeks,PHI,82,1986,cheekma01
53,Fred Cofield,NYK,45,1986,cofiefr01
54,Steve Colter,POR,81,1986,coltest01
55,Lester Conner,GSW,36,1986,connele01
56,Darwin Cook,NJN,79,1986,cookda01
58,Jeff Cook,SAS,34,1986,cookje01
59,Jeff Cook,UTA,2,1986,cookje01
60,David Cooke,SAC,6,1986,cookeda01
61,Michael Cooper,LAL,82,1986,coopemi01
62,Wayne Cooper,DEN,78,1986,coopewa01
63,Tyrone Corbin,SAS,16,1986,corbity01
64,Dave Corzine,CHI,67,1986,corzida01
66,Ron Crevier,GSW,1,1986,creviro01
67,Ron Crevier,DET,2,1986,creviro01
68,Jeff Cross,LAC,21,1986,crossje01
69,Pat Cummings,NYK,31,1986,cummipa01
70,Terry Cummings,MIL,82,1986,cummite01
71,Earl Cureton,DET,80,1986,curetea01
72,Quintin Dailey,CHI,35,1986,dailequ01
73,Adrian Dantley,UTA,76,1986,dantlad01
74,Brad Davis,DAL,82,1986,davisbr01
75,Charles Davis,MIL,57,1986,davisch02
77,Johnny Davis,CLE,39,1986,davisjo01
78,Johnny Davis,ATL,27,1986,davisjo01
79,Walter Davis,PHO,70,1986,daviswa03
