,Player,Tm,G,Year,ID
0,Alaa Abdelnaby,POR,43,1991,abdelal01
1,Mahmoud Abdul-Rauf,DEN,67,1991,abdulma02
2,Mark Acres,ORL,68,1991,acresma01
3,Michael Adams,DEN,66,1991,adamsmi01
4,Mark Aguirre,DET,78,1991,aguirma01
5,Danny Ainge,POR,80,1991,aingeda01
6,Mark Alarie,WSB,42,1991,alarima01
7,Steve Alford,DAL,34,1991,alforst01
9,Greg Anderson,MIL,26,1991,andergr01
10,Greg Anderson,NJN,1,1991,andergr01
11,Greg Anderson,DEN,41,1991,andergr01
12,Nick Anderson,ORL,70,1991,anderni01
13,Ron Anderson,PHI,82,1991,anderro01
14,Willie Anderson,SAS,75,1991,anderwi01
15,Michael Ansley,ORL,67,1991,anslemi01
16,B.J. Armstrong,CHI,82,1991,armstbj01
17,Vincent Askew,GSW,7,1991,askewvi01
18,Keith Askins,MIA,39,1991,askinke01
19,Milos Babic,CLE,12,1991,babicmi01
20,Thurl Bailey,UTA,82,1991,baileth01
21,Cedric Ball,LAC,7,1991,ballce01
22,Ken Bannister,LAC,47,1991,bannike01
23,Charles Barkley,PHI,67,1991,barklch01
24,Dana Barros,SEA,66,1991,barroda01
25,John Battle,ATL,79,1991,battljo01
27,Kenny Battle,PHO,16,1991,battlke01
28,Kenny Battle,DEN,40,1991,battlke01
29,William Bedford,DET,60,1991,bedfowi01
31,Benoit Benjamin,LAC,39,1991,benjabe01
32,Benoit Benjamin,SEA,31,1991,benjabe01
33,Winston Bennett,CLE,27,1991,bennewi01
34,Larry Bird,BOS,60,1991,birdla01
35,Rolando Blackman,DAL,80,1991,blackro01
36,Lance Blanks,DET,38,1991,blankla01
37,Mookie Blaylock,NJN,72,1991,blaylmo01
38,Muggsy Bogues,CHH,81,1991,boguemu01
39,Manute Bol,PHI,82,1991,bolma01
40,Anthony Bonner,SAC,34,1991,bonnean01
41,Sam Bowie,NJN,62,1991,bowiesa01
42,Randy Breuer,MIN,73,1991,breuera01
43,Frank Brickowski,MIL,75,1991,brickfr01
44,Scott Brooks,MIN,80,1991,brooksc01
45,Chucky Brown,CLE,74,1991,brownch01
46,Dee Brown,BOS,82,1991,brownde01
47,Mike Brown,UTA,82,1991,brownmi01
49,Tony Brown,LAL,7,1991,brownto01
50,Tony Brown,UTA,23,1991,brownto01
51,Mark Bryant,POR,53,1991,bryanma01
52,Jud Buechler,NJN,74,1991,buechju01
53,Matt Bullard,HOU,18,1991,bullama01
54,Willie Burton,MIA,76,1991,burtowi01
55,Greg Butler,LAC,9,1991,butlegr01
56,Michael Cage,SEA,82,1991,cagemi01
57,Adrian Caldwell,HOU,42,1991,caldwad01
58,Rick Calloway,SAC,64,1991,callori01
59,Elden Campbell,LAL,52,1991,campbel01
60,Tony Campbell,MIN,77,1991,campbto01
61,Antoine Carr,SAC,77,1991,carran01
62,Joe Barry Carroll,PHO,11,1991,carrojo01
63,Bill Cartwright,CHI,79,1991,cartwbi01
64,Terry Catledge,ORL,51,1991,catlete01
65,Duane Causwell,SAC,76,1991,causwdu01
66,Cedric Ceballos,PHO,63,1991,cebalce01
67,Tom Chambers,PHO,76,1991,chambto01
68,Rex Chapman,CHH,70,1991,chapmre01
69,Maurice Cheeks,NYK,76,1991,cheekma01
70,Derrick Chievous,CLE,18,1991,chievde01
71,Richard Coffey,MIN,52,1991,cofferi01
72,Derrick Coleman,NJN,74,1991,colemde01
73,Bimbo Coles,MIA,82,1991,colesbi01
74,Steve Colter,SAC,19,1991,coltest01
76,Lester Conner,NJN,35,1991,connele01
77,Lester Conner,MIL,39,1991,connele01
78,Anthony Cook,DEN,58,1991,cookan01
79,Wayne Cooper,POR,67,1991,coopewa01
80,Tyrone Corbin,MIN,82,1991,corbity01
81,Dave Corzine,SEA,28,1991,corzida01
82,Pat Cummings,UTA,4,1991,cummipa01
83,Terry Cummings,SAS,67,1991,cummite01
84,Earl Cureton,CHH,9,1991,curetea01
85,Dell Curry,CHH,76,1991,curryde01
86,Quintin Dailey,SEA,30,1991,dailequ01
87,Adrian Dantley,MIL,10,1991,dantlad01
88,Brad Daugherty,CLE,76,1991,daughbr01
89,Brad Davis,DAL,80,1991,davisbr01
90,Terry Davis,MIA,55,1991,daviste01
92,Walter Davis,DEN,39,1991,daviswa03
93,Walter Davis,POR,32,1991,daviswa03
94,Johnny Dawkins,PHI,4,1991,dawkijo01
95,Tony Dawson,SAC,4,1991,dawsoto01
97,Byron Dinkins,SAS,10,1991,dinkiby01
98,Byron Dinkins,IND,2,1991,dinkiby01
99,Vlade Divac,LAL,82,1991,divacvl01
100,James Donaldson,DAL,82,1991,donalja01
101,Sherman Douglas,MIA,73,1991,douglsh01
102,Greg Dreiling,IND,73,1991,dreilgr01
103,Larry Drew,LAL,48,1991,drewla01
104,Clyde Drexler,POR,82,1991,drexlcl01
105,Kevin Duckworth,POR,81,1991,duckwke01
106,Chris Dudley,NJN,61,1991,dudlech02
107,Joe Dumars,DET,80,1991,dumarjo01
108,T.R. Dunn,DEN,17,1991,dunntr01
109,Ledell Eackles,WSB,67,1991,eacklle01
110,Mark Eaton,UTA,80,1991,eatonma01
111,Blue Edwards,UTA,62,1991,edwarbl01
112,James Edwards,DET,72,1991,edwarja01
113,Kevin Edwards,MIA,79,1991,edwarke01
114,Craig Ehlo,CLE,82,1991,ehlocr01
116,Mario Elie,PHI,3,1991,eliema01
117,Mario Elie,GSW,30,1991,eliema01
118,Sean Elliott,SAS,82,1991,elliose01
120,Dale Ellis,SEA,30,1991,ellisda01
121,Dale Ellis,MIL,21,1991,ellisda01
122,Pervis Ellison,WSB,76,1991,ellispe01
123,A.J. English,WSB,70,1991,engliaj01
124,Alex English,DAL,79,1991,englial01
125,Patrick Ewing,NYK,81,1991,ewingpa01
127,Jim Farmer,PHI,2,1991,farmeji01
128,Jim Farmer,DEN,25,1991,farmeji01
129,Dave Feitl,HOU,52,1991,feitlda01
130,Duane Ferrell,ATL,78,1991,ferredu01
131,Danny Ferry,CLE,81,1991,ferryda01
132,Vern Fleming,IND,69,1991,flemive01
133,Sleepy Floyd,HOU,82,1991,floydsl01
134,Greg Foster,WSB,54,1991,fostegr01
135,Anthony Frederick,SAC,35,1991,fredean01
136,Corey Gaines,DEN,10,1991,gaineco01
137,Kevin Gamble,BOS,82,1991,gamblke01
138,Winston Garland,LAC,69,1991,garlawi01
139,Tom Garrick,LAC,67,1991,garrito01
140,Kenny Gattison,CHH,72,1991,gattike01
141,Tate George,NJN,56,1991,georgta01
142,Derrick Gervin,NJN,56,1991,gervide01
143,Kendall Gill,CHH,82,1991,gillke01
145,Armen Gilliam,CHH,25,1991,gilliar01
146,Armen Gilliam,PHI,50,1991,gilliar01
147,Gerald Glass,MIN,51,1991,glassge01
149,Mike Gminski,PHI,30,1991,gminsmi01
150,Mike Gminski,CHH,50,1991,gminsmi01
151,Dan Godfread,MIN,10,1991,godfrda01
152,Jim Grandholm,DAL,26,1991,grandji01
153,Gary Grant,LAC,68,1991,grantga01
154,Greg Grant,NYK,22,1991,grantgr01
155,Harvey Grant,WSB,77,1991,grantha01
156,Horace Grant,CHI,78,1991,grantho01
157,Stuart Gray,NYK,8,1991,grayst01
158,Jeff Grayer,MIL,82,1991,grayeje01
159,A.C. Green,LAL,82,1991,greenac01
160,Rickey Green,PHI,79,1991,greenri01
161,Sidney Green,SAS,66,1991,greensi02
162,Dave Greenwood,SAS,63,1991,greenda01
163,Darrell Griffith,UTA,75,1991,griffda01
164,Scott Haffner,CHH,7,1991,haffnsc01
165,Jack Haley,NJN,78,1991,haleyja01
166,Tom Hammonds,WSB,70,1991,hammoto01
167,Bob Hansen,SAC,36,1991,hansebo01
168,Tim Hardaway,GSW,82,1991,hardati01
169,Derek Harper,DAL,77,1991,harpede01
170,Ron Harper,LAC,39,1991,harpero01
171,Tony Harris,PHI,6,1991,harrito01
172,Scott Hastings,DET,27,1991,hastisc01
173,Hersey Hawkins,PHI,80,1991,hawkihe01
174,Gerald Henderson,DET,23,1991,hendege01
175,Steve Henson,MIL,68,1991,hensost01
176,Mike Higgins,SAC,7,1991,higgimi01
177,Rod Higgins,GSW,82,1991,higgiro01
178,Sean Higgins,SAS,50,1991,higgise01
179,Tyrone Hill,GSW,74,1991,hillty01
180,Roy Hinson,NJN,9,1991,hinsoro01
181,Craig Hodges,CHI,73,1991,hodgecr01
183,Dave Hoppen,CHH,19,1991,hoppeda01
184,Dave Hoppen,PHI,11,1991,hoppeda01
185,Dennis Hopson,CHI,61,1991,hopsode01
186,Jeff Hornacek,PHO,80,1991,hornaje01
187,Jay Humphries,MIL,80,1991,humphja01
188,Byron Irvin,WSB,33,1991,irvinby01
189,Mark Jackson,NYK,72,1991,jacksma01
190,Dave Jamerson,HOU,37,1991,jamerda01
191,Henry James,CLE,37,1991,jameshe01
192,Les Jepsen,GSW,21,1991,jepsele01
194,Avery Johnson,DEN,21,1991,johnsav01
195,Avery Johnson,SAS,47,1991,johnsav01
196,Buck Johnson,HOU,73,1991,johnsbu01
198,Eddie Johnson,PHO,15,1991,johnsed03
199,Eddie Johnson,SEA,66,1991,johnsed03
200,Kevin Johnson,PHO,77,1991,johnske02
201,Magic Johnson,LAL,79,1991,johnsma02
202,Steve Johnson,GSW,24,1991,johnsst03
203,Vinnie Johnson,DET,82,1991,johnsvi01
204,Charles Jones,WSB,62,1991,jonesch01
205,Michael Jordan,CHI,82,1991,jordami01
206,Shawn Kemp,SEA,81,1991,kempsh01
207,Steve Kerr,CLE,57,1991,kerrst01
208,Jerome Kersey,POR,73,1991,kerseje01
209,Alec Kessler,MIA,78,1991,kesslal01
210,Randolph Keys,CHH,44,1991,keysra01
211,Bo Kimble,LAC,62,1991,kimblbo01
212,Bernard King,WSB,64,1991,kingbe01
213,Stacey King,CHI,76,1991,kingst01
214,Greg Kite,ORL,82,1991,kitegr01
215,Joe Kleine,BOS,72,1991,kleinjo01
216,Negele Knight,PHO,64,1991,knighne01
217,Bart Kofoed,GSW,5,1991,kofoeba01
218,Jon Koncak,ATL,77,1991,koncajo01
219,Frank Kornet,MIL,32,1991,kornefr01
220,Bill Laimbeer,DET,82,1991,laimbbi01
221,Jerome Lane,DEN,62,1991,laneje01
222,Andrew Lang,PHO,63,1991,langan01
224,Eric Leckner,SAC,32,1991,leckner01
225,Eric Leckner,CHH,40,1991,leckner01
226,Kurk Lee,NJN,48,1991,leeku01
227,Tim Legler,DEN,10,1991,legleti01
228,Gary Leonard,ATL,4,1991,leonaga01
229,Jim Les,SAC,55,1991,lesji01
230,Clifford Lett,SAS,7,1991,lettcl01
231,Fat Lever,DAL,4,1991,leverfa01
232,Cliff Levingston,CHI,78,1991,levincl01
233,Reggie Lewis,BOS,79,1991,lewisre01
234,Marcus Liberty,DEN,76,1991,liberma01
235,Todd Lichti,DEN,29,1991,lichtto01
236,Alton Lister,GSW,77,1991,listeal01
237,Ian Lockhart,PHO,1,1991,lockhia01
238,Brad Lohaus,MIL,81,1991,lohaubr01
239,Grant Long,MIA,80,1991,longgr01
240,John Long,DET,25,1991,longjo01
241,Rick Mahorn,PHI,80,1991,mahorri01
242,Dan Majerle,PHO,77,1991,majerda01
243,Jeff Malone,UTA,69,1991,malonje01
244,Karl Malone,UTA,82,1991,malonka01
245,Moses Malone,ATL,82,1991,malonmo01
246,Danny Manning,LAC,73,1991,mannida01
247,Sarunas Marciulionis,GSW,50,1991,marcisa01
248,Jeff Martin,LAC,74,1991,martije01
249,Anthony Mason,DEN,3,1991,masonan01
250,Tony Massenburg,SAS,35,1991,masseto01
251,Vernon Maxwell,HOU,82,1991,maxweve01
