,Player,Tm,G,Year,ID
0,Gary Alcorn,DET,58,1960,alcorga01
1,Bob Anderegg,NYK,33,1960,anderbo01
2,Paul Arizin,PHW,72,1960,arizipa01
3,Dick Barnett,SYR,57,1960,barnedi01
4,Elgin Baylor,MNL,70,1960,bayloel01
5,Ernie Beck,PHW,66,1960,becker01
6,Whitey Bell,NYK,31,1960,bellwh01
7,Al Bianchi,SYR,69,1960,biancal01
8,Bucky Bockhorn,CIN,75,1960,bockhbu01
9,Carl Braun,NYK,54,1960,braunca01
11,Barney Cable,DET,7,1960,cableba01
12,Barney Cable,SYR,50,1960,cableba01
13,Wilt Chamberlain,PHW,72,1960,chambwi01
14,Gene Conley,BOS,71,1960,conlege01
15,Ed Conlin,DET,70,1960,conlied01
16,Larry Costello,SYR,71,1960,costela01
17,Bob Cousy,BOS,75,1960,cousybo01
18,Archie Dees,DET,73,1960,deesar01
19,Connie Dierking,SYR,71,1960,dierkco01
20,Walter Dukes,DET,66,1960,dukeswa01
21,Boo Ellis,MNL,46,1960,ellisbo01
22,Wayne Embry,CIN,73,1960,embrywa01
23,Mike Farmer,NYK,67,1960,farmemi01
25,Ray Felix,NYK,16,1960,felixra01
26,Ray Felix,MNL,31,1960,felixra01
27,Al Ferrari,STL,71,1960,ferraal01
28,Bob Ferry,STL,62,1960,ferrybo01
29,Ed Fleming,MNL,27,1960,flemied01
31,Larry Foust,MNL,47,1960,foustla01
32,Larry Foust,STL,25,1960,foustla01
34,Dave Gambee,STL,42,1960,gambeda01
35,Dave Gambee,CIN,19,1960,gambeda01
37,Dick Garmaker,MNL,44,1960,garmadi01
38,Dick Garmaker,NYK,26,1960,garmadi01
39,Jack George,NYK,69,1960,georgja01
40,Tom Gola,PHW,75,1960,golato01
41,Joe Graboski,PHW,73,1960,grabojo01
42,Johnny Green,NYK,69,1960,greenjo01
43,Si Green,STL,70,1960,greensi01
44,Hal Greer,SYR,70,1960,greerha01
45,Gene Guarilia,BOS,48,1960,guarige01
46,Richie Guerin,NYK,74,1960,gueriri01
47,Cliff Hagan,STL,75,1960,hagancl01
48,Steve Hamilton,MNL,15,1960,hamilst01
49,Vern Hatton,PHW,67,1960,hattove01
50,Tom Hawkins,MNL,69,1960,hawkito01
51,Tom Heinsohn,BOS,75,1960,heinsto01
52,Bob Hopkins,SYR,75,1960,hopkibo01
53,Bailey Howell,DET,75,1960,howelba01
54,Hot Rod Hundley,MNL,73,1960,hundlho01
55,Andy Johnson,PHW,75,1960,johnsan01
56,K.C. Jones,BOS,74,1960,joneskc01
57,Sam Jones,BOS,74,1960,jonessa01
58,Phil Jordon,CIN,75,1960,jordoph01
59,Billy Kenville,DET,25,1960,kenvibi01
60,Red Kerr,SYR,75,1960,kerrre01
61,Maurice King,BOS,1,1960,kingma01
62,Jim Krebs,MNL,75,1960,krebsji01
63,Rudy LaRusso,MNL,71,1960,larusru01
64,Slick Leonard,MNL,73,1960,leonasl01
65,Earl Lloyd,DET,68,1960,lloydea01
66,Jim Loscutoff,BOS,28,1960,loscuji01
67,Clyde Lovellette,STL,68,1960,lovelcl01
68,Nick Mantis,MNL,10,1960,mantini01
69,Slater Martin,STL,64,1960,martisl01
70,Brendan McCann,NYK,4,1960,mccanbr01
71,Johnny McCarthy,STL,75,1960,mccarjo01
72,Dick McGuire,DET,68,1960,mcguidi01
73,Jack McMahon,STL,25,1960,mcmahja01
74,Shellie McMillon,DET,75,1960,mcmilsh01
75,Willie Naulls,NYK,65,1960,naullwi01
76,Chuck Noble,DET,58,1960,noblech01
77,Togo Palazzi,SYR,7,1960,palazto01
79,Jim Palmer,CIN,20,1960,palmeji01
80,Jim Palmer,NYK,54,1960,palmeji01
81,Med Park,CIN,74,1960,parkme01
82,Bob Pettit,STL,72,1960,pettibo01
84,Dave Piontek,CIN,52,1960,piontda01
85,Dave Piontek,STL,25,1960,piontda01
87,Cal Ramsey,STL,4,1960,ramseca01
88,Cal Ramsey,NYK,7,1960,ramseca01
89,Frank Ramsey,BOS,73,1960,ramsefr01
90,Jim Ray,SYR,4,1960,rayji01
92,Hub Reed,STL,2,1960,reedhu01
93,Hub Reed,CIN,69,1960,reedhu01
94,John Richter,BOS,66,1960,richtjo01
95,Guy Rodgers,PHW,68,1960,rodgegu01
96,Phil Rollins,CIN,72,1960,rolliph01
97,Joe Ruklick,PHW,39,1960,ruklijo01
98,Bill Russell,BOS,74,1960,russebi01
99,Woody Sauldsberry,PHW,71,1960,sauldwo01
100,Dolph Schayes,SYR,75,1960,schaydo01
101,Kenny Sears,NYK,64,1960,searske01
103,Frank Selvy,SYR,19,1960,selvyfr01
104,Frank Selvy,MNL,43,1960,selvyfr01
105,Paul Seymour,SYR,4,1960,seymopa01
107,Chuck Share,STL,38,1960,sharech01
108,Chuck Share,MNL,3,1960,sharech01
109,Bill Sharman,BOS,71,1960,sharmbi01
110,Gene Shue,DET,75,1960,shuege01
111,Bobby Smith,MNL,10,1960,smithbo01
113,Ron Sobie,NYK,15,1960,sobiero01
114,Ron Sobie,MNL,1,1960,sobiero01
115,Guy Sparrow,PHW,11,1960,sparrgu01
116,Larry Staverman,CIN,49,1960,stavela01
117,Wayne Stevens,CIN,8,1960,stevewa01
118,Jack Twyman,CIN,75,1960,twymaja01
119,Charlie Tyra,NYK,74,1960,tyrach01
120,Win Wilfong,CIN,72,1960,wilfowi01
121,Tony Windis,DET,9,1960,windito01
122,George Yardley,SYR,73,1960,yardlge01
