,Player,Tm,G,Year,ID
0,Quincy Acy,NYK,68,2015,acyqu01
1,Jordan Adams,MEM,30,2015,adamsjo01
2,Steven Adams,OKC,70,2015,adamsst01
3,Jeff Adrien,MIN,17,2015,adrieje01
5,Arron Afflalo,DEN,53,2015,afflaar01
6,Arron Afflalo,POR,25,2015,afflaar01
7,Alexis Ajinca,NOP,68,2015,ajincal01
8,Furkan Aldemir,PHI,41,2015,aldemfu01
9,Cole Aldrich,NYK,61,2015,aldrico01
10,LaMarcus Aldridge,POR,71,2015,aldrila01
11,Lavoy Allen,IND,63,2015,allenla01
12,Tony Allen,MEM,63,2015,allento01
13,Al-Farouq Aminu,DAL,74,2015,aminual01
15,Lou Amundson,CLE,12,2015,amundlo01
16,Lou Amundson,NYK,41,2015,amundlo01
17,Chris Andersen,MIA,60,2015,anderch01
18,Alan Anderson,BRK,74,2015,anderal01
19,Kyle Anderson,SAS,33,2015,anderky01
20,Ryan Anderson,NOP,61,2015,anderry01
21,Giannis Antetokounmpo,MIL,81,2015,antetgi01
22,Carmelo Anthony,NYK,40,2015,anthoca01
23,Joel Anthony,DET,49,2015,anthojo01
24,Pero Antic,ATL,63,2015,anticpe01
25,Trevor Ariza,HOU,82,2015,arizatr01
26,Darrell Arthur,DEN,58,2015,arthuda01
27,Omer Asik,NOP,76,2015,asikom01
29,D.J. Augustin,DET,54,2015,augusdj01
30,D.J. Augustin,OKC,28,2015,augusdj01
31,Jeff Ayres,SAS,51,2015,pendeje02
32,Luke Babbitt,NOP,63,2015,babbilu01
33,Cameron Bairstow,CHI,18,2015,bairsca01
34,Leandro Barbosa,GSW,66,2015,barbole01
35,J.J. Barea,DAL,77,2015,bareajo01
36,Andrea Bargnani,NYK,29,2015,bargnan01
37,Harrison Barnes,GSW,82,2015,barneha02
38,Matt Barnes,LAC,76,2015,barnema02
39,Earl Barron,PHO,16,2015,barroea01
41,Will Barton,POR,30,2015,bartowi01
42,Will Barton,DEN,28,2015,bartowi01
43,Brandon Bass,BOS,82,2015,bassbr01
44,Nicolas Batum,POR,71,2015,batumni01
45,Jerryd Bayless,MIL,77,2015,bayleje01
46,Aron Baynes,SAS,70,2015,baynear01
47,Kent Bazemore,ATL,75,2015,bazemke01
48,Bradley Beal,WAS,63,2015,bealbr01
49,Michael Beasley,MIA,24,2015,beaslmi01
50,Marco Belinelli,SAS,62,2015,belinma01
51,Jerrelle Benimon,UTA,2,2015,benimje01
52,Anthony Bennett,MIN,57,2015,bennean01
53,Patrick Beverley,HOU,56,2015,beverpa01
54,Sim Bhullar,SAC,3,2015,bhullsi01
55,Bismack Biyombo,CHO,64,2015,biyombi01
57,Tarik Black,HOU,25,2015,blackta01
58,Tarik Black,LAL,38,2015,blackta01
59,DeJuan Blair,WAS,29,2015,blairde01
60,Steve Blake,POR,81,2015,blakest01
61,Eric Bledsoe,PHO,81,2015,bledser01
62,Vander Blue,LAL,2,2015,blueva01
63,Bojan Bogdanovic,BRK,78,2015,bogdabo02
64,Andrew Bogut,GSW,67,2015,bogutan01
65,Matt Bonner,SAS,72,2015,bonnema01
66,Trevor Booker,UTA,79,2015,booketr01
67,Carlos Boozer,LAL,71,2015,boozeca01
68,Chris Bosh,MIA,44,2015,boshch01
69,Avery Bradley,BOS,77,2015,bradlav01
70,Elton Brand,ATL,36,2015,brandel01
72,Corey Brewer,MIN,24,2015,breweco01
